SiteID;SiteName;SiteCode;FullSiteCode;Elevation;State;County;Comments;Elevation_dem;Longitude;Latitude;codice
1;Gorgazzo sorgente;A001;OD:A001;NA;NA;FVG;NA;77.0444793701172;12.4967;46.0399;NA
2;Gorgazzo;A002;OD:A002;NA;NA;FVG;NA;77.0444793701172;12.4951;46.038;NA
3;Molinetto c/o impianto ittiogenico;A003;OD:A003;NA;NA;FVG;NA;98.4602355957031;12.4757;46.0111;NA
4;Fiaschetti;A004;OD:A004;NA;NA;FVG;NA;25.647066116333;12.4828;45.9851;NA
5;Marsure bares;A007;OD:A007;NA;NA;FVG;NA;188.304107666016;12.601;46.0873;NA
7;Val dei sass;A009;OD:A009;NA;NA;FVG;NA;1840.68859863281;12.4919;46.1155;NA
8;Sacile ponte lacchin;A021;OD:A021;NA;NA;FVG;Serie HisCentral +Regione FVG;22.2775802612305;12.502;45.9509;BRU
9;Ponte della muda;A023;OD:A023;NA;NA;FVG;NA;42.669303894043;12.4467;45.9476;NA
10;Aviano;A050;OD:A050;NA;NA;FVG;NA;145.931503295898;12.6026;46.0648;NA
11;Aviano casa marchi;A051;OD:A051;NA;NA;FVG;NA;166.183364868164;12.622;46.0707;NA
12;San cassiano;A100;OD:A100;NA;NA;FVG;NA;9.08262634277344;12.5349;45.8767;NA
14;Tremeacque ponte destro;A102;OD:A102;NA;NA;FVG;NA;6.04268646240234;12.5686;45.8284;NA
15;Tramonti di sopra;A201;OD:A201;NA;NA;FVG;NA;438.998168945313;12.7889;46.3098;NA
16;Tramonti di sotto scuole nuove;A202;OD:A202;NA;NA;FVG;NA;392.047576904297;12.7931;46.2982;NA
17;Malga rest;A204;OD:A204;NA;NA;FVG;NA;1515.86389160156;12.7989;46.3479;NA
18;Ca' zul;A220;OD:A220;NA;NA;FVG;NA;795.572143554687;12.7162;46.2922;NA
19;Ca' selva;A221;OD:A221;NA;NA;FVG;NA;627.714416503906;12.7008;46.2585;NA
20;Chievolis;A223;OD:A223;NA;NA;FVG;NA;437.469024658203;12.7331;46.2539;NA
21;Campone;A224;OD:A224;NA;NA;FVG;NA;630.608581542969;12.8313;46.2595;NA
22;Malga valine alta;A226;OD:A226;NA;NA;FVG;NA;1304.39562988281;12.6751;46.236;NA
23;Ponte racli;A240;OD:A240;NA;NA;FVG;Serie HisCentral +Regione FVG;358.574066162109;12.7499;46.2412;CHI
24;Preplans;A241;OD:A241;NA;NA;FVG;NA;317.138092041016;12.773;46.2179;NA
25;Borgo cilia;A242;OD:A242;NA;NA;FVG;NA;620.506774902344;12.795;46.2259;NA
26;Valdestali;A243;OD:A243;NA;NA;FVG;NA;461.743530273438;12.7572;46.2075;NA
27;Poffabro;A244;OD:A244;NA;NA;FVG;NA;613.806335449219;12.7095;46.2165;NA
28;Cavasso nuovo;A260;OD:A260;NA;NA;FVG;NA;350.183624267578;12.7747;46.2028;NA
29;Maniago ponte ss. 464;A261;OD:A261;NA;NA;FVG;NA;286.688720703125;12.7188;46.1739;NA
30;Fratta vivaio forestale;A262;OD:A262;NA;NA;FVG;NA;271.960296630859;12.727;46.1785;NA
31;Colle ponte ss 464;A263;OD:A263;NA;NA;FVG;NA;239.623199462891;12.8151;46.1636;NA
32;Colle;A264;OD:A264;NA;NA;FVG;NA;219.007278442383;12.8034;46.1688;NA
33;Arba;A280;OD:A280;NA;NA;FVG;NA;200.730697631836;12.8043;46.1435;NA
34;Tesis;A281;OD:A281;NA;NA;FVG;NA;176.20622253418;12.7889;46.1251;NA
35;Ponte meduna;A300;OD:A300;NA;NA;FVG;NA;19.6729736328125;12.6993;45.946;NA
