hc;cf;distanza;lv;quotaCF;quotaHC;quotaGap
Teor;Ariis;4538.5971054178935;5;13;7.206847667694092;5.793152332305908
Flambruzzo;Ariis;1896.1137298643132;9;13;11.445226669311523;1.5547733306884766
Flambruzzo villa badoglio;Ariis;1721.382253514576;22;13;11.445226669311523;1.5547733306884766
Case zoncolan;Ariis;537.9607969272827;13;13;10.054102897644043;2.945897102355957
Ariis;Ariis;661.8789717649347;0;13;10.054102897644043;2.945897102355957
Ariis cimitero;Ariis;1000.4652760474064;9;13;9.479960441589355;3.5200395584106445
Ariis parco;Ariis;846.0585947370906;6;13;10.054102897644043;2.945897102355957
Ariis centro e.t.p.;Ariis;882.0005662971237;14;13;10.054102897644043;2.945897102355957
Casali sacile;Ariis;1786.1547353597236;11;13;7.9696431159973145;5.0303568840026855
Casali petazzo;Ariis;1624.5371641171605;13;13;7.9478759765625;5.0521240234375
Pocenia;Ariis;4671.38548163081;6;13;5.05306339263916;7.94693660736084
Casali gambellini;Ariis;3586.474855841303;15;13;5.7831902503967285;7.2168097496032715
Casa di guardia;Ariis;2887.665849086528;13;13;17.048948287963867;4.048948287963867
Molino vecchio;Ariis;3041.944399841465;12;13;11.674541473388672;1.3254585266113281
Sivigliano;Ariis;2873.2556697189625;8;13;11.674541473388672;1.3254585266113281
Barcis ponte antoi;Barcis;641.4058611766943;12;468;470.39703369140625;2.39703369140625
Barcis bordo lago;Barcis;943.6155304154612;11;468;448.18267822265625;19.81732177734375
Barcis stazione forestale;Barcis;566.9700031629878;19;468;448.18267822265625;19.81732177734375
Andreis piazzola campeggio;Barcis;3227.1501085986874;23;468;462.1297912597656;5.870208740234375
Prapiero ponte svincolo gallerie;Barcis;2549.5228653451695;28;468;464.6763916015625;3.3236083984375
Castions di strada;Bicinicco;4436.075943617817;15;33;20.14171028137207;12.85828971862793
Ponte ss 252 km 14;Bicinicco;4533.233399996355;18;33;26.311248779296875;6.688751220703125
Fauglis;Bicinicco;4845.580038088328;8;33;17.458444595336914;15.541555404663086
Gris cuccana;Bicinicco;978.2721421969616;9;33;37.09934997558594;4.0993499755859375
Palmanova;Bicinicco;4967.852983350399;9;33;26.880163192749023;6.119836807250977
Venzone ponte per pioverno;Bordano;4088.1030539345675;22;230;239.41578674316406;9.4157867431640625
Venzone spalla ponte pioverno;Bordano;4087.2935132411726;25;230;239.41578674316406;9.4157867431640625
Alesso;Bordano;3280.852821520843;6;230;254.41456604003906;24.414566040039062
Prosecco eliporto;Borgo grotta gigante;891.1069235504339;16;275;273.6768493652344;1.323150634765625
Borgo grotta gigante;Borgo grotta gigante;21.972617659566282;0;275;274.7296447753906;0.270355224609375
Sacile ponte lacchin;Brugnera;4954.129471401589;17;22;22.27758026123047;0.27758026123046875
San cassiano;Brugnera;4656.329959697114;11;22;9.0826263427734375;12.917373657226562
Prata di sopra;Brugnera;4752.389296519576;11;22;12;10
Cormons;Capriva del friuli;3346.2966924906877;16;85;79.207275390625;5.792724609375
Ruzzis;Capriva del friuli;739.1827210812619;17;85;62.071739196777344;22.928260803222656
Tre ponti;Cervignano - scodovacca;4900.526616727767;20;6;0.11979803442955017;5.88020196557045
Muscoli;Cervignano - scodovacca;3158.4771057968537;20;6;2.1789941787719727;3.8210058212280273
Muscoli via san zenone;Cervignano - scodovacca;2613.867375149309;21;6;2.1789941787719727;3.8210058212280273
Cervignano floricoltura vrech;Cervignano - scodovacca;1749.399871915365;14;6;3.4289660453796387;2.5710339546203613
Castions delle mure casali fabbrica;Cervignano - scodovacca;4881.791091193647;26;6;1.4943509101867676;4.505649089813232
Cervignano;Cervignano - scodovacca;2218.181270070002;13;6;3.2710282802581787;2.7289717197418213
Scodovacca;Cervignano - scodovacca;253.6011237599804;14;6;4.342519760131836;1.657480239868164
Borgo modena;Cervignano - scodovacca;1073.2827853986594;16;6;4.265965461730957;1.734034538269043
Case polzin;Cervignano - scodovacca;1695.9705008744504;19;6;0.8759349584579468;5.124065041542053
Malborghetto di cervignano;Cervignano - scodovacca;1950.8989666966556;21;6;0;6
Ruda cimitero;Cervignano - scodovacca;2971.246268635643;20;6;8.37320327758789;2.3732032775878906
Turriaco;Cervignano - scodovacca;4855.424012661526;18;6;6.438595294952393;0.4385952949523926
Villa vicentina via sant'antonio;Cervignano - scodovacca;2853.09929254796;25;6;4.834527015686035;1.1654729843139648
Torviscosa molino;Cervignano del friuli;4971.308486132255;15;8;3.627873420715332;4.372126579284668
Torviscosa ponte ferrovia;Cervignano del friuli;4474.934433879226;16;8;2.5879039764404297;5.41209602355957
Tre ponti;Cervignano del friuli;3512.658116257368;17;8;0.11979803442955017;7.88020196557045
Muscoli;Cervignano del friuli;1600.474221926427;18;8;2.1789941787719727;5.821005821228027
Muscoli via san zenone;Cervignano del friuli;1557.570846021924;20;8;2.1789941787719727;5.821005821228027
Cervignano floricoltura vrech;Cervignano del friuli;2929.3328730868234;16;8;3.4289660453796387;4.571033954620361
Castions delle mure casali fabbrica;Cervignano del friuli;2120.2648508681136;26;8;1.4943509101867676;6.505649089813232
Visco;Cervignano del friuli;4860.674657508844;19;8;20.478994369506836;12.478994369506836
Cervignano;Cervignano del friuli;3706.552863088229;11;8;3.2710282802581787;4.728971719741821
Scodovacca;Cervignano del friuli;4118.056301295542;19;8;4.342519760131836;3.657480239868164
Borgo modena;Cervignano del friuli;4830.7173148958855;16;8;4.265965461730957;3.734034538269043
Ponte racli;Chievolis;1921.6939102296153;9;345;358.5740661621094;13.574066162109375
Cividale istituto agrario;Cividale del friuli;1814.4397963424344;14;127;132.30323791503906;5.3032379150390625
Cividale ponte del diavolo;Cividale del friuli;1438.552162012767;12;127;132.68756103515625;5.68756103515625
Biauzzo;Codroipo;4993.36609383878;7;37;44.248985290527344;7.248985290527344
Codroipo centro;Codroipo;2208.744943200411;7;37;37.96499252319336;0.9649925231933594
Codroipo;Codroipo;2022.0462550518578;0;37;42.48942565917969;5.4894256591796875
Zompicchia;Codroipo;1387.0717403201377;9;37;42.523799896240234;5.523799896240234
Goricizza caserme;Codroipo;2827.353137295437;15;37;41.91107940673828;4.911079406738281
