stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Ariis;2016;1;1;0.0;-4.5;0.4;7.6;47;75;92;-;-;-;-;-
Ariis;2016;1;2;12.2;-4.8;0.6;3.5;82;91;98;-;-;-;-;-
Ariis;2016;1;3;4.6;-1.3;1.7;4.6;64;80;95;-;-;-;-;-
Ariis;2016;1;4;5.6;-4.9;-0.9;1.0;76;94;100;-;-;-;-;-
Ariis;2016;1;5;1.8;-4.0;0.4;2.7;99;99;99;-;-;-;-;-
Ariis;2016;1;6;0.0;-1.8;1.2;5.7;95;99;100;-;-;-;-;-
Ariis;2016;1;7;0.2;-2.9;1.1;7.0;88;98;100;-;-;-;-;-
Ariis;2016;1;8;0.2;-1.5;2.7;7.5;97;99;100;-;-;-;-;-
Ariis;2016;1;9;20.0;4.1;5.4;7.3;99;99;99;-;-;-;-;-
Ariis;2016;1;10;2.8;5.5;6.7;7.5;99;99;99;-;-;-;-;-
Ariis;2016;1;11;14.8;6.0;9.7;13.7;91;98;100;-;-;-;-;-
Ariis;2016;1;12;0.2;1.6;5.7;10.0;87;98;100;-;-;-;-;-
Ariis;2016;1;13;0.2;-0.9;3.8;11.2;73;94;100;-;-;-;-;-
Ariis;2016;1;14;1.0;-1.3;3.4;7.2;89;96;100;-;-;-;-;-
Ariis;2016;1;15;0.0;0.2;4.0;9.4;69;91;100;-;-;-;-;-
Ariis;2016;1;16;0.2;-2.3;2.5;9.6;37;71;96;-;-;-;-;-
Ariis;2016;1;17;0.0;-5.1;0.3;6.5;34;66;93;-;-;-;-;-
Ariis;2016;1;18;0.0;-6.3;-1.0;5.8;25;57;81;-;-;-;-;-
Ariis;2016;1;19;0.0;-5.5;-1.5;5.2;40;70;85;-;-;-;-;-
Ariis;2016;1;20;0.0;-5.1;-1.1;5.5;49;74;90;-;-;-;-;-
Ariis;2016;1;21;0.0;-4.9;0.7;8.3;47;69;85;-;-;-;-;-
Ariis;2016;1;22;0.0;-2.6;1.1;6.3;48;69;81;-;-;-;-;-
