stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Barcis;2008;1;1;0;-7.9;-4.5;3.2;39;78;96;2;6;199;5371;-
Barcis;2008;1;2;0;-9.7;-5.9;1.3;53;84;96;2;7;189;4708;-
Barcis;2008;1;3;0;-7.4;-3.4;-0.4;64;82;96;1;8;102;2362;-
Barcis;2008;1;4;1.4;-2;-0.3;1.2;87;96;97;1;6;323;722;-
Barcis;2008;1;5;8.8;0.3;1.2;2.2;96;97;97;1;10;68;801;-
Barcis;2008;1;6;10.6;0.2;1.9;6.4;90;96;97;1;9;202;3495;-
Barcis;2008;1;7;0;-0.5;1.7;6;83;96;97;1;10;215;3802;-
Barcis;2008;1;8;0;-1;0.8;6.2;80;96;97;1;6;202;3113;-
Barcis;2008;1;9;0;-1.4;1.2;6.4;76;94;97;1;12;41;3465;-
Barcis;2008;1;10;0;-1.9;0;6.1;65;93;97;1;8;195;5522;-
Barcis;2008;1;11;5;-1.9;0.7;2.4;96;97;97;1;5;312;1206;-
Barcis;2008;1;12;205.4;2.1;4.2;7.9;96;97;97;3;23;347;347;-
Barcis;2008;1;13;35.4;2.8;3.7;4.4;96;97;97;1;8;268;590;-
Barcis;2008;1;14;0.2;3.9;4.9;7.3;90;96;97;3;17;60;3606;-
Barcis;2008;1;15;0.4;3.6;4.1;5.1;96;97;97;1;12;0;854;-
Barcis;2008;1;16;32;0.1;2.5;3.8;96;97;97;1;5;215;535;-
Barcis;2008;1;17;50.2;0.1;0.5;1.1;97;97;97;1;5;334;347;-
Barcis;2008;1;18;0;0.4;3;8.7;77;94;97;1;7;0;5986;-
Barcis;2008;1;19;0;0.2;2.4;5.1;86;95;97;1;6;98;3197;-
Barcis;2008;1;20;0;-1.3;2;8.2;70;94;97;2;14;90;6308;-
Barcis;2008;1;21;0.2;1.5;2.4;3.8;91;96;97;1;5;188;1222;-
Barcis;2008;1;22;0;0.5;3.3;7.9;15;80;97;3;27;9;5088;-
Barcis;2008;1;23;0;-3.2;0.9;7.8;18;54;87;3;19;299;7518;-
Barcis;2008;1;24;0;-4.5;-0.3;9.3;34;76;97;2;8;186;7367;-
Barcis;2008;1;25;0;-3;1;10.9;45;83;97;2;9;216;5352;-
Barcis;2008;1;26;0;-4;0.8;10.6;33;79;97;2;8;222;7418;-
Barcis;2008;1;27;0;-3.5;1.8;11.2;36;76;97;3;15;108;7682;-
Barcis;2008;1;28;0;-1;3.1;12.4;42;82;97;3;15;86;5660;-
Barcis;2008;1;29;0;-1.8;1.5;9.4;62;90;97;2;15;110;6667;-
Barcis;2008;1;30;0;-1.3;0.9;5.1;79;94;97;1;8;90;2104;-
Barcis;2008;1;31;0;-1.2;2.4;7;72;91;97;1;7;246;2428;-
Barcis;2008;2;1;0;2.1;2.9;3.6;93;97;97;3;15;66;709;-
Barcis;2008;2;2;11.2;0.2;1.7;2.6;97;97;97;1;5;97;954;-
Barcis;2008;2;3;3.6;1.6;2.7;5.2;85;96;97;1;5;50;2109;-
Barcis;2008;2;4;24.8;0.4;3;5.4;95;97;97;1;11;83;2166;-
Barcis;2008;2;5;26.6;0.1;1.8;7.3;90;96;97;1;8;202;3917;-
Barcis;2008;2;6;0;0.3;2.7;9.8;71;94;97;2;12;118;5970;-
Barcis;2008;2;7;0;-2.4;3.3;13.8;10;63;97;3;21;227;9967;-
Barcis;2008;2;8;0;-5.1;0.1;9.6;20;66;94;2;10;34;10215;-
Barcis;2008;2;9;0;-5.1;0;8.8;35;75;97;3;19;71;10191;-
Barcis;2008;2;10;0;-4.9;0;8.6;42;79;97;3;20;84;9698;-
Barcis;2008;2;11;0;-5.1;0.1;8.4;46;79;97;3;23;112;10355;-
Barcis;2008;2;12;0;-5.4;0;8.9;39;76;97;3;14;102;10520;-
Barcis;2008;2;13;0;-5.5;0.1;9.8;26;71;97;2;17;81;10885;-
Barcis;2008;2;14;0;-5.3;1;12.5;23;68;97;2;15;65;10946;-
Barcis;2008;2;15;0;-4.8;0.8;9.4;36;70;96;4;30;112;10714;-
Barcis;2008;2;16;0;-4.6;-1;3.1;44;63;91;5;23;70;10064;-
Barcis;2008;2;17;0;-8;-3.2;1.2;36;58;87;5;22;41;11434;-
Barcis;2008;2;18;0;-7.4;-1.5;7;37;68;95;3;17;58;11949;-
Barcis;2008;2;19;0;-5.9;0;9;35;71;97;4;21;60;11760;-
Barcis;2008;2;20;0;-5.9;-0.1;7.2;49;79;97;3;22;73;9576;-
Barcis;2008;2;21;0;-1.6;2.7;9.3;48;79;97;3;19;43;9736;-
Barcis;2008;2;22;0;-2.3;2.6;10;58;84;97;3;21;38;9362;-
Barcis;2008;2;23;0;-1.3;3;11;58;87;97;2;15;72;8001;-
Barcis;2008;2;24;0;-1.5;4.3;14.1;52;83;97;4;25;33;11520;-
Barcis;2008;2;25;0;-1.1;3.1;10.3;65;89;97;3;20;69;8457;-
Barcis;2008;2;26;0;-0.3;3.6;12.4;48;87;97;3;23;50;9297;-
Barcis;2008;2;27;0;1.6;4.2;6.7;76;88;97;2;15;76;2780;-
Barcis;2008;2;28;0;0.9;6.2;12.2;59;82;97;3;22;313;7425;-
Barcis;2008;2;29;0;5;6.6;8.8;80;91;97;3;18;69;3645;-
Barcis;2008;3;1;0;5.5;7;12.8;49;88;97;2;22;194;3303;-
Barcis;2008;3;2;0;1.3;8;15.8;49;73;97;5;29;76;14288;-
Barcis;2008;3;3;0;0.9;7.3;13.1;64;84;97;3;16;107;6960;-
Barcis;2008;3;4;22.4;0.7;4;8.4;89;95;97;2;15;48;569;-
Barcis;2008;3;5;0;-1.9;2.8;9.3;17;62;97;4;20;56;10398;-
Barcis;2008;3;6;0;-2.7;2.8;9.5;15;44;66;4;14;204;8794;-
Barcis;2008;3;7;1.8;2.3;6.3;11.6;55;75;97;4;23;64;5740;-
Barcis;2008;3;8;0.6;3.5;5.9;8.7;67;82;97;2;13;39;4989;-
Barcis;2008;3;9;0.4;3.9;5.1;6.5;87;95;97;2;14;95;1434;-
Barcis;2008;3;10;13.8;3.7;4.9;5.9;95;97;97;1;9;58;2443;-
Barcis;2008;3;11;7.6;1.9;4.7;9.8;68;93;97;3;17;88;6962;-
Barcis;2008;3;12;0;1.4;4.4;8.5;76;92;97;2;10;93;3616;-
Barcis;2008;3;13;0;1;6.1;14.4;44;81;97;4;31;59;14748;-
Barcis;2008;3;14;0;0.1;7;14;45;78;97;4;23;29;14288;-
Barcis;2008;3;15;0;6.2;7.9;10.4;64;83;93;1;9;97;2752;-
Barcis;2008;3;16;6.8;2.8;6.2;8.2;93;96;97;2;14;347;1136;-
Barcis;2008;3;17;0;1.4;7.2;13.4;60;87;97;4;23;76;13530;-
Barcis;2008;3;18;0;-1.3;5.8;8.4;61;79;97;5;28;89;4623;-
Barcis;2008;3;19;0;-3.5;2.7;9.7;30;64;97;5;24;79;16679;-
Barcis;2008;3;20;0;-3;2.7;10.4;9;51;94;4;19;78;14303;-
Barcis;2008;3;21;2.6;-2.9;1.2;6.3;50;76;97;4;24;46;6593;-
