stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Bicinicco;2015;1;1;0.0;-5.0;0.3;7.2;34;59;79;5;27;0;-;-
Bicinicco;2015;1;2;0.0;-2.9;2.6;9.9;53;79;98;3;14;3;-;-
Bicinicco;2015;1;3;0.0;-1.4;4.3;12.2;54;82;99;5;21;67;-;-
Bicinicco;2015;1;4;0.0;-1.8;5.6;13.2;18;62;99;11;43;358;-;-
Bicinicco;2015;1;5;0.0;-1.8;3.1;10.9;27;55;81;5;29;338;-;-
Bicinicco;2015;1;6;0.0;-3.6;3.2;10.6;41;66;83;6;15;23;-;-
Bicinicco;2015;1;7;0.2;3.0;4.9;7.2;68;78;91;4;14;12;-;-
Bicinicco;2015;1;8;0.0;3.4;5.3;7.8;76;86;95;4;12;13;-;-
Bicinicco;2015;1;9;0.0;2.6;5.4;7.6;82;93;99;2;10;360;-;-
Bicinicco;2015;1;10;0.0;-0.9;4.6;10.3;82;95;99;3;13;67;-;-
Bicinicco;2015;1;11;0.2;-1.3;6.4;9.8;27;79;99;6;27;6;-;-
Bicinicco;2015;1;12;0.0;-1.5;3.8;11.6;37;63;86;7;26;244;-;-
Bicinicco;2015;1;13;0.0;0.4;4.4;10.9;52;78;95;5;14;132;-;-
Bicinicco;2015;1;14;0.0;-0.7;5.2;9.6;71;84;99;3;11;33;-;-
Bicinicco;2015;1;15;0.0;-0.2;5.2;9.8;78;91;99;3;12;25;-;-
Bicinicco;2015;1;16;2.2;4.0;8.2;10.4;88;94;99;4;14;109;-;-
Bicinicco;2015;1;17;6.2;4.6;10.6;13.1;83;90;97;12;41;152;-;-
Bicinicco;2015;1;18;0.0;0.8;6.2;13.2;48;87;99;4;12;93;-;-
Bicinicco;2015;1;19;0.2;-0.1;4.0;11.4;53;83;98;4;11;14;-;-
Bicinicco;2015;1;20;0.0;0.1;4.4;12.5;34;80;95;5;15;355;-;-
Bicinicco;2015;1;21;1.2;0.6;5.6;9.2;68;82;91;7;18;10;-;-
Bicinicco;2015;1;22;3.4;5.4;7.3;10.8;73;85;96;9;21;26;-;-
Bicinicco;2015;1;23;0.0;4.5;8.0;14.2;49;74;91;7;24;11;-;-
Bicinicco;2015;1;24;0.0;3.2;6.9;10.7;68;80;91;4;17;199;-;-
Bicinicco;2015;1;25;0.0;-0.4;3.7;9.8;49;80;99;3;13;205;-;-
Bicinicco;2015;1;26;0.0;-3.3;1.9;8.6;37;73;95;4;10;77;-;-
Bicinicco;2015;1;27;0.0;-2.3;1.7;8.3;36;73;87;4;17;288;-;-
Bicinicco;2015;1;28;0.0;-4.7;1.1;8.9;34;68;89;4;15;231;-;-
Bicinicco;2015;1;29;3.0;-2.3;1.7;4.7;76;87;98;5;19;0;-;-
Bicinicco;2015;1;30;22.2;-0.7;3.1;5.6;74;93;98;8;35;341;-;-
Bicinicco;2015;1;31;0.2;-0.1;3.6;8.3;65;85;99;8;26;17;-;-
Bicinicco;2015;2;1;0.2;-1.4;3.2;6.3;63;80;97;8;27;0;-;-
Bicinicco;2015;2;2;0.0;-2.7;1.4;8.1;60;88;99;4;14;157;-;-
Bicinicco;2015;2;3;0.6;-1.0;2.4;6.1;73;87;98;6;21;133;-;-
Bicinicco;2015;2;4;0.0;1.1;5.3;8.9;53;68;84;11;33;31;-;-
Bicinicco;2015;2;5;2.2;1.7;4.6;7.1;49;67;92;24;58;35;-;-
Bicinicco;2015;2;6;0.0;3.8;6.3;8.4;45;52;60;16;53;42;-;-
Bicinicco;2015;2;7;0.0;-4.3;2.6;6.6;44;59;88;8;32;76;-;-
Bicinicco;2015;2;8;0.0;-4.5;2.0;10.4;20;58;89;9;57;345;-;-
Bicinicco;2015;2;9;0.0;-5.2;0.3;7.4;38;64;90;5;19;198;-;-
Bicinicco;2015;2;10;0.0;-4.3;2.4;10.9;38;73;93;4;11;356;-;-
Bicinicco;2015;2;11;0.0;-2.4;4.4;13.7;39;74;95;4;14;193;-;-
Bicinicco;2015;2;12;0.0;-2.5;3.7;11.1;45;74;99;6;17;94;-;-
Bicinicco;2015;2;13;0.0;-2.5;3.9;7.0;60;76;93;3;17;48;-;-
Bicinicco;2015;2;14;0.0;3.8;5.7;7.9;86;91;96;5;14;16;-;-
Bicinicco;2015;2;15;5.2;6.0;7.7;11.9;65;87;98;8;22;337;-;-
Bicinicco;2015;2;16;0.0;1.7;8.4;15.1;36;63;83;9;21;9;-;-
Bicinicco;2015;2;17;0.0;1.7;7.1;13.2;34;58;85;11;29;123;-;-
Bicinicco;2015;2;18;0.0;-1.4;5.1;12.5;32;59;84;6;23;108;-;-
Bicinicco;2015;2;19;0.0;-2.3;3.4;11.2;41;70;96;4;15;253;-;-
Bicinicco;2015;2;20;0.0;-3.7;2.5;10.4;54;83;99;4;16;196;-;-
Bicinicco;2015;2;21;0.0;1.2;6.0;9.1;64;80;98;6;17;31;-;-
Bicinicco;2015;2;22;3.8;6.0;8.3;10.9;61;77;91;13;33;78;-;-
Bicinicco;2015;2;23;0.2;7.0;9.3;13.1;57;76;96;5;18;27;-;-
Bicinicco;2015;2;24;0.4;6.7;8.8;11.1;54;81;99;8;32;20;-;-
Bicinicco;2015;2;25;0.0;5.7;10.0;15.3;27;51;76;9;30;32;-;-
Bicinicco;2015;2;26;0.0;3.6;9.0;14.2;31;56;79;4;18;201;-;-
Bicinicco;2015;2;27;0.0;0.4;7.5;14.9;34;63;88;5;17;74;-;-
