stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Boa Paloma;2014;1;1;0.0;7.9;9.1;10.7;63;73;79;8;18;300;4996;1021.4
Boa Paloma;2014;1;2;4.2;6.6;8.4;9.5;73;85;99;8;19;13;2058;1019.8
Boa Paloma;2014;1;3;0.4;8.5;9.3;10.5;88;96;100;6;19;176;1133;1022.1
Boa Paloma;2014;1;4;0.4;9.2;11.8;15.4;78;91;100;22;71;163;1002;1016.5
Boa Paloma;2014;1;5;11.9;10.3;12.4;15.7;76;92;99;16;58;135;1540;1008.4
Boa Paloma;2014;1;6;0.1;10.3;11.7;12.9;69;87;100;8;21;77;3757;1020.6
Boa Paloma;2014;1;7;0.0;7.4;10.7;12.6;82;94;99;6;15;279;4200;1025.8
Boa Paloma;2014;1;8;0.1;7.6;9.1;10.0;89;96;100;6;14;136;2030;1028.4
Boa Paloma;2014;1;9;0.0;7.9;8.3;8.9;90;97;99;4;17;246;750;1024.3
Boa Paloma;2014;1;10;0.0;8.1;8.9;9.5;94;98;100;6;18;196;386;1021.6
Boa Paloma;2014;1;11;0.0;7.9;8.7;9.2;98;99;100;4;14;343;917;1024.1
Boa Paloma;2014;1;12;0.0;7.5;8.7;11.2;94;98;100;5;15;263;4023;1024.9
Boa Paloma;2014;1;13;0.0;7.7;8.8;9.4;85;93;100;6;20;272;1424;1021.3
Boa Paloma;2014;1;14;0.3;8.8;10.9;12.9;75;91;99;19;57;158;759;1009.2
Boa Paloma;2014;1;15;0.0;8.1;8.8;9.4;86;92;98;8;15;275;4246;1013.6
Boa Paloma;2014;1;16;0.0;7.5;7.9;8.9;82;93;97;6;18;299;1843;1017.8
Boa Paloma;2014;1;17;1.2;8.3;11.7;13.6;67;86;100;25;54;189;663;1012.0
Boa Paloma;2014;1;18;5.4;10.5;11.9;14.7;73;95;100;13;45;152;1130;1010.7
Boa Paloma;2014;1;19;0.2;11.2;13.8;15.5;75;87;100;21;50;155;3832;1003.8
Boa Paloma;2014;1;20;0.0;8.5;11.1;12.2;88;94;100;6;24;170;3013;1002.3
Boa Paloma;2014;1;21;0.0;8.6;11.8;13.2;60;72;100;19;44;92;3468;1004.9
Boa Paloma;2014;1;22;0.0;10.0;10.9;12.6;58;82;96;6;14;92;3930;1012.6
Boa Paloma;2014;1;23;0.1;8.3;9.8;10.9;84;93;100;4;21;254;4736;1016.6
Boa Paloma;2014;1;24;3.1;6.1;7.6;9.6;53;71;97;35;71;58;1241;1009.8
Boa Paloma;2014;1;25;0.0;5.5;7.1;8.8;45;55;63;24;56;64;8958;1012.6
Boa Paloma;2014;1;26;0.0;5.3;6.4;7.8;49;62;74;9;27;96;3708;1011.8
Boa Paloma;2014;1;27;2.6;4.5;6.9;9.1;59;69;87;19;68;75;3392;1004.3
Boa Paloma;2014;1;28;0.0;3.7;5.3;6.5;51;57;63;40;72;80;3887;1002.0
Boa Paloma;2014;1;29;0.0;3.4;5.3;7.2;43;54;78;19;47;84;4047;1009.3
Boa Paloma;2014;1;30;4.8;4.7;9.4;14.5;68;81;93;28;56;132;1089;1011.7
Boa Paloma;2014;1;31;29.6;9.7;13.4;14.9;65;80;100;29;69;153;807;1012.5
Boa Paloma;2014;2;1;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2014;2;2;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2014;2;3;5.6;5.7;9.6;14.9;58;76;100;32;59;84;3808;1015.2
Boa Paloma;2014;2;4;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2014;2;5;17.0;5.6;8.9;11.1;58;81;96;22;53;78;4637;1015.8
Boa Paloma;2014;2;6;0.0;7.3;9.4;10.7;70;86;95;13;34;67;8432;1015.4
Boa Paloma;2014;2;7;0.2;7.6;10.1;13.1;74;88;97;17;69;219;5772;1014.1
Boa Paloma;2014;2;8;0.2;8.9;10.4;12.8;75;89;99;19;63;165;5395;1009.3
Boa Paloma;2014;2;9;2.5;6.7;10.2;13.1;63;82;100;28;66;162;1715;1004.5
Boa Paloma;2014;2;10;10.9;7.3;10.3;14.4;57;83;97;21;71;198;1960;1007.5
Boa Paloma;2014;2;11;-;-;-;-;-;-;-;-;-;-;-;-
Boa Paloma;2014;2;12;2.9;7.7;9.9;12.9;60;88;100;10;66;180;7893;1009.7
Boa Paloma;2014;2;13;-;8.0;10.3;12.5;64;82;96;20;55;238;8407;1010.4
Boa Paloma;2014;2;14;-;7.6;9.7;11.8;57;84;97;12;34;271;12064;1012.8
Boa Paloma;2014;2;15;-;8.6;10.0;11.3;57;77;93;7;19;111;4779;1017.6
Boa Paloma;2014;2;16;-;10.1;13.1;14.8;77;84;93;21;39;161;3408;1015.0
Boa Paloma;2014;2;17;0.4;9.4;12.5;14.9;75;88;97;21;55;183;3014;1015.3
Boa Paloma;2014;2;18;0.0;8.6;10.6;13.3;79;90;98;6;22;65;5270;1021.7
Boa Paloma;2014;2;19;2.2;11.3;13.0;14.8;73;86;98;17;51;188;1987;1014.2
Boa Paloma;2014;2;20;4.2;8.4;10.7;11.7;59;71;96;29;54;82;3151;1015.1
Boa Paloma;2014;2;21;0.0;9.5;10.8;13.1;69;81;92;8;28;95;9329;1012.7
Boa Paloma;2014;2;22;6.2;8.5;9.7;10.8;56;77;94;22;50;71;1602;1015.3
Boa Paloma;2014;2;23;0.0;7.7;9.8;11.6;40;60;83;15;39;91;10673;1023.2
Boa Paloma;2014;2;24;0.0;9.0;11.0;13.0;43;60;84;13;39;71;13942;1022.3
Boa Paloma;2014;2;25;0.0;8.1;10.0;13.9;58;75;89;9;18;106;13724;1021.0
Boa Paloma;2014;2;26;0.7;9.0;11.1;12.1;64;76;93;12;22;102;12502;1021.5
Boa Paloma;2014;2;27;1.3;9.6;10.8;12.0;65;81;97;15;34;185;11694;1020.5
Boa Paloma;2014;2;28;7.3;7.6;9.3;12.3;65;79;89;15;42;295;10354;1012.3
Boa Paloma;2014;3;1;5.3;7.9;10.3;12.2;60;76;92;24;44;81;3734;1002.9
Boa Paloma;2014;3;2;0.0;8.6;11.1;12.3;54;63;95;25;51;64;3688;1000.6
Boa Paloma;2014;3;3;0.0;9.5;10.6;11.7;55;68;84;8;23;181;6517;998.9
Boa Paloma;2014;3;4;0.0;9.7;10.9;12.5;44;59;70;35;69;78;5342;998.9
Boa Paloma;2014;3;5;0.0;11.3;12.8;15.0;38;52;65;23;54;59;12844;1010.5
Boa Paloma;2014;3;6;0.0;12.0;13.6;15.9;31;44;60;21;54;42;13882;1019.8
Boa Paloma;2014;3;7;0.0;10.9;12.7;15.2;43;53;62;25;48;86;15813;1023.2
Boa Paloma;2014;3;8;0.0;10.2;12.6;15.3;32;49;61;26;60;53;15937;1028.4
Boa Paloma;2014;3;9;0.0;11.1;13.8;18.0;14;38;57;19;70;50;16796;1029.2
Boa Paloma;2014;3;10;0.0;11.4;12.5;13.8;36;43;53;35;71;69;16726;1024.1
Boa Paloma;2014;3;11;0.0;10.2;12.8;16.1;15;34;51;24;66;57;16153;1025.3
Boa Paloma;2014;3;12;0.0;9.9;12.9;16.1;16;51;84;13;35;10;17436;1029.6
Boa Paloma;2014;3;13;0.0;10.0;12.7;16.4;20;61;86;12;28;72;16604;1028.4
Boa Paloma;2014;3;14;0.0;10.3;12.1;15.7;49;75;91;7;21;213;16773;1025.6
Boa Paloma;2014;3;15;0.0;9.8;11.5;12.8;60;80;92;11;29;205;12365;1018.0
Boa Paloma;2014;3;16;0.0;9.9;11.4;14.9;64;77;89;5;18;13;16658;1016.5
Boa Paloma;2014;3;17;0.0;9.4;11.5;14.1;72;84;96;5;13;292;17631;1019.2
Boa Paloma;2014;3;18;0.0;10.3;11.6;12.5;80;91;96;7;21;186;13504;1019.5
Boa Paloma;2014;3;19;0.0;9.6;12.0;14.2;82;95;100;6;19;263;12190;1021.1
Boa Paloma;2014;3;20;0.0;11.9;14.1;16.8;54;72;98;7;25;90;18237;1025.3
