stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Bordano;2014;1;1;0;2.2;5.3;10.2;-;-;-;-;-;-;-;-
Bordano;2014;1;2;0.2;3.1;5.8;7.9;-;-;-;-;-;-;-;-
Bordano;2014;1;3;0;4.3;7.5;10.8;-;-;-;-;-;-;-;-
Bordano;2014;1;4;183.2;4.1;6.9;9.6;-;-;-;-;-;-;-;-
Bordano;2014;1;5;57.8;8;8.9;10.3;-;-;-;-;-;-;-;-
Bordano;2014;1;6;0.4;7.5;9.5;12.3;-;-;-;-;-;-;-;-
Bordano;2014;1;7;0;8.1;9.6;11.6;-;-;-;-;-;-;-;-
Bordano;2014;1;8;0;5.9;8.3;9.8;-;-;-;-;-;-;-;-
Bordano;2014;1;9;0.6;5.2;7;8.9;-;-;-;-;-;-;-;-
Bordano;2014;1;10;0.8;6.9;8.5;10.9;-;-;-;-;-;-;-;-
Bordano;2014;1;11;0;7.4;9;10.3;-;-;-;-;-;-;-;-
Bordano;2014;1;12;0;4;7.8;12.9;-;-;-;-;-;-;-;-
Bordano;2014;1;13;0.8;6;7.5;8.8;-;-;-;-;-;-;-;-
Bordano;2014;1;14;114.2;4;5.6;7.4;-;-;-;-;-;-;-;-
Bordano;2014;1;15;0.2;4.2;7;11;-;-;-;-;-;-;-;-
Bordano;2014;1;16;1.8;4.4;5.7;7;-;-;-;-;-;-;-;-
Bordano;2014;1;17;83.2;5.3;6.3;7.6;-;-;-;-;-;-;-;-
Bordano;2014;1;18;61.6;6.2;8;9.7;-;-;-;-;-;-;-;-
Bordano;2014;1;19;82.8;7.4;8.7;10.4;-;-;-;-;-;-;-;-
Bordano;2014;1;20;0.2;7.7;9.6;11.1;-;-;-;-;-;-;-;-
Bordano;2014;1;21;0;6.4;10.1;14.6;-;-;-;-;-;-;-;-
Bordano;2014;1;22;0;5.2;7.9;10.7;-;-;-;-;-;-;-;-
Bordano;2014;1;23;2.6;6;8.1;10.7;-;-;-;-;-;-;-;-
Bordano;2014;1;24;5.4;5.4;8.2;10.3;-;-;-;-;-;-;-;-
Bordano;2014;1;25;0;3;7.5;12.6;-;-;-;-;-;-;-;-
Bordano;2014;1;26;0;2.8;4.9;8.3;-;-;-;-;-;-;-;-
Bordano;2014;1;27;5.6;2.9;5;8.5;-;-;-;-;-;-;-;-
Bordano;2014;1;28;0;2.7;5.2;8;-;-;-;-;-;-;-;-
Bordano;2014;1;29;0;0.3;2.7;4.3;-;-;-;-;-;-;-;-
Bordano;2014;1;30;102.4;2;2.9;4.3;-;-;-;-;-;-;-;-
Bordano;2014;1;31;201.4;3;4.7;6.9;-;-;-;-;-;-;-;-
Bordano;2014;2;1;157;5.8;7.1;8.4;-;-;-;-;-;-;-;-
Bordano;2014;2;2;52.4;5.1;6.5;8.6;-;-;-;-;-;-;-;-
Bordano;2014;2;3;16.4;4.6;5.8;7.7;-;-;-;-;-;-;-;-
Bordano;2014;2;4;39.8;4.4;5.4;6.8;-;-;-;-;-;-;-;-
Bordano;2014;2;5;25.4;4.1;5.9;7.9;-;-;-;-;-;-;-;-
Bordano;2014;2;6;0;5.8;8.2;12;-;-;-;-;-;-;-;-
Bordano;2014;2;7;48.8;4;6.5;8.7;-;-;-;-;-;-;-;-
Bordano;2014;2;8;9.8;3.9;7.3;9.8;-;-;-;-;-;-;-;-
Bordano;2014;2;9;72.2;3.2;5.6;7.8;-;-;-;-;-;-;-;-
Bordano;2014;2;10;62.4;3;4.8;7.1;-;-;-;-;-;-;-;-
Bordano;2014;2;11;12;3.8;6.6;8.9;-;-;-;-;-;-;-;-
Bordano;2014;2;12;0;4.7;8.9;15.3;-;-;-;-;-;-;-;-
Bordano;2014;2;13;15.8;3;6;10.6;-;-;-;-;-;-;-;-
Bordano;2014;2;14;0;4.2;7.4;14.3;-;-;-;-;-;-;-;-
Bordano;2014;2;15;0.2;3.2;7.5;13.3;-;-;-;-;-;-;-;-
Bordano;2014;2;16;106;6.3;9.5;13.5;-;-;-;-;-;-;-;-
Bordano;2014;2;17;135.8;3.4;6.8;11.1;-;-;-;-;-;-;-;-
Bordano;2014;2;18;0.4;5.7;9.6;15.1;-;-;-;-;-;-;-;-
Bordano;2014;2;19;191.8;7.5;9.1;10.6;-;-;-;-;-;-;-;-
Bordano;2014;2;20;9.6;6.5;9.1;11.9;-;-;-;-;-;-;-;-
Bordano;2014;2;21;0;5.8;9.8;14.4;-;-;-;-;-;-;-;-
Bordano;2014;2;22;38.8;5.5;7.2;8.9;-;-;-;-;-;-;-;-
Bordano;2014;2;23;0;4.3;8.5;15.1;-;-;-;-;-;-;-;-
Bordano;2014;2;24;0;3.6;8.7;16.2;-;-;-;-;-;-;-;-
Bordano;2014;2;25;0;3.1;8.5;14.1;-;-;-;-;-;-;-;-
Bordano;2014;2;26;0;7.4;9.8;12.3;-;-;-;-;-;-;-;-
Bordano;2014;2;27;11.8;5.3;8.3;11.9;-;-;-;-;-;-;-;-
Bordano;2014;2;28;5.4;4.8;6.5;8.8;-;-;-;-;-;-;-;-
Bordano;2014;3;1;30.6;4.5;5.8;6.9;-;-;-;-;-;-;-;-
Bordano;2014;3;2;1.2;5.2;9.4;13.1;-;-;-;-;-;-;-;-
Bordano;2014;3;3;0;4.1;8;11.2;-;-;-;-;-;-;-;-
Bordano;2014;3;4;0;7.2;10.9;13.8;-;-;-;-;-;-;-;-
Bordano;2014;3;5;0;8.2;13;18.1;-;-;-;-;-;-;-;-
Bordano;2014;3;6;0;7.4;13.4;18;-;-;-;-;-;-;-;-
Bordano;2014;3;7;0;6.8;12.6;18.2;-;-;-;-;-;-;-;-
Bordano;2014;3;8;0;6;12.1;20.4;-;-;-;-;-;-;-;-
Bordano;2014;3;9;0;6.1;11.9;19.9;-;-;-;-;-;-;-;-
Bordano;2014;3;10;0;6.2;11.4;17.3;-;-;-;-;-;-;-;-
Bordano;2014;3;11;0;6.2;10.6;17.4;-;-;-;-;-;-;-;-
Bordano;2014;3;12;0;6.2;12.9;21.1;-;-;-;-;-;-;-;-
Bordano;2014;3;13;0;6.4;13.1;20.9;-;-;-;-;-;-;-;-
Bordano;2014;3;14;0;6.8;13.2;21;-;-;-;-;-;-;-;-
Bordano;2014;3;15;0;6.5;10.3;15.1;-;-;-;-;-;-;-;-
Bordano;2014;3;16;0;6.3;11.6;17.7;-;-;-;-;-;-;-;-
Bordano;2014;3;17;0;6.6;12.9;20;-;-;-;-;-;-;-;-
Bordano;2014;3;18;0;7.6;13.2;19.9;-;-;-;-;-;-;-;-
Bordano;2014;3;19;0;11;14.9;20.9;-;-;-;-;-;-;-;-
Bordano;2014;3;20;0;8.1;14.7;21.6;-;-;-;-;-;-;-;-
Bordano;2014;3;21;0;8.4;13.8;19.2;-;-;-;-;-;-;-;-
Bordano;2014;3;22;48.2;8.9;10.9;14.9;-;-;-;-;-;-;-;-
Bordano;2014;3;23;164.6;7.1;9.5;12.8;-;-;-;-;-;-;-;-
Bordano;2014;3;24;17.4;3.1;8.3;12.5;-;-;-;-;-;-;-;-
Bordano;2014;3;25;0;4.1;7.8;13;-;-;-;-;-;-;-;-
Bordano;2014;3;26;0;4.4;9.4;13;-;-;-;-;-;-;-;-
Bordano;2014;3;27;0;8.8;12.3;16.1;-;-;-;-;-;-;-;-
Bordano;2014;3;28;0;8.6;14.4;20.5;-;-;-;-;-;-;-;-
Bordano;2014;3;29;0;7.2;14.6;21.8;-;-;-;-;-;-;-;-
Bordano;2014;3;30;0;8.2;14.7;21.4;-;-;-;-;-;-;-;-
Bordano;2014;3;31;0;8;14.2;20.4;-;-;-;-;-;-;-;-
Bordano;2014;4;1;0;9;14.9;21.2;-;-;-;-;-;-;-;-
Bordano;2014;4;2;0;11.5;15;19.6;-;-;-;-;-;-;-;-
Bordano;2014;4;3;0;12;13.6;15.7;-;-;-;-;-;-;-;-
Bordano;2014;4;4;0;10.1;15.9;21.4;-;-;-;-;-;-;-;-
Bordano;2014;4;5;3.2;12.5;15.4;18.4;-;-;-;-;-;-;-;-
Bordano;2014;4;6;0;11.2;16.9;22.9;-;-;-;-;-;-;-;-
Bordano;2014;4;7;0;10.7;17.5;24.3;-;-;-;-;-;-;-;-
Bordano;2014;4;8;5.6;11.8;16.3;21.7;-;-;-;-;-;-;-;-
Bordano;2014;4;9;0;8.8;14.7;21.4;-;-;-;-;-;-;-;-
Bordano;2014;4;10;0;6.4;12.5;19.2;-;-;-;-;-;-;-;-
Bordano;2014;4;11;0;10.4;13.4;17.4;-;-;-;-;-;-;-;-
Bordano;2014;4;12;0;10.8;13.7;17.1;-;-;-;-;-;-;-;-
Bordano;2014;4;13;0;11;14.1;18.3;-;-;-;-;-;-;-;-
Bordano;2014;4;14;0;9.4;13.6;16.3;-;-;-;-;-;-;-;-
Bordano;2014;4;15;0;9.8;13.3;17.7;-;-;-;-;-;-;-;-
Bordano;2014;4;16;0;6;12.2;17.6;-;-;-;-;-;-;-;-
Bordano;2014;4;17;0;5;13.2;22.5;-;-;-;-;-;-;-;-
Bordano;2014;4;18;3.8;6.5;13.7;21.1;-;-;-;-;-;-;-;-
Bordano;2014;4;19;2.4;8.9;12.2;15.9;-;-;-;-;-;-;-;-
Bordano;2014;4;20;2;9.9;11.7;13.9;-;-;-;-;-;-;-;-
Bordano;2014;4;21;6.4;10.1;12.8;15.6;-;-;-;-;-;-;-;-
Bordano;2014;4;22;0;9.8;15.3;20.5;-;-;-;-;-;-;-;-
Bordano;2014;4;23;0;12.5;18.4;24;-;-;-;-;-;-;-;-
Bordano;2014;4;24;0;13.7;18.8;25.1;-;-;-;-;-;-;-;-
Bordano;2014;4;25;0;12;18.7;26.3;-;-;-;-;-;-;-;-
Bordano;2014;4;26;0;13.9;17.9;25.2;-;-;-;-;-;-;-;-
Bordano;2014;4;27;11.2;13.8;15.6;18.9;-;-;-;-;-;-;-;-
Bordano;2014;4;28;3;13.2;15.9;19.4;-;-;-;-;-;-;-;-
Bordano;2014;4;29;0;12.2;15.8;23.4;-;-;-;-;-;-;-;-
Bordano;2014;4;30;0;11.1;14.8;19.3;-;-;-;-;-;-;-;-
Bordano;2014;5;1;0;11.5;16.8;25.2;-;-;-;-;-;-;-;-
Bordano;2014;5;2;4;12;14.6;19.2;-;-;-;-;-;-;-;-
Bordano;2014;5;3;0.2;13.3;17.2;20.8;-;-;-;-;-;-;-;-
Bordano;2014;5;4;0;10.3;17.7;24.2;-;-;-;-;-;-;-;-
Bordano;2014;5;5;0;8;14.2;20.8;-;-;-;-;-;-;-;-
Bordano;2014;5;6;0;9.2;15.7;21.1;-;-;-;-;-;-;-;-
Bordano;2014;5;7;18.6;12;14.8;17.9;-;-;-;-;-;-;-;-
Bordano;2014;5;8;0;11.5;16.7;22.9;-;-;-;-;-;-;-;-
Bordano;2014;5;9;0;12.5;17.7;23.8;-;-;-;-;-;-;-;-
Bordano;2014;5;10;0;14.1;20.6;27.1;-;-;-;-;-;-;-;-
Bordano;2014;5;11;52.8;10.6;15.3;18.8;-;-;-;-;-;-;-;-
Bordano;2014;5;12;0.4;8.9;13.8;20.8;-;-;-;-;-;-;-;-
Bordano;2014;5;13;4.4;9.9;13.6;20.4;-;-;-;-;-;-;-;-
Bordano;2014;5;14;0;8;15.7;22.2;-;-;-;-;-;-;-;-
Bordano;2014;5;15;0;13.1;17.1;20.1;-;-;-;-;-;-;-;-
Bordano;2014;5;16;0;12.3;18.6;22.3;-;-;-;-;-;-;-;-
Bordano;2014;5;17;0;10.8;15.6;21.4;-;-;-;-;-;-;-;-
Bordano;2014;5;18;7.4;12.7;13.9;15.3;-;-;-;-;-;-;-;-
Bordano;2014;5;19;3;12.3;15.5;22.6;-;-;-;-;-;-;-;-
Bordano;2014;5;20;0;10.8;17.1;23.1;-;-;-;-;-;-;-;-
Bordano;2014;5;21;0;15.1;19.2;24.6;-;-;-;-;-;-;-;-
Bordano;2014;5;22;0;16.7;21;26.4;-;-;-;-;-;-;-;-
Bordano;2014;5;23;13;16.4;18.7;22.6;-;-;-;-;-;-;-;-
Bordano;2014;5;24;0.2;14.6;19.4;26;-;-;-;-;-;-;-;-
Bordano;2014;5;25;0;14;21;29.2;-;-;-;-;-;-;-;-
