stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Borgo Grotta Gigante;2011;1;1;0.0;-2.4;2.4;6.9;67;83;93;-;15;-;4002;985.0
Borgo Grotta Gigante;2011;1;2;0.0;0.7;2.9;4.8;66;74;90;15;66;-;2598;981.5
Borgo Grotta Gigante;2011;1;3;0.0;-3.7;0.7;5.2;31;54;71;14;48;-;6820;987.1
Borgo Grotta Gigante;2011;1;4;0.0;-5.2;-2.1;1.9;46;62;76;11;32;-;5277;987.0
Borgo Grotta Gigante;2011;1;5;0.0;-5.8;-1.0;2.6;50;68;81;-;25;-;3033;986.6
Borgo Grotta Gigante;2011;1;6;5.8;-1.7;1.1;3.3;72;87;97;-;17;-;1896;987.2
Borgo Grotta Gigante;2011;1;7;6.6;2.3;4.6;6.6;97;98;99;-;8;-;1067;990.1
Borgo Grotta Gigante;2011;1;8;6.4;6.5;7.4;8.3;99;99;99;-;12;-;1131;989.0
Borgo Grotta Gigante;2011;1;9;0.2;7.2;7.8;8.4;99;99;99;-;15;-;1902;988.8
Borgo Grotta Gigante;2011;1;10;3.0;7.1;9.5;11.3;88;96;99;7;25;-;2384;986.5
Borgo Grotta Gigante;2011;1;11;14.2;6.6;8.0;9.8;93;97;99;-;18;-;1351;980.7
Borgo Grotta Gigante;2011;1;12;0.6;2.7;6.7;11.8;79;95;99;-;20;-;5968;985.2
Borgo Grotta Gigante;2011;1;13;0.0;0.9;4.3;5.7;96;98;99;-;15;-;2451;984.9
Borgo Grotta Gigante;2011;1;14;0.0;2.5;5.1;8.6;82;95;99;-;12;-;4854;986.6
Borgo Grotta Gigante;2011;1;15;1.6;2.4;5.1;6.7;95;98;99;-;21;-;2338;990.4
Borgo Grotta Gigante;2011;1;16;0.0;1.4;4.0;11.2;82;96;99;8;32;-;5995;995.7
Borgo Grotta Gigante;2011;1;17;0.2;-1.5;2.5;9.6;74;93;99;-;17;-;7466;993.6
Borgo Grotta Gigante;2011;1;18;0.0;-2.5;0.4;8.3;82;97;99;-;15;-;5496;990.8
Borgo Grotta Gigante;2011;1;19;0.6;-0.7;3.3;7.3;74;91;99;8;40;-;4857;987.6
Borgo Grotta Gigante;2011;1;20;0.0;1.4;3.4;5.0;61;69;80;19;56;-;4756;985.2
Borgo Grotta Gigante;2011;1;21;0.0;0.2;1.8;4.6;47;58;67;28;80;-;5596;986.7
Borgo Grotta Gigante;2011;1;22;0.0;-2.2;0.1;2.3;48;55;63;27;89;-;8233;985.4
Borgo Grotta Gigante;2011;1;23;0.0;-3.8;-0.5;5.1;31;56;72;12;49;-;8522;984.9
Borgo Grotta Gigante;2011;1;24;0.0;-3.7;-0.2;4.5;49;64;77;9;29;-;5568;985.2
Borgo Grotta Gigante;2011;1;25;0.0;-3.2;0.4;3.2;61;80;91;6;15;-;2432;982.4
Borgo Grotta Gigante;2011;1;26;0.0;1.1;2.5;4.3;83;88;94;5;16;-;2290;977.2
Borgo Grotta Gigante;2011;1;27;0.0;0.6;3.6;8.4;62;80;97;12;53;-;6549;979.7
Borgo Grotta Gigante;2011;1;28;0.0;-1.4;1.0;3.9;54;66;78;27;75;-;8641;983.8
Borgo Grotta Gigante;2011;1;29;0.0;-1.2;0.0;2.4;56;66;71;20;61;-;6233;985.4
Borgo Grotta Gigante;2011;1;30;0.0;-1.5;1.2;3.4;64;68;76;16;48;-;3895;983.0
Borgo Grotta Gigante;2011;1;31;0.0;-2.1;0.3;4.1;56;69;79;19;55;-;9515;986.2
Borgo Grotta Gigante;2011;2;1;0.0;-2.4;1.6;9.2;26;54;77;17;55;-;9776;987.7
Borgo Grotta Gigante;2011;2;2;0.0;-0.6;3.2;9.5;24;38;58;19;60;-;10168;988.0
Borgo Grotta Gigante;2011;2;3;0.0;-0.3;4.2;8.7;32;48;68;18;59;-;9189;990.3
Borgo Grotta Gigante;2011;2;4;0.0;-0.7;6.4;14.6;26;44;68;10;34;-;10409;993.8
Borgo Grotta Gigante;2011;2;5;0.0;-0.6;4.8;14.0;30;58;84;8;18;-;10386;993.6
Borgo Grotta Gigante;2011;2;6;0.0;-1.9;4.8;14.7;32;61;81;9;18;-;10907;993.3
Borgo Grotta Gigante;2011;2;7;0.0;-1.0;5.8;16.5;33;62;80;9;19;-;11160;991.8
Borgo Grotta Gigante;2011;2;8;0.0;-2.3;4.9;13.3;43;65;81;9;38;-;10793;987.4
Borgo Grotta Gigante;2011;2;9;0.0;5.2;9.3;15.3;36;52;65;13;40;-;11203;987.7
Borgo Grotta Gigante;2011;2;10;0.0;-0.5;7.0;15.4;31;56;86;9;28;-;11352;988.6
Borgo Grotta Gigante;2011;2;11;0.0;-2.1;3.7;10.9;60;82;99;9;23;-;9562;986.4
Borgo Grotta Gigante;2011;2;12;0.0;4.5;7.1;8.5;77;85;97;6;21;-;2459;984.1
Borgo Grotta Gigante;2011;2;13;5.0;5.6;6.9;9.0;78;87;96;6;16;-;1768;981.6
Borgo Grotta Gigante;2011;2;14;1.2;4.1;6.6;10.1;79;89;98;6;26;-;5779;978.3
Borgo Grotta Gigante;2011;2;15;0.4;4.1;5.6;7.6;83;87;92;7;17;-;2969;974.3
Borgo Grotta Gigante;2011;2;16;19.0;4.0;6.5;8.9;83;92;99;9;42;-;2231;970.1
Borgo Grotta Gigante;2011;2;17;13.2;3.6;5.3;7.7;88;94;99;9;38;-;3439;971.2
Borgo Grotta Gigante;2011;2;18;0.0;3.8;7.9;14.9;53;76;96;12;51;-;12398;974.1
Borgo Grotta Gigante;2011;2;19;0.0;3.0;6.4;12.0;48;66;80;14;56;-;12764;978.4
Borgo Grotta Gigante;2011;2;20;0.0;2.8;6.1;9.8;50;64;76;12;33;-;8854;979.2
Borgo Grotta Gigante;2011;2;21;0.0;-0.4;2.6;5.9;55;68;82;19;56;-;10503;978.1
Borgo Grotta Gigante;2011;2;22;0.0;-1.3;0.7;4.3;51;62;72;20;58;-;10413;978.0
Borgo Grotta Gigante;2011;2;23;0.0;-3.5;-0.1;4.7;33;53;67;19;53;-;13563;985.6
Borgo Grotta Gigante;2011;2;24;0.0;-5.2;0.0;6.9;22;43;64;18;53;-;14405;990.3
Borgo Grotta Gigante;2011;2;25;0.0;-1.5;2.1;8.4;20;38;56;16;54;-;14629;989.6
Borgo Grotta Gigante;2011;2;26;0.0;-2.0;2.4;7.6;43;53;67;19;79;-;14255;986.1
Borgo Grotta Gigante;2011;2;27;0.2;-1.0;2.8;7.8;48;63;74;14;48;-;10278;981.1
Borgo Grotta Gigante;2011;2;28;0.0;0.5;2.5;7.2;53;66;73;23;61;-;12815;985.9
Borgo Grotta Gigante;2011;3;1;0.0;0.3;2.2;5.4;48;62;76;38;127;-;13620;988.3
Borgo Grotta Gigante;2011;3;2;0.2;0.2;1.3;2.7;49;57;70;39;129;-;4305;988.8
Borgo Grotta Gigante;2011;3;3;0.4;-0.3;0.7;3.2;62;66;73;25;71;-;3589;992.3
Borgo Grotta Gigante;2011;3;4;0.0;0.4;3.3;8.3;47;62;72;21;58;-;16123;993.0
Borgo Grotta Gigante;2011;3;5;0.0;0.8;5.5;12.2;39;57;70;19;52;-;15667;984.7
Borgo Grotta Gigante;2011;3;6;-;-;-;-;-;-;-;-;-;-;-;-
Borgo Grotta Gigante;2011;3;7;-;-;-;-;-;-;-;-;-;-;-;-
Borgo Grotta Gigante;2011;3;8;-;-;-;-;-;-;-;-;-;-;-;-
Borgo Grotta Gigante;2011;3;9;0.0;-6.1;0.4;7.4;44;66;83;9;20;-;16713;991.0
Borgo Grotta Gigante;2011;3;10;0.0;-4.6;2.7;10.3;43;67;91;8;16;-;13558;988.2
Borgo Grotta Gigante;2011;3;11;0.0;-2.2;4.7;12.9;39;68;87;8;18;-;15580;989.1
Borgo Grotta Gigante;2011;3;12;0.0;-0.9;7.2;12.6;45;70;91;8;24;-;15725;988.3
Borgo Grotta Gigante;2011;3;13;12.4;9.3;10.7;12.7;66;80;93;13;52;-;4847;983.8
Borgo Grotta Gigante;2011;3;14;13.4;10.5;11.3;12.8;89;94;98;-;50;-;4692;986.3
Borgo Grotta Gigante;2011;3;15;10.0;9.4;11.4;12.9;79;87;97;10;39;-;3020;986.1
Borgo Grotta Gigante;2011;3;16;47.6;9.3;10.2;11.2;89;93;97;10;39;-;2002;976.3
Borgo Grotta Gigante;2011;3;17;15.4;8.0;10.4;12.9;71;87;99;12;39;-;4295;972.7
Borgo Grotta Gigante;2011;3;18;0.6;5.5;9.9;14.8;65;85;98;6;15;-;10251;981.1
Borgo Grotta Gigante;2011;3;19;0.0;3.2;9.0;15.0;45;68;99;12;53;-;12005;986.5
Borgo Grotta Gigante;2011;3;20;0.0;4.6;8.3;13.5;24;36;49;17;67;-;20296;992.4
Borgo Grotta Gigante;2011;3;21;0.0;3.1;7.3;11.6;29;43;56;21;70;-;18854;996.5
Borgo Grotta Gigante;2011;3;22;0.0;4.8;9.5;16.1;23;43;59;14;61;-;20722;999.5
Borgo Grotta Gigante;2011;3;23;0.0;4.3;10.8;18.6;24;47;75;10;29;-;21109;999.4
Borgo Grotta Gigante;2011;3;24;0.0;4.4;10.4;17.6;38;58;79;9;24;-;20458;998.4
Borgo Grotta Gigante;2011;3;25;0.0;2.9;10.3;18.3;28;55;85;9;25;-;20167;988.9
Borgo Grotta Gigante;2011;3;26;0.0;6.5;11.5;15.3;41;60;73;8;32;-;19583;982.9
Borgo Grotta Gigante;2011;3;27;1.4;9.2;10.8;14.3;65;74;91;7;23;-;7466;982.9
Borgo Grotta Gigante;2011;3;28;12.8;9.2;10.3;11.3;77;92;96;6;27;-;4017;980.3
Borgo Grotta Gigante;2011;3;29;0.0;6.0;12.0;18.4;31;58;82;10;37;-;21731;982.7
Borgo Grotta Gigante;2011;3;30;0.0;4.8;11.1;17.9;33;56;74;10;25;-;22453;984.5
Borgo Grotta Gigante;2011;3;31;0.0;4.1;12.1;19.5;38;60;80;10;23;-;21641;988.2
Borgo Grotta Gigante;2011;4;1;0.0;9.1;14.2;20.8;43;61;79;8;20;-;13121;989.5
Borgo Grotta Gigante;2011;4;2;0.0;8.5;15.0;21.7;35;53;73;9;25;-;22611;987.5
Borgo Grotta Gigante;2011;4;3;0.0;7.1;14.5;22.0;31;55;80;9;20;-;22368;982.3
Borgo Grotta Gigante;2011;4;4;6.0;8.0;14.9;21.8;36;58;82;11;69;-;17529;982.0
Borgo Grotta Gigante;2011;4;5;0.2;6.5;13.0;19.7;25;52;80;13;55;-;18124;990.5
Borgo Grotta Gigante;2011;4;6;0.0;5.6;12.4;18.8;32;53;78;8;23;-;22438;994.0
Borgo Grotta Gigante;2011;4;7;0.0;8.0;15.5;22.9;33;57;82;8;21;-;22987;989.6
Borgo Grotta Gigante;2011;4;8;0.0;10.2;16.7;26.3;29;61;82;8;30;-;16984;982.4
Borgo Grotta Gigante;2011;4;9;0.0;8.9;19.4;27.9;17;44;85;10;37;-;25052;979.7
Borgo Grotta Gigante;2011;4;10;0.0;7.7;14.9;21.5;26;43;74;12;57;-;24887;984.3
Borgo Grotta Gigante;2011;4;11;0.0;5.9;13.0;20.3;32;52;74;8;26;-;23756;986.8
Borgo Grotta Gigante;2011;4;12;16.0;5.0;13.1;21.2;27;55;90;11;62;-;21288;981.0
Borgo Grotta Gigante;2011;4;13;0.0;1.2;8.4;14.7;29;61;85;12;43;-;22008;982.4
Borgo Grotta Gigante;2011;4;14;0.4;0.5;8.8;14.7;27;60;87;9;46;-;20578;981.1
Borgo Grotta Gigante;2011;4;15;0.0;5.4;10.6;15.9;33;49;71;13;44;-;16700;982.8
Borgo Grotta Gigante;2011;4;16;0.2;7.9;11.3;16.6;32;49;60;18;57;-;25458;986.0
Borgo Grotta Gigante;2011;4;17;0.0;5.1;12.1;18.0;31;46;69;15;48;-;25423;988.7
Borgo Grotta Gigante;2011;4;18;0.0;3.5;11.9;20.0;28;51;78;10;42;-;26280;987.9
Borgo Grotta Gigante;2011;4;19;0.0;4.4;12.5;21.9;24;51;80;10;35;-;26140;984.7
Borgo Grotta Gigante;2011;4;20;0.0;5.6;13.3;22.3;28;51;75;10;27;-;26291;986.2
Borgo Grotta Gigante;2011;4;21;0.0;4.7;12.7;20.4;28;52;80;9;23;-;26771;986.1
Borgo Grotta Gigante;2011;4;22;0.0;5.0;12.7;20.8;33;56;82;9;21;-;26693;982.9
Borgo Grotta Gigante;2011;4;23;0.0;5.0;13.1;19.9;34;58;85;8;21;-;21040;983.1
Borgo Grotta Gigante;2011;4;24;0.0;5.5;13.3;20.3;46;69;89;8;21;-;22510;983.9
Borgo Grotta Gigante;2011;4;25;0.0;7.5;15.1;22.0;46;67;91;9;35;-;23936;982.4
Borgo Grotta Gigante;2011;4;26;0.4;11.5;15.8;21.9;38;59;82;17;55;-;24963;979.8
Borgo Grotta Gigante;2011;4;27;2.2;10.7;14.8;20.7;39;60;86;17;72;-;23952;979.2
Borgo Grotta Gigante;2011;4;28;0.2;10.6;14.2;17.2;51;61;86;15;66;-;14502;978.3
Borgo Grotta Gigante;2011;4;29;0.0;9.9;14.1;19.1;51;66;82;11;39;-;16396;977.1
Borgo Grotta Gigante;2011;4;30;0.0;8.0;13.9;20.2;46;70;95;8;26;-;20254;974.8
Borgo Grotta Gigante;2011;5;1;0.6;7.3;14.7;21.9;43;68;99;10;36;-;25861;972.5
Borgo Grotta Gigante;2011;5;2;0.2;8.4;14.8;21.8;41;65;87;8;22;-;24736;975.0
Borgo Grotta Gigante;2011;5;3;0.0;7.1;14.8;20.9;52;67;94;11;54;-;28097;972.4
Borgo Grotta Gigante;2011;5;4;0.0;8.7;12.7;18.6;26;45;62;19;54;-;26696;980.8
Borgo Grotta Gigante;2011;5;5;0.0;5.3;12.4;19.0;26;48;80;10;40;-;29315;990.1
Borgo Grotta Gigante;2011;5;6;0.0;4.8;12.2;19.3;33;55;77;9;25;-;29252;993.2
Borgo Grotta Gigante;2011;5;7;0.0;4.7;13.6;21.3;31;53;82;9;21;-;29533;989.8
Borgo Grotta Gigante;2011;5;8;0.4;6.6;14.6;23.4;34;56;85;17;90;-;25921;986.2
Borgo Grotta Gigante;2011;5;9;0.0;10.6;16.6;22.1;27;40;56;15;70;-;28635;992.5
Borgo Grotta Gigante;2011;5;10;0.0;8.3;17.3;26.1;25;47;73;10;40;-;29713;993.0
Borgo Grotta Gigante;2011;5;11;0.0;9.0;18.2;25.7;28;50;77;9;21;-;27605;987.7
Borgo Grotta Gigante;2011;5;12;0.0;11.0;19.0;25.7;28;48;74;8;24;-;24694;984.2
Borgo Grotta Gigante;2011;5;13;0.0;13.1;20.0;27.4;31;52;78;11;40;-;27432;985.4
Borgo Grotta Gigante;2011;5;14;0.4;11.7;19.0;26.9;38;59;81;9;33;-;27973;982.8
Borgo Grotta Gigante;2011;5;15;58.2;6.9;11.5;17.9;58;78;93;18;75;-;2538;980.6
Borgo Grotta Gigante;2011;5;16;0.0;6.1;11.9;17.4;45;69;94;8;21;-;21686;987.6
Borgo Grotta Gigante;2011;5;17;0.0;8.1;15.7;20.9;39;55;75;8;25;-;23821;988.7
Borgo Grotta Gigante;2011;5;18;0.0;11.4;18.3;26.1;36;58;86;12;51;-;29447;986.7
Borgo Grotta Gigante;2011;5;19;0.0;11.1;18.3;25.5;42;63;90;9;33;-;27930;985.7
Borgo Grotta Gigante;2011;5;20;0.0;11.4;18.8;26.1;43;65;91;8;22;-;30928;986.3
Borgo Grotta Gigante;2011;5;21;1.0;11.7;19.6;27.4;36;63;93;9;36;-;18397;985.7
Borgo Grotta Gigante;2011;5;22;0.0;13.7;20.5;27.3;33;55;78;9;27;-;28026;985.8
Borgo Grotta Gigante;2011;5;23;0.0;15.3;23.0;29.1;33;51;78;11;45;-;30328;988.4
Borgo Grotta Gigante;2011;5;24;16.2;16.6;22.9;30.5;31;54;88;9;60;-;28843;987.7
Borgo Grotta Gigante;2011;5;25;0.2;15.3;23.1;29.7;32;56;92;12;42;-;30782;988.1
Borgo Grotta Gigante;2011;5;26;0.0;14.7;21.5;28.2;34;52;79;9;30;-;30966;985.2
Borgo Grotta Gigante;2011;5;27;11.0;13.5;21.6;28.4;39;60;89;10;34;-;25566;979.6
Borgo Grotta Gigante;2011;5;28;5.4;12.3;15.1;17.9;55;70;92;17;55;-;17699;980.6
Borgo Grotta Gigante;2011;5;29;0.0;9.7;18.5;25.7;30;52;80;9;35;-;31328;985.7
Borgo Grotta Gigante;2011;5;30;0.0;12.5;19.7;27.3;33;53;80;10;36;-;31745;986.0
Borgo Grotta Gigante;2011;5;31;0.0;12.4;19.5;25.8;41;65;90;8;21;-;31251;982.5
Borgo Grotta Gigante;2011;6;1;3.2;13.1;18.5;26.2;44;75;90;7;29;-;17696;983.5
Borgo Grotta Gigante;2011;6;2;0.0;17.6;21.4;27.0;44;62;80;12;52;-;12175;987.3
