stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Brugnera;2009;1;1;7.3;-5.6;-0.2;4.4;78;88;91;4;11;24;2238;1028.1
Brugnera;2009;1;2;0.2;-6.9;-1.7;5.3;70;83;92;5;28;84;5701;1025.6
Brugnera;2009;1;3;0;-7.3;-1.6;3.6;44;63;77;9;32;95;6233;1027.3
Brugnera;2009;1;4;0;-9.8;-4.3;3.2;46;72;86;3;8;239;7595;1023.3
Brugnera;2009;1;5;0;-8.1;-2.2;5.1;36;72;88;3;12;44;6187;1019.1
Brugnera;2009;1;6;0;-1.7;0.6;2.7;47;55;69;10;28;55;3119;1021
Brugnera;2009;1;7;0;-0.7;1.6;5;55;67;79;6;16;149;2009;1020.2
Brugnera;2009;1;8;0;-3.6;0.8;3.5;50;60;78;14;39;60;2990;1029
Brugnera;2009;1;9;0;-7.8;-2;4.5;33;61;81;4;12;64;6569;1033.7
Brugnera;2009;1;10;0;-6.8;0;9.7;29;59;81;5;18;86;6591;1030.9
Brugnera;2009;1;11;0;-5.2;1.5;11.3;23;54;79;6;20;58;6335;1033.8
Brugnera;2009;1;12;0;-5.2;0.9;10.3;26;58;77;4;17;323;6658;1032.9
Brugnera;2009;1;13;0;-6.2;0.1;8.3;42;68;83;4;12;87;4687;1025.3
Brugnera;2009;1;14;18.2;1;3.8;5.6;57;86;95;5;24;69;1531;1013.4
Brugnera;2009;1;15;2.8;-1.1;3.8;6.9;80;88;95;5;13;2;1695;1021.8
Brugnera;2009;1;16;0;-3.2;2;9.2;61;83;95;4;14;75;6828;1026.7
Brugnera;2009;1;17;0;-2.4;0.7;6.3;65;85;92;3;8;0;2963;1028.5
Brugnera;2009;1;18;0.3;-2.9;1.1;3.3;89;92;94;4;13;351;1068;1021.7
Brugnera;2009;1;19;6.5;-1.5;3.4;6;87;92;95;6;18;79;2489;1013.8
Brugnera;2009;1;20;59.6;4.6;8.2;10;93;94;96;9;23;351;449;1002.3
Brugnera;2009;1;21;25.8;6.6;8.4;10.1;84;92;96;8;30;27;1348;1002.9
Brugnera;2009;1;22;2.5;-0.1;6.2;9.6;71;88;95;6;26;108;3769;1006.6
Brugnera;2009;1;23;2.8;-2;1.8;5;82;93;95;4;12;345;3834;998.1
Brugnera;2009;1;24;0;-1.3;4.1;7.2;71;84;95;7;19;41;5155;992.6
Brugnera;2009;1;25;0;0.7;5.7;10.3;47;65;86;5;14;35;4552;998.8
Brugnera;2009;1;26;0.4;0.1;4.9;9.4;50;68;83;9;40;86;5883;1004.6
Brugnera;2009;1;27;6.1;4.2;6.4;10.5;64;82;93;9;33;40;2688;1005.1
Brugnera;2009;1;28;0;1.6;5.1;8.7;61;87;95;4;14;220;2986;1009.9
Brugnera;2009;1;29;0;-0.3;4.9;10.3;61;82;95;4;13;204;6793;1014.5
Brugnera;2009;1;30;0;2.8;5.8;10.8;56;74;90;5;21;98;7557;1018.6
Brugnera;2009;1;31;0;1.8;2.9;3.9;61;70;80;5;14;1;1323;1018.7
Brugnera;2009;2;1;4.5;0.5;1.5;2.5;60;78;90;14;33;63;1605;1015.6
Brugnera;2009;2;2;37.8;2.3;4.7;6.5;85;89;93;17;36;26;663;1012.4
Brugnera;2009;2;3;10.2;5.8;7.9;11.7;72;81;88;12;39;48;4784;1003.5
Brugnera;2009;2;4;0;3.9;7.6;11.8;72;85;93;6;15;82;6203;1001.2
Brugnera;2009;2;5;1.3;6.4;8.9;13;66;84;94;6;18;41;6542;1005.9
Brugnera;2009;2;6;18.7;7.7;9.2;11.9;87;90;93;11;28;78;2005;1000.8
Brugnera;2009;2;7;26.2;7.1;8.1;9.4;81;89;93;9;27;44;1373;992.7
Brugnera;2009;2;8;15.9;4.3;6.6;8.7;76;89;94;5;18;12;2680;996.4
Brugnera;2009;2;9;0;2.2;6.1;11.6;47;80;93;7;22;87;9880;1010.3
Brugnera;2009;2;10;2.4;2.4;4.9;7.9;74;88;94;6;18;44;2652;1007.4
Brugnera;2009;2;11;0;1.6;6.1;11.8;26;62;93;7;24;26;6747;1005
Brugnera;2009;2;12;0;-2.1;3.9;10.3;26;47;71;8;30;27;9042;1011.4
Brugnera;2009;2;13;0;-3.7;2.1;8.8;16;41;66;6;23;192;11279;1015.2
Brugnera;2009;2;14;0;-6.1;1.2;9.7;22;52;83;5;20;186;11051;1018.2
Brugnera;2009;2;15;0;-5.2;1.9;8.7;21;48;77;6;18;184;11244;1025.3
Brugnera;2009;2;16;0;-4.5;1.6;8.1;35;55;77;5;19;85;11218;1024.8
Brugnera;2009;2;17;0;-3.8;1.7;7.8;41;65;81;6;38;46;9881;1016.3
Brugnera;2009;2;18;0;-5.3;1.8;7.7;15;36;73;9;52;56;11868;1020.4
Brugnera;2009;2;19;0;-7.1;-0.2;7.1;30;55;81;6;21;234;11847;1025.6
Brugnera;2009;2;20;0;-6.4;0.2;7.8;34;60;81;4;13;193;10516;1029.3
Brugnera;2009;2;21;0;-3.7;3.5;11.7;34;61;82;5;14;253;9957;1026.9
Brugnera;2009;2;22;0;-2.3;3.2;10.4;43;68;86;6;20;81;10866;1023.1
Brugnera;2009;2;23;0;-3.2;1.5;7.4;64;81;89;3;13;348;4741;1018
Brugnera;2009;2;24;1.5;-4.5;3.2;12;44;75;91;5;28;101;10760;1020.2
Brugnera;2009;2;25;0.1;-3.5;3.8;11.2;35;61;92;6;22;178;13405;1029.8
Brugnera;2009;2;26;0;-2.1;3.1;10;40;65;84;5;15;84;8593;1024.9
Brugnera;2009;2;27;0;-2.6;4.3;12.8;29;67;91;4;15;160;12108;1018.4
Brugnera;2009;2;28;0.1;-2.6;4.9;13.7;33;70;94;4;14;146;11736;1020.8
Brugnera;2009;3;1;0;-0.8;5.3;9.2;55;80;96;4;12;324;2248;1019.5
Brugnera;2009;3;2;0.2;4.1;8.5;13.5;55;83;100;4;14;201;7651;1015.3
Brugnera;2009;3;3;10.1;4.7;8;12.6;69;93;100;5;17;213;4738;1016
Brugnera;2009;3;4;58.4;6.8;7.7;9.6;80;95;100;13;45;33;2051;1003.2
Brugnera;2009;3;5;32.2;6.9;8.6;11;78;89;100;22;52;21;2419;983.2
Brugnera;2009;3;6;7.3;2;7.3;12.4;44;80;98;12;28;42;7899;991.7
Brugnera;2009;3;7;0;0.2;8.2;17.9;12;65;97;4;15;168;13831;1000.8
Brugnera;2009;3;8;0.1;0.4;7.7;15.6;19;68;100;5;17;159;12671;1009.6
Brugnera;2009;3;9;0.3;-0.1;5.5;13.8;39;79;99;6;30;128;9676;1011
Brugnera;2009;3;10;0.2;-1.7;5.7;12.9;28;71;98;7;23;227;13204;1017.9
Brugnera;2009;3;11;0;0;7.6;16.1;9;46;90;8;41;356;15480;1014.8
Brugnera;2009;3;12;0;-2.1;6.5;14.7;10;47;83;7;27;170;15427;1022.6
Brugnera;2009;3;13;0;0.9;7.5;14.1;37;59;83;9;26;73;14435;1018.7
Brugnera;2009;3;14;0;-0.2;7.6;15;35;69;95;4;16;199;10912;1022.3
Brugnera;2009;3;15;0;0;8.4;15.1;34;69;98;4;12;122;11104;1022.6
