stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Camino;2015;1;1;0;-4.4;-0.2;5.3;46;76;98;-;-;-;-;-
Camino;2015;1;2;0;-2.1;2.2;9.6;53;88;99;-;-;-;-;-
Camino;2015;1;3;0.2;-1.2;4.5;12;58;87;99;-;-;-;-;-
Camino;2015;1;4;0;-0.7;5.1;10.9;23;72;99;-;-;-;-;-
Camino;2015;1;5;0;-1.9;3.1;10.4;34;65;89;-;-;-;-;-
Camino;2015;1;6;0;-2.4;3.2;11.6;49;76;99;-;-;-;-;-
Camino;2015;1;7;0;2.5;5;7.4;70;84;96;-;-;-;-;-
Camino;2015;1;8;0;3.3;5.1;8.2;68;87;99;-;-;-;-;-
Camino;2015;1;9;0;1.9;5.1;8.4;77;93;99;-;-;-;-;-
Camino;2015;1;10;0.2;-1.2;3.5;9;86;97;99;-;-;-;-;-
Camino;2015;1;11;0;-1.2;3.6;7.3;99;99;99;-;-;-;-;-
Camino;2015;1;12;0;-0.8;3.9;10.9;44;75;99;-;-;-;-;-
Camino;2015;1;13;0;-0.2;4.5;11.5;61;84;99;-;-;-;-;-
Camino;2015;1;14;0;0.3;5.2;9.6;71;87;99;-;-;-;-;-
Camino;2015;1;15;0.2;-0.3;4.9;8.9;84;95;99;-;-;-;-;-
Camino;2015;1;16;2;4.3;7.9;12.4;96;99;99;-;-;-;-;-
Camino;2015;1;17;4;4.3;11;13.7;94;98;99;-;-;-;-;-
Camino;2015;1;18;0.2;1.6;5.5;12.7;65;94;99;-;-;-;-;-
Camino;2015;1;19;0.2;0.1;4.2;11.3;56;89;99;-;-;-;-;-
Camino;2015;1;20;0;0.3;3.8;10.2;56;89;99;-;-;-;-;-
Camino;2015;1;21;3.8;-0.6;5.9;10.1;61;84;99;-;-;-;-;-
Camino;2015;1;22;11;6.2;7.6;10.7;79;92;99;-;-;-;-;-
Camino;2015;1;23;0;6.1;9.4;14.2;42;72;90;-;-;-;-;-
Camino;2015;1;24;0;4.2;8.2;13.4;43;80;99;-;-;-;-;-
Camino;2015;1;25;0;0.2;4.9;10.3;57;88;99;-;-;-;-;-
Camino;2015;1;26;0.2;-2.4;2.3;9.4;41;81;99;-;-;-;-;-
Camino;2015;1;27;0;-1.9;1.9;9.1;42;81;99;-;-;-;-;-
Camino;2015;1;28;0;-4.2;1.7;8.9;45;79;99;-;-;-;-;-
Camino;2015;1;29;3.4;-1.2;2;4.2;77;88;99;-;-;-;-;-
Camino;2015;1;30;12.4;-0.8;3.5;6.2;51;90;99;-;-;-;-;-
Camino;2015;1;31;0;-0.1;3.9;8.6;68;82;99;-;-;-;-;-
Camino;2015;2;1;0;-0.6;3.6;7.6;59;77;99;-;-;-;-;-
