stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Capriva del Friuli;2017;1;1;0;-1.2;4;12.3;18;39;89;-;15;5;7183;1018
Capriva del Friuli;2017;1;2;0;-1.1;4.1;9.3;60;78;96;-;-;-;4602;1013.3
Capriva del Friuli;2017;1;3;0;-2.0;4.7;9.6;23;48;69;-;44;41;7041;1014.5
Capriva del Friuli;2017;1;4;0;-4.8;1.7;7.7;56;71;84;-;24;122;3756;1007.5
Capriva del Friuli;2017;1;5;0;-3.6;2;7.5;18;43;84;-;44;358;7203;1010.3
Capriva del Friuli;2017;1;6;0;-8.2;-1.6;4;18;26;41;5;25;102;7835;1024.5
Capriva del Friuli;2017;1;7;0;-10.4;-4.3;2.2;18;27;43;-;16;93;7659;1027.6
Capriva del Friuli;2017;1;8;0;-6.8;-2.1;5.2;23;40;64;-;13;121;7128;1021.6
Capriva del Friuli;2017;1;9;0;-7.6;-1.9;4.5;40;58;73;-;16;79;5454;1017.1
Capriva del Friuli;2017;1;10;0;-6.1;-2.2;2.7;36;51;69;12;43;42;7161;1009.5
Capriva del Friuli;2017;1;11;0;-8.4;-3.4;3;20;41;66;5;32;28;7605;1012.5
Capriva del Friuli;2017;1;12;6.5;-6.6;-1;1.2;54;76;98;4;13;349;478;1010.2
Capriva del Friuli;2017;1;13;42.4;0.2;2.8;5.7;92;98;100;6;34;106;584;990.6
Capriva del Friuli;2017;1;14;0;-1.0;2;8.1;53;83;99;4;13;32;7289;999.7
Capriva del Friuli;2017;1;15;0;0.4;3.4;8.4;23;47;75;9;28;47;7412;1007
Capriva del Friuli;2017;1;16;0;2.0;3.1;5.2;29;38;51;22;73;64;7028;1006.3
Capriva del Friuli;2017;1;17;0;2.1;3.6;6.8;19;32;44;28;71;53;4982;1009.5
Capriva del Friuli;2017;1;18;0;2.0;4.1;6.9;30;36;43;28;64;30;6634;1015
Capriva del Friuli;2017;1;19;0;2.1;4.3;7.8;22;33;42;27;58;32;8429;1020.1
Capriva del Friuli;2017;1;20;0;-2.4;3;8.8;18;34;50;9;30;6;8670;1022.6
Capriva del Friuli;2017;1;21;0;-4.0;3.5;11.8;20;40;66;5;17;0;9014;1020.5
Capriva del Friuli;2017;1;22;0;1.1;5.5;12.6;18;36;55;12;34;-;9208;1017.4
Capriva del Friuli;2017;1;23;0;0.0;3.1;7.8;36;49;57;10;21;-;4137;1012.9
Capriva del Friuli;2017;1;24;0;-0.2;4.3;11.5;21;41;54;14;47;-;9206;1008.7
Capriva del Friuli;2017;1;25;0;-0.9;2.5;7.1;29;43;55;17;50;-;9478;1014.2
Capriva del Friuli;2017;1;26;0;-1.6;1.3;6.2;27;46;56;10;36;-;9513;1019.5
Capriva del Friuli;2017;1;27;0;-3.2;1.4;7.9;28;56;76;5;16;-;9465;1020.4
Capriva del Friuli;2017;1;28;0;-2.3;1.7;8;55;75;94;5;18;-;7748;1017.2
Capriva del Friuli;2017;1;29;0;-3.4;1.1;8.2;56;79;98;4;14;-;9163;1016.5
Capriva del Friuli;2017;1;30;0;-5.2;1.4;7.9;55;77;97;4;17;-;8970;1014.5
Capriva del Friuli;2017;1;31;28.6;2.1;4.2;5.9;80;94;100;2;10;-;437;1010.6
Capriva del Friuli;2017;2;1;17;5.4;6.1;7.1;94;99;100;2;6;-;626;1009.7
Capriva del Friuli;2017;2;2;12.8;5.8;7.4;8.8;96;99;100;2;11;-;908;1009.3
Capriva del Friuli;2017;2;3;18.2;8.3;9.3;10.4;91;97;100;4;26;-;658;1001.7
Capriva del Friuli;2017;2;4;13.3;5.6;7.5;9.1;83;96;100;6;20;-;1376;997
Capriva del Friuli;2017;2;5;27.1;5.4;6.9;9.5;70;90;98;8;38;-;2304;995.9
Capriva del Friuli;2017;2;6;5.4;7.3;10.7;13.5;45;64;88;18;46;-;2990;991.4
Capriva del Friuli;2017;2;7;0;6.4;8.9;12.5;47;59;68;9;27;-;8313;1002.4
Capriva del Friuli;2017;2;8;0;3.6;6.2;10.7;47;59;75;10;38;-;8503;1008
Capriva del Friuli;2017;2;9;0;2.2;5.1;8.3;48;55;62;21;49;-;9070;1012.2
Capriva del Friuli;2017;2;10;0;4.8;6.3;9;49;56;63;11;34;-;4911;1011.3
Capriva del Friuli;2017;2;11;0.6;4.2;6;7.8;56;67;76;9;22;-;2184;1013.2
Capriva del Friuli;2017;2;12;0;2.5;7.1;14.1;49;64;77;7;18;-;10884;1016.3
Capriva del Friuli;2017;2;13;0;4.2;6.3;8.4;53;60;67;13;33;-;3281;1019.4
Capriva del Friuli;2017;2;14;0;0.7;7.1;14.8;18;43;61;6;19;-;12624;1022
Capriva del Friuli;2017;2;15;0;-2.4;5.9;15.2;19;58;82;5;19;-;13086;1023.3
Capriva del Friuli;2017;2;16;0;0.1;7.5;19.3;18;54;78;6;26;-;12980;1018.3
Capriva del Friuli;2017;2;17;0.6;-1.4;5;9.8;63;82;93;5;22;-;7035;1014.2
Capriva del Friuli;2017;2;18;1;2.4;8.3;14.7;46;72;93;6;22;-;13086;1012
Capriva del Friuli;2017;2;19;0;1.4;6.7;12;48;70;92;4;19;-;8087;1013.5
Capriva del Friuli;2017;2;20;0;0.8;6.1;13.4;49;78;95;5;19;-;12135;1012.1
Capriva del Friuli;2017;2;21;0;3.3;6;8;75;87;96;3;9;-;1413;1008.6
Capriva del Friuli;2017;2;22;0.2;5.8;6.6;7.9;81;91;97;4;17;-;878;1007.5
Capriva del Friuli;2017;2;23;0.4;5.7;7.1;9;27;97;100;1;8;-;789;1003.8
Capriva del Friuli;2017;2;24;14.6;5.8;8;10;63;95;100;7;42;117;228;997.9
Capriva del Friuli;2017;2;25;0;4.0;8.4;12.6;32;50;64;16;46;58;15304;1009.1
Capriva del Friuli;2017;2;26;0;0.3;7;13.7;20;50;79;3;15;247;13490;1008.8
Capriva del Friuli;2017;2;27;0;0.6;7.2;13.5;29;68;91;4;21;188;13690;1005.2
Capriva del Friuli;2017;2;28;3.9;6.3;9.9;13.1;62;84;99;12;62;176;710;994.2
Capriva del Friuli;2017;3;1;9.6;4.4;8.2;13.3;62;86;100;8;55;32;10785;997.2
Capriva del Friuli;2017;3;2;0;3.3;8.3;14.6;59;82;100;5;21;204;11425;1004.1
Capriva del Friuli;2017;3;3;0;6.2;11;17.1;54;76;92;4;17;242;10089;1005.3
Capriva del Friuli;2017;3;4;23.2;8.1;10.1;11.9;87;97;100;6;46;178;957;997.5
Capriva del Friuli;2017;3;5;8.1;7.0;9;11;80;94;100;5;28;263;3890;997.4
Capriva del Friuli;2017;3;6;0.5;6.1;9.2;14.4;58;86;100;6;30;204;13566;992.7
Capriva del Friuli;2017;3;7;0;5.1;10.5;16.9;18;48;97;9;37;4;12383;994.2
Capriva del Friuli;2017;3;8;0;1.7;10.7;18.8;18;41;75;6;23;267;17109;1006.6
Capriva del Friuli;2017;3;9;0;6.3;11.7;17.4;23;49;79;4;12;284;9108;1004.5
Capriva del Friuli;2017;3;10;0;5.1;12.6;18.6;18;39;83;18;63;1;18418;1003.3
Capriva del Friuli;2017;3;11;0;1.5;9.5;17.2;18;39;68;6;23;217;18438;1007.8
Capriva del Friuli;2017;3;12;0;2.4;9.1;16.1;23;52;81;5;24;187;18003;1004.7
Capriva del Friuli;2017;3;13;0;1.8;8.6;16;25;53;78;5;23;71;18022;1011.3
Capriva del Friuli;2017;3;14;0;0.8;9.1;16.8;38;69;92;5;20;166;13744;1015.3
Capriva del Friuli;2017;3;15;0;4.3;10.6;17.7;29;61;97;5;26;65;13758;1014.8
Capriva del Friuli;2017;3;16;0;3.2;10.4;18.3;36;67;92;6;28;49;17116;1011.1
Capriva del Friuli;2017;3;17;0;2.5;10.6;18.9;38;69;100;5;21;44;16882;1004.7
Capriva del Friuli;2017;3;18;0;5.0;10.3;14.9;61;78;90;5;29;46;9848;997.9
Capriva del Friuli;2017;3;19;0;8.6;12.9;17.5;66;77;89;4;16;120;8145;998.2
Capriva del Friuli;2017;3;20;0;7.4;12.6;19.4;55;84;100;6;24;159;13705;1000
Capriva del Friuli;2017;3;21;0;9.4;12.2;17;69;93;100;4;17;219;6955;999.1
Capriva del Friuli;2017;3;22;2.8;7.9;10.7;12.3;99;99;99;2;9;215;1387;1000.9
Capriva del Friuli;2017;3;23;0.3;7.9;13.2;19.4;63;88;100;5;26;215;14719;1004.2
Capriva del Friuli;2017;3;24;0.1;5.1;13.7;22.5;47;78;100;5;21;254;18263;1008.9
Capriva del Friuli;2017;3;25;0;9.1;16.2;23.4;28;57;96;9;30;39;19747;1005.7
Capriva del Friuli;2017;3;26;0;6.1;11.7;18.4;32;49;72;10;40;70;9692;1006.3
Capriva del Friuli;2017;3;27;0;1.6;10.9;19;18;40;70;7;21;85;21777;1011.7
Capriva del Friuli;2017;3;28;0;3.2;13;23.2;19;47;80;6;23;289;21583;1009.7
Capriva del Friuli;2017;3;29;0;4.7;15.9;26.2;19;49;90;6;23;235;21345;1008.4
Capriva del Friuli;2017;3;30;0;8.0;16.9;25.6;21;46;76;8;30;255;20523;1010.3
Capriva del Friuli;2017;3;31;0;8.3;15.7;23.5;28;56;83;7;23;233;20681;1008
Capriva del Friuli;2017;4;1;0;7.2;14.4;22.2;28;60;89;7;30;222;19016;1003.1
Capriva del Friuli;2017;4;2;0;7.9;14.6;23.6;31;66;100;6;30;237;13546;1003.2
Capriva del Friuli;2017;4;3;0;6.0;17.5;26.7;18;52;100;7;28;27;18837;1001.6
Capriva del Friuli;2017;4;4;0.2;11.3;17.2;26.5;21;48;68;11;49;51;19858;1001.5
Capriva del Friuli;2017;4;5;0;9.9;15.1;21.8;44;68;89;6;24;262;17270;1003.2
Capriva del Friuli;2017;4;6;0;9.2;14.2;19.5;51;69;97;8;28;228;17858;1002.8
Capriva del Friuli;2017;4;7;0;6.8;11.5;17.5;38;64;98;6;31;245;16617;1007
Capriva del Friuli;2017;4;8;0;5.0;13.6;22.7;42;74;100;6;23;212;23281;1008.3
Capriva del Friuli;2017;4;9;0;7.6;15.6;23.7;37;63;98;6;25;237;23067;1009.9
Capriva del Friuli;2017;4;10;0;6.7;15.2;23.8;23;66;100;6;27;243;23652;1006.2
Capriva del Friuli;2017;4;11;0;6.6;15.4;24.6;31;62;95;8;42;47;17867;1003.4
Capriva del Friuli;2017;4;12;0;8.4;14.8;22;31;56;82;5;28;88;21565;1004.3
Capriva del Friuli;2017;4;13;0;10.0;15;21.9;42;66;86;4;24;239;14802;998
Capriva del Friuli;2017;4;14;0;11.6;17.1;24.6;38;62;87;7;30;116;22456;998.1
Capriva del Friuli;2017;4;15;4;10.3;14.4;19.1;60;82;100;7;21;1;9679;1000
Capriva del Friuli;2017;4;16;4.9;7.7;13.3;22.1;41;77;100;9;42;69;15124;999.7
Capriva del Friuli;2017;4;17;0;5.9;12.2;18.2;31;60;84;6;31;78;20597;1001.8
