stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cave del Predil;2017;1;1;0.0;-9.4;-;5.1;35;66;92;-;-;-;-;914.9
Cave del Predil;2017;1;2;0.0;-4.4;0.0;4.6;30;53;76;-;-;-;-;909.5
Cave del Predil;2017;1;3;0.0;-8.3;-2.6;2.4;32;62;88;-;-;-;-;912.2
Cave del Predil;2017;1;4;0.0;-7.8;-0.9;3.4;35;54;83;-;-;-;-;902.6
Cave del Predil;2017;1;5;0.0;-6.8;-4.3;-1.7;34;48;77;-;-;-;-;907.0
Cave del Predil;2017;1;6;0.0;-14.0;-8.4;-6.3;25;35;57;-;-;-;-;917.5
Cave del Predil;2017;1;7;0.0;-16.8;-11.9;-5.7;27;54;74;-;-;-;-;917.2
Cave del Predil;2017;1;8;0.0;-12.7;-7.6;-0.2;42;63;78;-;-;-;-;913.2
Cave del Predil;2017;1;9;0.0;-8.7;-3.2;4.0;30;62;93;-;-;-;-;911.6
Cave del Predil;2017;1;10;0.0;-11.5;-8.4;-5.2;71;90;99;-;-;-;-;906.1
Cave del Predil;2017;1;11;0.0;-13.0;-9.0;-3.8;52;77;93;-;-;-;-;907.6
Cave del Predil;2017;1;12;1.6;-8.1;-3.5;2.0;64;81;100;-;-;-;-;906.1
Cave del Predil;2017;1;13;-;-5.3;-1.7;1.8;100;100;100;-;-;-;-;-
Cave del Predil;2017;1;14;-;-12.8;-7.7;-2.9;96;99;100;-;-;-;-;-
Cave del Predil;2017;1;15;-;-15.5;-11.4;-5.3;90;97;100;-;-;-;-;-
Cave del Predil;2017;1;16;0.0;-16.5;-8.8;-4.3;64;83;100;-;-;-;-;908.8
Cave del Predil;2017;1;17;0.0;-6.6;-4.8;-3.1;51;70;86;-;-;-;-;913.5
Cave del Predil;2017;1;18;0.0;-6.9;-5.6;-4.4;57;76;84;-;-;-;-;919.4
