stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cervignano - Scodovacca;2018;1;1;29.2;4.4;6;8.1;94;99;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;2;0;0.7;4;10;68;96;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;3;0.6;0;3.7;8.9;86;96;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;4;0;0.4;5.2;9;87;94;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;5;0.8;7;8.8;10.5;89;97;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;6;6.6;7.9;10.3;12.2;100;100;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;7;1.8;9.8;11.3;13.6;100;100;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;8;0.8;9.8;11.9;15.4;81;97;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;9;12.4;9.9;11.8;14.5;71;93;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;10;7.6;5.5;8.7;11.2;86;97;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;11;0;2.6;6.1;11.9;54;85;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;12;0;1.4;6.8;12.8;38;69;95;-;-;-;-;-
Cervignano - Scodovacca;2018;1;13;0;2.7;7.1;12.4;36;68;91;-;-;-;-;-
Cervignano - Scodovacca;2018;1;14;0;2.1;5.1;8.9;45;64;87;-;-;-;-;-
Cervignano - Scodovacca;2018;1;15;0;0.4;4.6;8.9;38;61;76;-;-;-;-;-
Cervignano - Scodovacca;2018;1;16;1.6;3;4.1;5;77;95;99;-;-;-;-;-
Cervignano - Scodovacca;2018;1;17;0;-1.2;4.5;8.8;68;91;100;-;-;-;-;-
Cervignano - Scodovacca;2018;1;18;0.2;-2.4;3.1;10.4;37;77;97;-;-;-;-;-
Cervignano - Scodovacca;2018;1;19;0;1.1;5.5;10.2;75;88;94;-;-;-;-;-
Cervignano - Scodovacca;2018;1;20;0.2;-0.4;4.1;10;49;83;95;-;-;-;-;-
Cervignano - Scodovacca;2018;1;21;0;2.3;6.4;11;14;57;95;-;-;-;-;-
