stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cervignano del Friuli;2015;1;1;0;-3.6;1.1;8.7;34;59;83;6;18;84;6398;1036.2
Cervignano del Friuli;2015;1;2;0;-2.1;3;10.9;55;82;97;4;14;332;4865;1031.6
Cervignano del Friuli;2015;1;3;0.1;-1.2;5;13.3;51;81;98;6;21;82;5498;1024.6
Cervignano del Friuli;2015;1;4;0.1;-0.8;5.7;12.1;26;68;98;9;33;335;6632;1021.9
Cervignano del Friuli;2015;1;5;0;-2.6;3.3;12;32;62;87;5;19;299;6866;1028.1
Cervignano del Friuli;2015;1;6;0;-2.3;3.4;11.8;40;69;82;5;20;71;6710;1026.6
Cervignano del Friuli;2015;1;7;0.2;3.6;5.4;7.2;70;80;87;4;12;83;955;1030.9
Cervignano del Friuli;2015;1;8;0;3.5;5.7;8.3;79;87;94;3;11;43;1687;1033.4
Cervignano del Friuli;2015;1;9;0;0.5;5;7.8;85;93;98;3;11;244;877;1030.1
Cervignano del Friuli;2015;1;10;0;-0.4;5.2;10.7;83;95;98;3;11;90;1884;1020.6
Cervignano del Friuli;2015;1;11;0;-1;6;8.9;45;91;98;5;18;329;2489;1016.2
Cervignano del Friuli;2015;1;12;0;-1.5;4.1;12.4;36;70;92;6;20;213;7114;1028.6
Cervignano del Friuli;2015;1;13;0;0.4;5;11.6;48;80;97;4;15;179;6787;1027.5
Cervignano del Friuli;2015;1;14;0;-0.2;6;10.3;68;85;98;3;11;192;2894;1021.2
Cervignano del Friuli;2015;1;15;0.2;-0.1;5.3;10.2;81;94;98;3;10;20;2888;1021.8
Cervignano del Friuli;2015;1;16;2.5;4.8;8.7;11.3;87;95;98;4;15;144;1289;1018
Cervignano del Friuli;2015;1;17;5.6;7.1;11.6;13.9;77;87;95;14;49;192;1469;1013.1
Cervignano del Friuli;2015;1;18;0;1.3;7.1;15.4;47;87;98;4;9;250;6803;1015.9
Cervignano del Friuli;2015;1;19;0.2;-1.3;4.2;12.5;51;87;99;4;11;233;7107;1014.2
Cervignano del Friuli;2015;1;20;0;0.9;5.3;14.1;34;80;98;4;14;342;5659;1011.8
Cervignano del Friuli;2015;1;21;0.6;2.6;6.8;11.3;63;82;91;5;16;58;2626;1012.2
Cervignano del Friuli;2015;1;22;1.5;4.8;7.6;11;75;87;95;5;15;32;2804;1011.9
Cervignano del Friuli;2015;1;23;0;3.2;8.2;13.6;53;76;91;6;26;98;3388;1009.3
Cervignano del Friuli;2015;1;24;0;4.5;7.3;11.1;62;82;94;3;12;246;3625;1011.2
Cervignano del Friuli;2015;1;25;0;0.9;4.9;10.6;46;79;98;3;10;257;6011;1017.8
Cervignano del Friuli;2015;1;26;0;-2.7;2.5;10;33;74;95;4;14;301;8457;1023.8
Cervignano del Friuli;2015;1;27;0.1;-2.3;2;9.2;44;77;92;4;14;306;6465;1018.1
Cervignano del Friuli;2015;1;28;0;-4.7;1.7;10.9;31;72;92;5;17;310;9422;1017.1
Cervignano del Friuli;2015;1;29;4.3;-2.2;2.2;4.7;75;86;97;5;17;21;953;1002
Cervignano del Friuli;2015;1;30;26.6;0.6;4;6.7;78;92;98;7;28;103;1576;979.1
Cervignano del Friuli;2015;1;31;0.1;0.7;4.4;10.4;64;84;95;6;21;48;8075;987.6
Cervignano del Friuli;2015;2;1;0.3;-0.4;3.7;7.1;70;84;95;6;23;94;2052;992
Cervignano del Friuli;2015;2;2;0.1;-1.7;2.1;9.2;60;87;98;4;10;55;5677;1002.2
Cervignano del Friuli;2015;2;3;0.4;-0.4;3;7.3;77;87;94;6;25;102;3782;1004.9
Cervignano del Friuli;2015;2;4;0.4;1;5.7;11.7;47;70;87;9;31;97;5914;1005
Cervignano del Friuli;2015;2;5;6.7;1.6;4.8;6.7;56;72;93;13;45;73;1243;1008.1
Cervignano del Friuli;2015;2;6;0;4.5;6.1;7.6;51;57;62;16;46;86;969;1009.6
Cervignano del Friuli;2015;2;7;0;-1.6;3.5;7.9;41;57;74;10;42;76;5390;1020.3
Cervignano del Friuli;2015;2;8;0;-3.6;2.6;11.8;27;58;82;6;39;5;9546;1015.3
Cervignano del Friuli;2015;2;9;0;-3.5;1.1;7.9;40;66;89;6;18;197;9584;1023
Cervignano del Friuli;2015;2;10;0;-2.9;3;12.8;40;74;92;4;17;7;9047;1024.7
Cervignano del Friuli;2015;2;11;0;-1.6;5;14.1;39;77;98;5;17;245;10916;1025.5
Cervignano del Friuli;2015;2;12;0.1;-1.2;4.4;12.8;44;75;96;5;19;88;10819;1026.4
Cervignano del Friuli;2015;2;13;0;-2.2;4.5;7.8;60;76;96;4;12;59;2500;1025.4
Cervignano del Friuli;2015;2;14;0.1;4.5;6.3;8.6;83;88;94;4;12;46;2216;1018.7
Cervignano del Friuli;2015;2;15;1.8;4.7;8.5;14.7;47;83;97;5;14;11;6893;1016
Cervignano del Friuli;2015;2;16;0;1.2;8.3;16.4;35;65;96;7;24;71;11302;1020.6
Cervignano del Friuli;2015;2;17;0;1.2;7.5;14.3;34;58;79;12;40;96;12095;1029
Cervignano del Friuli;2015;2;18;0;-1.9;5.3;13.8;32;61;89;6;22;79;12405;1036.3
Cervignano del Friuli;2015;2;19;0;-2.9;3.5;12.6;40;72;97;4;14;254;12329;1032.9
Cervignano del Friuli;2015;2;20;0.1;-2.8;3.2;11.4;53;81;98;4;16;249;11215;1024.8
Cervignano del Friuli;2015;2;21;0;-0.6;6.3;10.4;65;82;98;5;13;87;4828;1011.7
Cervignano del Friuli;2015;2;22;3;6.4;8.5;11.5;65;81;91;6;27;59;3632;1002.5
Cervignano del Friuli;2015;2;23;1.1;6.2;9.3;14.1;62;84;97;4;22;97;6641;1004.4
Cervignano del Friuli;2015;2;24;0.4;7.2;9.3;11.4;53;82;99;5;28;16;3122;1003.5
Cervignano del Friuli;2015;2;25;0;7;10.5;15.8;32;53;71;8;37;66;8761;1010.4
Cervignano del Friuli;2015;2;26;0;3.2;9.5;15.9;32;59;88;4;16;192;10264;1016.5
Cervignano del Friuli;2015;2;27;0;0.1;7.8;16.3;35;68;95;4;20;353;13706;1012
