stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Chievolis;2012;1;1;0;-2.3;0.4;5.2;-;-;-;-;-;-;2025;-
Chievolis;2012;1;2;13;-1.4;2;6;-;-;-;-;-;-;2127;-
Chievolis;2012;1;3;9;1.2;5.5;9.6;-;-;-;-;-;-;2064;-
Chievolis;2012;1;4;0;0.2;2.9;5.5;-;-;-;-;-;-;915;-
Chievolis;2012;1;5;1.2;-0.3;1.8;5.2;-;-;-;-;-;-;2511;-
Chievolis;2012;1;6;0.2;0.3;6.4;10.2;-;-;-;-;-;-;720;-
Chievolis;2012;1;7;0;-1.6;0.8;8;-;-;-;-;-;-;1427;-
Chievolis;2012;1;8;0;-1;1.6;8.2;-;-;-;-;-;-;782;-
Chievolis;2012;1;9;0;-1.7;1.4;9.7;-;-;-;-;-;-;557;-
Chievolis;2012;1;10;0;-2.2;2.3;13.2;-;-;-;-;-;-;1231;-
Chievolis;2012;1;11;0;-1.8;0.5;4.3;-;-;-;-;-;-;804;-
Chievolis;2012;1;12;0;-2.3;-0.1;4.3;-;-;-;-;-;-;855;-
Chievolis;2012;1;13;0;-2.9;0;3.7;-;-;-;-;-;-;1624;-
Chievolis;2012;1;14;0;-4.3;-0.9;5.2;-;-;-;-;-;-;1049;-
Chievolis;2012;1;15;0;-5.8;-3.1;2.1;-;-;-;-;-;-;1111;-
Chievolis;2012;1;16;0;-6.5;-3.8;2.2;-;-;-;-;-;-;1168;-
Chievolis;2012;1;17;0;-6.5;-3.5;0.9;-;-;-;-;-;-;1387;-
Chievolis;2012;1;18;0;-5.5;-2.5;2;-;-;-;-;-;-;1673;-
Chievolis;2012;1;19;0;-3.2;-0.3;2.6;-;-;-;-;-;-;2276;-
Chievolis;2012;1;20;0.4;-0.7;1.8;5.8;-;-;-;-;-;-;1876;-
Chievolis;2012;1;21;0;-1.7;2.1;9;-;-;-;-;-;-;2585;-
Chievolis;2012;1;22;0;-2.4;1.1;5.3;-;-;-;-;-;-;2732;-
Chievolis;2012;1;23;0;-1.1;2;7.3;-;-;-;-;-;-;2747;-
Chievolis;2012;1;24;0;-0.1;4.6;11.8;-;-;-;-;-;-;3083;-
Chievolis;2012;1;25;0;-4.2;-0.6;6.6;-;-;-;-;-;-;3598;-
Chievolis;2012;1;26;0;-5.9;-2.1;6.2;-;-;-;-;-;-;3926;-
Chievolis;2012;1;27;0;-5.3;-2.1;2.2;-;-;-;-;-;-;4252;-
Chievolis;2012;1;28;0;-4.5;-0.5;6;-;-;-;-;-;-;4964;-
Chievolis;2012;1;29;0;-3.7;-0.4;6.8;-;-;-;-;-;-;4960;-
Chievolis;2012;1;30;0;-3.7;-0.9;5.6;-;-;-;-;-;-;4707;-
Chievolis;2012;1;31;0;-4.1;-0.8;2.2;-;-;-;-;-;-;3544;-
Chievolis;2012;2;1;0;-1.6;0.3;1.9;-;-;-;-;-;-;2397;-
Chievolis;2012;2;2;0;-4.6;-0.8;1.7;-;-;-;-;-;-;3529;-
Chievolis;2012;2;3;0;-6.2;-2.6;1.2;-;-;-;-;-;-;5863;-
Chievolis;2012;2;4;0;-4.6;-1.4;0.6;-;-;-;-;-;-;3489;-
Chievolis;2012;2;5;0;-8.8;-5.3;-1.2;-;-;-;-;-;-;7013;-
Chievolis;2012;2;6;0;-9.6;-3.2;2.9;-;-;-;-;-;-;4812;-
Chievolis;2012;2;7;0.2;-0.2;4.4;7.6;-;-;-;-;-;-;2759;-
Chievolis;2012;2;8;0;-4.7;2.8;8;-;-;-;-;-;-;7594;-
Chievolis;2012;2;9;1.4;-5.9;-1.3;5.5;-;-;-;-;-;-;8459;-
Chievolis;2012;2;10;0;-5.1;-1.4;1.5;-;-;-;-;-;-;5962;-
Chievolis;2012;2;11;0;-4.1;-1.3;1.5;-;-;-;-;-;-;4139;-
Chievolis;2012;2;12;0.4;-3.9;-0.7;2.7;-;-;-;-;-;-;4675;-
Chievolis;2012;2;13;0;-5.5;-1.7;3;-;-;-;-;-;-;6086;-
Chievolis;2012;2;14;0;-7.2;-2.4;4.8;-;-;-;-;-;-;8145;-
Chievolis;2012;2;15;0;-4.9;-1.1;4.3;-;-;-;-;-;-;7993;-
Chievolis;2012;2;16;0;-3.4;1.3;10.3;-;-;-;-;-;-;8848;-
Chievolis;2012;2;17;0;-3.6;0.7;8.9;-;-;-;-;-;-;8600;-
Chievolis;2012;2;18;0;-3.2;1.5;10.7;-;-;-;-;-;-;7769;-
Chievolis;2012;2;19;2.6;-3.2;2.3;8.9;-;-;-;-;-;-;5411;-
Chievolis;2012;2;20;5.6;0.4;3;6.3;-;-;-;-;-;-;3358;-
