stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cividale del Friuli;2000;1;1;0;-1;1.5;6.9;32;51;63;13;29;47;7570;1014.1
Cividale del Friuli;2000;1;2;0;-1.9;1.6;7.5;34;54;66;15;30;53;7673;1014.4
Cividale del Friuli;2000;1;3;0;-1.2;1.4;7.2;44;62;70;16;32;67;5347;1016.2
Cividale del Friuli;2000;1;4;0;-2.3;1.3;7.4;47;62;71;14;28;52;8131;1010.3
Cividale del Friuli;2000;1;5;0;0.5;4;10.1;38;52;60;13;30;54;7911;1009.4
Cividale del Friuli;2000;1;6;0;1.9;4.7;11.2;38;56;66;13;33;51;7669;1007.1
Cividale del Friuli;2000;1;7;0;3.1;6.3;11.8;38;51;60;23;39;68;7986;1007.1
Cividale del Friuli;2000;1;8;0;3.2;6.1;12.1;41;57;67;18;36;52;7860;1006.5
Cividale del Friuli;2000;1;9;0;2.5;4.9;8.7;57;63;71;18;31;48;3003;1005.3
Cividale del Friuli;2000;1;10;0;1.8;3.7;7.6;47;58;71;24;41;44;5396;1011
Cividale del Friuli;2000;1;11;0;0.9;3.7;7.7;46;55;61;18;49;57;6269;1016.3
Cividale del Friuli;2000;1;12;0;-0.8;2.3;6.2;30;44;59;18;45;67;8783;1014
Cividale del Friuli;2000;1;13;0;-2.3;1.3;5.3;30;44;52;15;33;61;7555;1012.4
Cividale del Friuli;2000;1;14;0;-0.5;2.9;5.2;44;51;59;22;36;57;1624;1009.9
Cividale del Friuli;2000;1;15;0;1.6;4.5;9.1;45;56;65;27;61;38;8602;1009.5
Cividale del Friuli;2000;1;16;0;-1.7;1.9;5.6;39;50;61;24;66;53;7236;1011.9
Cividale del Friuli;2000;1;17;0;-2.7;0.1;4.3;44;59;71;13;26;56;5971;1005
Cividale del Friuli;2000;1;18;0;-2.4;3.5;13.3;20;61;84;13;50;332;7719;993.4
Cividale del Friuli;2000;1;19;0;-0.8;4.1;10.4;24;43;61;12;25;62;9090;1006.8
Cividale del Friuli;2000;1;20;0;-1.9;1.9;7.7;15;34;45;14;29;67;6064;1013.6
Cividale del Friuli;2000;1;21;0;-1.4;2;7.6;45;61;80;12;24;54;8186;1003.4
Cividale del Friuli;2000;1;22;0;-1.4;0.5;3.5;41;58;81;26;50;58;1271;1001
Cividale del Friuli;2000;1;23;0;-1.2;2.2;9.4;28;53;63;17;38;48;8223;992.1
