stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Codroipo;2013;1;1;0;-2.8;2;8.9;56;91;100;5;12;90;6511;1014.2
Codroipo;2013;1;2;2.8;3;6.2;9.1;75;92;100;10;23;66;2163;1018.6
Codroipo;2013;1;3;0.1;1.1;6.3;12.3;52;80;100;6;23;48;5818;1028.2
Codroipo;2013;1;4;0;-0.5;3.7;9.3;76;94;100;4;14;0;3551;1024.2
Codroipo;2013;1;5;0;-1.1;3.1;11.1;66;94;100;4;23;13;5483;1016.5
Codroipo;2013;1;6;0;0.2;4.9;13.6;62;90;100;5;19;343;5333;1016.1
Codroipo;2013;1;7;0;-0.6;5.4;13.8;50;81;100;7;22;91;6371;1017.6
Codroipo;2013;1;8;0;4;5.4;7.3;75;87;99;5;19;55;1035;1021
Codroipo;2013;1;9;0;4.3;6.7;9.8;67;87;99;4;13;355;2690;1017.3
Codroipo;2013;1;10;1;0.9;4.9;7.8;93;99;100;3;9;165;2147;1008.6
Codroipo;2013;1;11;0;-0.2;3.8;10.4;60;94;100;5;16;106;5021;1005.5
Codroipo;2013;1;12;0;-1;3.4;6.8;57;82;99;5;18;55;3658;1012
Codroipo;2013;1;13;4;1.4;4;5.8;72;85;95;15;49;62;1635;1008.5
Codroipo;2013;1;14;16.2;0.3;1.7;2.7;90;97;100;15;44;45;1551;1005.7
Codroipo;2013;1;15;4;1.2;3.3;5.8;87;97;100;9;21;39;2441;1003.5
Codroipo;2013;1;16;6.5;1.9;4;6;71;85;98;20;53;51;755;994.7
Codroipo;2013;1;17;3.9;0.1;4;7.1;42;72;100;14;46;24;4417;995.7
Codroipo;2013;1;18;0;-1.6;4;9.1;37;63;98;13;40;-;3390;996.4
Codroipo;2013;1;19;2;-2.9;2.2;6.5;66;85;99;7;17;72;4927;997.9
Codroipo;2013;1;20;17.9;2.9;5.6;7.4;92;98;100;7;25;330;740;994
Codroipo;2013;1;21;10.5;6.2;7.6;9.8;99;100;100;6;17;28;1727;990.4
Codroipo;2013;1;22;15.8;3.3;6;9;77;95;100;10;35;18;3286;997.1
Codroipo;2013;1;23;0;1.2;4.9;9.9;61;88;100;8;27;4;6261;1003
Codroipo;2013;1;24;0.3;4.1;7.2;10.7;49;67;83;10;28;30;3396;996.9
Codroipo;2013;1;25;0;-2;3.4;8.6;37;71;97;5;17;133;8143;1003.9
