stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Enemonzo;2002;1;1;0.0;-9.7;-5.3;2.9;9;37;60;4;14;93;6254;987.2
Enemonzo;2002;1;2;0.0;-11.1;-6.5;1.8;13;53;75;4;12;81;6239;982.4
Enemonzo;2002;1;3;0.0;-10.3;-5.7;2.9;23;62;82;4;11;89;6584;982.6
Enemonzo;2002;1;4;0.0;-11.9;-6.8;1.7;9;48;67;4;13;77;6353;987.2
Enemonzo;2002;1;5;0.0;-10.5;-4.3;4.5;9;39;58;4;12;81;5734;987.0
Enemonzo;2002;1;6;0.0;-6.1;-1.2;8.3;10;43;60;4;12;60;6493;983.0
Enemonzo;2002;1;7;0.0;-5.5;-0.3;9.1;9;40;57;4;12;42;6225;980.3
Enemonzo;2002;1;8;0.0;-7.1;-2.0;7.4;9;43;60;4;8;229;6120;985.3
Enemonzo;2002;1;9;0.0;-6.0;-0.7;9.9;9;43;61;4;8;245;6604;988.5
Enemonzo;2002;1;10;0.0;-4.6;0.1;10.4;11;46;61;4;8;301;6589;986.3
Enemonzo;2002;1;11;0.0;-5.1;-0.9;7.6;20;54;70;4;10;58;6007;984.8
Enemonzo;2002;1;12;0.0;-6.0;-0.4;8.6;14;51;71;4;11;64;6749;984.1
Enemonzo;2002;1;13;0.0;-5.8;-0.5;7.4;23;56;78;4;12;93;6771;980.8
Enemonzo;2002;1;14;0.0;-6.8;-3.3;3.5;46;73;87;3;12;306;3225;979.7
Enemonzo;2002;1;15;0.2;-7.9;-1.9;2.4;45;81;97;3;11;282;1867;974.7
Enemonzo;2002;1;16;0.0;-6.1;-2.1;1.9;69;88;98;3;12;109;3324;973.0
Enemonzo;2002;1;17;0.0;-6.7;-2.5;6.7;45;82;98;4;19;85;7398;975.2
Enemonzo;2002;1;18;0.0;-7.3;-2.1;7.8;28;74;95;4;15;66;7827;974.9
Enemonzo;2002;1;19;0.0;-6.2;-0.4;6.7;30;66;86;4;14;57;6635;975.2
Enemonzo;2002;1;20;0.0;-5.4;-0.4;7.0;39;69;87;5;13;64;7413;977.7
Enemonzo;2002;1;21;0.0;-5.2;-1.4;3.9;55;79;91;3;8;304;3959;975.8
Enemonzo;2002;1;22;0.0;-4.6;0.1;3.2;71;87;95;2;8;324;935;973.8
Enemonzo;2002;1;23;0.2;-0.1;3.2;6.4;55;83;97;3;13;78;2283;972.0
Enemonzo;2002;1;24;7.4;-0.6;2.3;4.0;97;99;99;2;9;303;1154;966.5
Enemonzo;2002;1;25;0.0;-1.7;2.2;11.9;50;92;99;4;10;300;8056;972.5
Enemonzo;2002;1;26;0.0;-1.3;2.8;8.7;59;93;99;4;12;54;5165;977.7
Enemonzo;2002;1;27;0.0;2.0;3.5;5.2;94;99;99;3;10;69;1677;974.1
Enemonzo;2002;1;28;0.0;-0.9;3.3;10.5;65;91;99;4;15;75;6895;978.7
Enemonzo;2002;1;29;0.0;-2.0;3.6;13.2;18;81;99;5;18;64;9081;982.2
Enemonzo;2002;1;30;0.0;-2.7;1.8;6.3;75;90;98;4;19;88;7479;982.8
Enemonzo;2002;1;31;0.0;1.3;3.0;6.1;63;86;98;2;8;305;1879;979.8
Enemonzo;2002;2;1;0.0;-1.0;3.6;11.3;49;83;99;4;13;86;8415;980.9
Enemonzo;2002;2;2;0.0;-1.9;4.1;14.5;30;77;99;4;12;318;8808;986.8
Enemonzo;2002;2;3;0.0;-1.6;3.4;12.0;33;76;97;5;18;91;9511;983.6
Enemonzo;2002;2;4;0.0;-2.9;1.3;8.4;43;81;99;5;18;65;9720;979.4
Enemonzo;2002;2;5;0.0;-2.6;1.4;10.9;27;76;99;5;21;75;9581;973.8
Enemonzo;2002;2;6;25.4;-1.0;1.0;2.8;93;98;99;1;5;256;917;964.9
Enemonzo;2002;2;7;24.0;-0.3;2.3;11.8;67;95;99;3;14;324;5270;970.8
Enemonzo;2002;2;8;0.0;-1.0;2.6;11.5;51;92;99;4;12;302;7099;976.9
Enemonzo;2002;2;9;0.0;-0.3;4.9;11.3;52;86;99;4;18;73;9817;972.2
Enemonzo;2002;2;10;0.0;-1.7;4.7;11.6;57;81;99;5;24;76;9933;965.8
Enemonzo;2002;2;11;0.0;-2.4;2.9;10.6;27;73;97;5;20;72;8294;971.8
Enemonzo;2002;2;12;0.0;-2.0;2.3;8.6;60;87;99;4;21;70;10599;972.8
Enemonzo;2002;2;13;0.0;1.7;3.4;5.5;73;86;96;2;7;341;2391;971.6
Enemonzo;2002;2;14;1.6;2.3;3.8;5.7;76;89;99;1;7;282;1059;972.1
Enemonzo;2002;2;15;21.4;0.2;2.5;5.4;80;97;99;3;10;168;1646;978.4
Enemonzo;2002;2;16;30.6;-1.7;0.2;2.3;99;99;99;1;7;244;676;981.3
