stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Faedis;2011;1;1;0;-1.9;2.2;6.6;57;75;87;4;13;48;5020;1001.7
Faedis;2011;1;2;0;-0.8;3.5;7.4;49;65;90;8;33;42;2111;998.3
Faedis;2011;1;3;0;-3.1;1.3;6.3;15;43;62;6;21;137;7554;1004.2
Faedis;2011;1;4;0;-3.9;-0.3;3.7;25;46;64;6;31;104;4994;1004.7
Faedis;2011;1;5;0;-5.1;-1.3;2.9;38;53;66;4;12;42;6679;1004.4
Faedis;2011;1;6;0.5;-1.3;0.5;2.4;47;68;100;3;13;69;770;1004.6
Faedis;2011;1;7;11.4;0.3;3.5;5.7;99;100;100;1;30;314;222;1006.8
Faedis;2011;1;8;9.9;4.5;6.2;7.7;99;100;100;2;9;340;200;1005
Faedis;2011;1;9;0.4;6.7;7.7;8.5;99;100;100;5;16;103;728;1004.6
Faedis;2011;1;10;42.9;7.5;8.9;10.5;99;100;100;4;23;241;352;1002
Faedis;2011;1;11;30.2;6.7;7.6;8.9;89;100;100;4;17;74;579;996.3
Faedis;2011;1;12;0;4.8;7.7;11.4;71;93;100;3;12;249;7130;1000.4
Faedis;2011;1;13;0;1.7;4.5;5.7;97;100;100;3;9;54;1744;1001.1
Faedis;2011;1;14;0;3.4;6.4;10.2;75;93;100;3;10;53;6598;1002.1
Faedis;2011;1;15;0.1;4.4;6.8;11;70;91;100;5;17;286;6944;1005.9
Faedis;2011;1;16;0;-0.1;5.4;10.8;73;93;100;3;13;181;7162;1011.5
Faedis;2011;1;17;0;-2.2;1.6;8.4;99;100;100;2;11;172;6084;1010.3
Faedis;2011;1;18;0;-2.2;0;2;-;99;100;3;12;326;3695;1008.2
Faedis;2011;1;19;3.6;-1.7;2;5.3;99;100;100;3;11;114;2443;1004.9
Faedis;2011;1;20;0;1.7;4.8;9.8;22;63;100;5;26;304;5777;1001.8
Faedis;2011;1;21;0;1.2;3.7;8.5;19;40;54;5;26;254;4415;1004.1
Faedis;2011;1;22;0;-2;2.1;7.3;25;42;56;8;30;135;8403;1003
Faedis;2011;1;23;0;-3.6;1;5.6;28;46;62;5;14;36;9212;1001.9
Faedis;2011;1;24;0;-3.2;1.6;5.8;35;49;64;4;-;-;5717;1002.1
Faedis;2011;1;25;0;-2.8;0.9;3.1;48;64;84;3;-;-;2420;999.5
Faedis;2011;1;26;0;-1.7;2.5;5.1;60;71;85;3;17;184;2930;993.8
Faedis;2011;1;27;0;1.5;5.6;10.2;49;62;80;7;39;114;8179;995.6
Faedis;2011;1;28;0;-1.1;5.1;8.9;25;41;53;12;51;106;9576;1000.3
Faedis;2011;1;29;0;-1.7;2.3;7.6;33;47;64;-;28;15;6214;1002.4
Faedis;2011;1;30;0;-0.8;3.3;6.2;46;58;68;2;12;106;3056;999.5
Faedis;2011;1;31;0;-0.9;3.4;10.6;38;59;71;4;19;135;9700;1002.1
Faedis;2011;2;1;0;-0.9;4.5;12.2;22;45;69;5;15;307;10322;1003.5
Faedis;2011;2;2;0;-0.8;5.2;13;13;35;54;4;12;343;10467;1003.8
Faedis;2011;2;3;0;-1.5;4.5;11.2;15;40;63;5;14;62;8348;1006.9
Faedis;2011;2;4;0;0.6;8.1;14.9;11;28;43;5;15;281;10788;1008.9
Faedis;2011;2;5;0;3.6;6.4;9.7;26;41;62;3;14;43;2067;1009.1
Faedis;2011;2;6;0;1.7;8.3;15.9;21;42;61;4;12;263;11042;1008.2
Faedis;2011;2;7;0;2.8;8.6;15.6;26;45;61;4;12;359;10956;1006.5
Faedis;2011;2;8;0;3.5;7.7;13.3;31;48;66;4;16;328;10443;1002.4
Faedis;2011;2;9;0;4.9;10.6;16.4;25;38;50;8;31;134;10975;1002.3
Faedis;2011;2;10;0;3.8;9.6;15.6;23;43;61;5;17;195;11057;1003.2
Faedis;2011;2;11;0;2.5;6.1;9.7;54;73;87;6;17;74;8897;1001.6
Faedis;2011;2;12;0;3.9;7;8.8;76;88;96;3;14;149;1034;999.3
Faedis;2011;2;13;1.4;5.8;7;8.2;81;94;100;3;11;9;673;996.7
Faedis;2011;2;14;0;4.8;7.7;10.9;64;85;100;4;13;107;6370;993.2
Faedis;2011;2;15;0;5.1;6.6;8.7;69;80;91;3;10;357;1829;989.5
Faedis;2011;2;16;35.6;5.6;7.3;8.3;75;91;100;12;77;80;1298;985.5
Faedis;2011;2;17;8.9;4.7;6.8;8.3;69;85;98;13;70;67;1264;986.4
Faedis;2011;2;18;0;4.2;9.1;15.2;44;72;99;6;33;137;12576;988.8
Faedis;2011;2;19;0;2.3;7.4;12.8;42;67;84;5;16;217;12662;993.5
Faedis;2011;2;20;0;3.4;6.4;8.9;50;65;86;6;26;68;2838;995
Faedis;2011;2;21;0;0.4;4.9;9.2;42;62;84;9;33;127;10083;993.9
Faedis;2011;2;22;0;-0.5;2.9;7;38;56;77;12;47;51;11858;994.3
Faedis;2011;2;23;0;-2.5;1.6;7.1;21;46;64;6;24;128;13336;1002.1
Faedis;2011;2;24;0;-4.7;1.1;7.9;18;43;65;5;16;263;14097;1007.3
Faedis;2011;2;25;0;-3.3;2.4;8.3;22;43;60;6;21;210;13777;1006.3
Faedis;2011;2;26;0;-3;4.1;12.2;26;46;64;7;31;95;14181;1002.3
Faedis;2011;2;27;0.1;0;4.9;9.6;37;54;83;4;15;118;8488;996.9
Faedis;2011;2;28;0.2;1.1;5.2;11.7;41;70;93;4;21;120;7241;1001.5
Faedis;2011;3;1;0;-0.2;4.4;9.1;41;52;67;15;56;113;14785;1004.6
Faedis;2011;3;2;0;-0.9;3.9;8.3;22;38;55;9;38;86;6302;1006.6
Faedis;2011;3;3;0.3;-0.1;2.7;4.7;48;68;86;5;24;236;2016;1009.2
Faedis;2011;3;4;0;0.4;5.6;12.2;35;58;85;9;36;132;14858;1008.9
Faedis;2011;3;5;0;-0.1;7.2;15.1;25;50;73;5;22;143;15709;1000
Faedis;2011;3;6;0;0.7;7.5;14.3;28;46;66;13;46;63;15866;999.5
Faedis;2011;3;7;0;-1.3;4.4;9.8;13;33;53;8;27;262;16564;1013.4
Faedis;2011;3;8;0;-1.3;3.1;9.1;14;32;55;6;20;252;17175;1015.2
