stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Fagagna;2017;1;1;0.0;-1.8;3.6;10.5;-;-;-;16;32;10;7265;1006.1
Fagagna;2017;1;2;0.0;-2.1;2.0;7.3;-;-;-;17;28;8;5350;1002.0
Fagagna;2017;1;3;0.0;-1.8;3.7;8.2;-;-;-;13;32;111;7021;1003.0
Fagagna;2017;1;4;0.0;-2.6;0.9;5.8;-;-;-;15;30;88;5368;995.3
Fagagna;2017;1;5;0.0;-2.1;2.0;5.7;-;-;-;23;62;343;7664;998.5
Fagagna;2017;1;6;0.0;-6.5;-0.6;2.0;-;-;-;19;47;359;7861;1010.9
Fagagna;2017;1;7;0.0;-8.5;-4.8;-0.1;-;-;-;10;24;8;7025;1013.5
Fagagna;2017;1;8;0.0;-8.1;-4.1;1.8;-;-;-;10;25;13;6175;1008.7
Fagagna;2017;1;9;0.0;-7.2;-2.9;3.0;-;-;-;11;26;15;5853;1005.5
Fagagna;2017;1;10;0.0;-6.2;-2.8;2.5;-;-;-;10;27;158;6398;1000.1
Fagagna;2017;1;11;0.0;-9.6;-4.9;0.3;-;-;-;7;18;245;7119;1003.3
Fagagna;2017;1;12;3.9;-7.7;-1.7;1.1;-;-;-;14;28;19;1127;1001.8
Fagagna;2017;1;13;16.2;-0.3;1.5;3.9;-;-;-;19;68;1;1060;983.3
Fagagna;2017;1;14;0.0;-1.5;0.8;4.7;-;-;-;11;30;16;7227;991.7
Fagagna;2017;1;15;0.0;-1.8;1.6;6.1;-;-;-;15;35;9;7313;999.7
Fagagna;2017;1;16;0.0;-1.6;1.5;4.4;-;-;-;19;45;10;6347;999.2
Fagagna;2017;1;17;0.0;1.3;3.2;6.0;-;-;-;27;58;0;5967;1002.3
Fagagna;2017;1;18;0.0;1.1;4.1;6.6;-;-;-;19;48;11;5203;1007.7
Fagagna;2017;1;19;0.0;-2.2;3.0;7.2;-;-;-;13;33;112;8245;1012.8
Fagagna;2017;1;20;0.0;-3.0;1.2;6.9;-;-;-;8;27;113;8435;1015.0
