stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Forni di Sopra;2014;1;1;0;-3.4;0.1;7;41;68;87;5;16;319;5141;912
Forni di Sopra;2014;1;2;0;-1.8;0.2;2.9;70;83;100;3;13;327;2762;910.1
Forni di Sopra;2014;1;3;0;-1.7;1.5;10.2;55;86;100;3;13;313;3781;912.7
Forni di Sopra;2014;1;4;46.2;-1.4;1.3;3.5;89;97;100;4;21;328;763;909.5
Forni di Sopra;2014;1;5;31.4;0.5;2.2;4.2;99;99;99;4;17;333;658;903.8
Forni di Sopra;2014;1;6;0;0.6;3.5;10.8;68;94;100;5;16;318;4831;913.1
Forni di Sopra;2014;1;7;0;0.1;3.3;9.9;71;93;100;3;12;306;3966;916.8
Forni di Sopra;2014;1;8;0;-0.3;3.3;9.4;66;89;100;4;14;319;5156;918.2
Forni di Sopra;2014;1;9;0.3;1.6;4.5;10;65;85;100;3;17;340;5515;913.3
Forni di Sopra;2014;1;10;0.2;1.1;3.4;8.5;67;92;99;2;13;323;3911;911.9
Forni di Sopra;2014;1;11;0;1.4;4;6.9;68;77;87;4;14;325;2152;914.6
Forni di Sopra;2014;1;12;0;-2.6;1.9;11.1;42;78;99;3;14;327;5669;915.1
Forni di Sopra;2014;1;13;0.1;-4.2;1;7.6;56;75;90;2;17;102;6048;911.8
Forni di Sopra;2014;1;14;42.6;-0.3;0.6;1.9;90;98;100;-;-;-;110;902.4
Forni di Sopra;2014;1;15;0;-1.9;1.1;7.6;85;97;100;4;12;329;3544;905.3
Forni di Sopra;2014;1;16;0.3;-1.9;0.8;6;77;96;100;2;10;29;3850;907.8
Forni di Sopra;2014;1;17;29.7;-0.4;0.6;2.3;99;99;99;1;10;331;222;905.2
Forni di Sopra;2014;1;18;19.2;0;2.6;5.8;99;99;99;3;13;328;1752;904
Forni di Sopra;2014;1;19;48.2;0.1;2.2;4.5;99;99;99;3;13;327;1533;900
Forni di Sopra;2014;1;20;0.1;1.2;4.1;12.9;71;95;100;3;13;293;5239;896.1
Forni di Sopra;2014;1;21;0;-0.4;3.7;11.9;47;85;100;4;14;330;5629;899.1
Forni di Sopra;2014;1;22;0;-1.5;2.7;11.8;45;77;91;4;12;342;6902;904.8
Forni di Sopra;2014;1;23;1.8;-1.6;2.6;8.7;52;78;95;3;11;310;3650;907.9
Forni di Sopra;2014;1;24;7.2;-0.4;1;3.2;49;83;100;5;36;37;810;902
Forni di Sopra;2014;1;25;0;-4.4;0.9;9.2;14;44;68;9;33;305;7473;903.3
