stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Fossalon;2006;1;1;25.4;1.9;4.2;6.4;99;99;99;6;18;74;798;1008.2
Fossalon;2006;1;2;11.2;4.2;5.3;6.5;85;96;100;6;27;92;928;1011.1
Fossalon;2006;1;3;0.0;1.1;6.3;11.0;50;72;100;17;49;26;7240;1019.7
Fossalon;2006;1;4;0.0;4.5;6.2;8.3;55;61;65;23;59;58;6887;1022.2
Fossalon;2006;1;5;0.0;3.0;5.4;7.7;59;67;76;17;45;51;3924;1018.9
Fossalon;2006;1;6;0.0;1.2;5.8;8.7;61;71;83;14;39;74;3798;1021.5
Fossalon;2006;1;7;0.0;3.3;6.3;9.5;53;67;77;18;39;81;6879;1027.0
Fossalon;2006;1;8;0.0;2.4;4.3;7.2;54;62;74;21;45;89;7038;1031.6
Fossalon;2006;1;9;0.0;1.7;3.5;6.7;42;55;66;22;44;79;7376;1031.4
Fossalon;2006;1;10;0.0;-0.7;4.6;9.7;41;55;73;13;31;100;7549;1031.0
Fossalon;2006;1;11;0.0;-1.5;4.4;11.3;43;64;81;8;23;86;7680;1030.1
Fossalon;2006;1;12;0.0;-0.1;5.2;10.0;49;61;81;12;31;81;7677;1032.3
Fossalon;2006;1;13;0.0;-1.3;3.1;7.4;52;64;80;11;30;81;7728;1034.6
Fossalon;2006;1;14;0.0;-3.6;1.6;6.6;48;64;82;18;51;79;7808;1032.4
Fossalon;2006;1;15;0.0;-0.8;1.4;4.4;49;60;66;23;44;83;7189;1032.7
Fossalon;2006;1;16;0.0;-3.1;0.2;3.6;59;70;83;8;22;43;2829;1029.7
Fossalon;2006;1;17;5.8;-1.1;0.4;1.7;78;92;100;4;10;331;1686;1024.0
Fossalon;2006;1;18;1.6;-4.4;0.2;1.8;99;99;100;4;15;292;830;1011.8
Fossalon;2006;1;19;0.0;-5.3;-0.6;6.8;71;96;100;5;23;253;8426;1023.3
