stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Gemona del Friuli;2000;1;1;0;-2.9;0.4;5.5;32;54;69;14;40;353;7032;995.3
Gemona del Friuli;2000;1;2;0;-3.6;1.5;7.1;32;57;75;13;33;340;7865;997.6
Gemona del Friuli;2000;1;3;0;-4.4;1.1;7.2;41;65;87;8;28;1;6480;999.1
Gemona del Friuli;2000;1;4;0;-6.5;-0.2;8.4;37;72;91;5;28;0;8506;993.4
Gemona del Friuli;2000;1;5;0;-3.2;4;10.7;32;55;78;13;46;1;8101;993.5
Gemona del Friuli;2000;1;6;0;2.2;5.3;11.5;37;55;70;17;41;360;7895;994.6
Gemona del Friuli;2000;1;7;0;1.6;5.9;12.2;35;52;63;19;38;359;7575;996.1
Gemona del Friuli;2000;1;8;0;2.4;5.1;11.7;41;59;72;19;45;348;7944;996.1
Gemona del Friuli;2000;1;9;0;1.7;4.8;10.1;53;69;91;14;33;347;5484;995.5
Gemona del Friuli;2000;1;10;0;-2.7;3.1;8.4;50;73;91;9;33;341;4835;999.9
Gemona del Friuli;2000;1;11;0;-4.4;0.8;8.2;48;78;92;4;13;195;8074;1004.5
Gemona del Friuli;2000;1;12;0;-6.8;-1.7;5.8;42;75;92;3;12;193;8269;1002.0
Gemona del Friuli;2000;1;13;0;-7.7;-1.4;5;30;59;86;11;39;358;8952;995.9
Gemona del Friuli;2000;1;14;0;-3.2;1.3;4.8;41;52;61;26;49;335;2553;993.0
Gemona del Friuli;2000;1;15;0;-1.3;4.8;12.5;35;57;79;18;47;13;8354;994.9
Gemona del Friuli;2000;1;16;0;-6.3;-0.4;5.9;47;71;88;4;15;193;7234;996.6
Gemona del Friuli;2000;1;17;0;-7.1;-1.4;4.4;49;74;89;4;14;330;8328;987.4
Gemona del Friuli;2000;1;18;0;-5.9;3.2;12.7;23;66;91;12;46;357;7901;975.9
Gemona del Friuli;2000;1;19;0;-0.8;5.9;10.9;10;29;61;10;46;14;8997;989.9
Gemona del Friuli;2000;1;20;0;-2.9;1.8;7.4;15;33;54;13;37;1;6346;994.8
Gemona del Friuli;2000;1;21;0;-4.9;0.6;7.5;40;58;92;11;39;0;9092;984.1
Gemona del Friuli;2000;1;22;0;-5.5;-1;2.8;62;83;92;6;39;11;1162;981.4
Gemona del Friuli;2000;1;23;0;-4.3;3.1;10.5;13;50;82;10;37;355;8530;975.1
Gemona del Friuli;2000;1;24;0;-8.3;-1.4;3.6;8;39;87;11;44;24;10365;984.5
Gemona del Friuli;2000;1;25;0;-8.7;-4.2;1.3;11;31;54;12;31;6;10532;995.0
Gemona del Friuli;2000;1;26;0;-9.2;-3.7;3.5;15;40;78;11;36;8;10557;998.6
Gemona del Friuli;2000;1;27;0;-10.7;-3.5;5;24;59;84;4;19;197;10180;998.1
Gemona del Friuli;2000;1;28;0;-4.5;-0.3;6.2;44;57;70;13;39;359;8205;993.4
Gemona del Friuli;2000;1;29;0;-3.2;0.4;5.1;44;66;91;14;41;6;3807;987.6
Gemona del Friuli;2000;1;30;0;-3.4;2;7.2;50;71;95;11;27;359;4114;987.1
Gemona del Friuli;2000;1;31;0;0.2;4.3;8.2;69;81;95;14;33;350;2622;995.4
Gemona del Friuli;2000;2;1;0;3.3;5.7;8.9;68;82;99;12;40;360;2457;999.0
Gemona del Friuli;2000;2;2;0.2;2.5;4.6;6.5;85;95;100;4;16;0;1527;993.0
Gemona del Friuli;2000;2;3;0;0.3;7.3;14;29;66;90;12;35;356;8164;996.9
Gemona del Friuli;2000;2;4;0;2;6.3;11.9;-;50;-;15;-;-;-;-
Gemona del Friuli;2000;2;5;0;-0.5;4.4;9.9;64;76;95;5;25;-;8077;1004.7
Gemona del Friuli;2000;2;6;0;-3;2.9;12.1;59;84;97;4;13;231;10509;999.8
Gemona del Friuli;2000;2;7;0;-3.8;0.5;4.6;82;93;100;6;28;-;3144;993.6
Gemona del Friuli;2000;2;8;0.6;2.4;4.5;6.5;73;89;100;10;33;348;1199;990.1
Gemona del Friuli;2000;2;9;0;0.3;7.2;12;10;64;100;12;42;355;6648;988.4
Gemona del Friuli;2000;2;10;0;-3.6;4.5;13.1;18;50;79;9;39;3;11759;996.3
Gemona del Friuli;2000;2;11;0;0.1;5.6;12.5;27;48;72;13;36;357;6631;995.4
Gemona del Friuli;2000;2;12;0;-0.2;6.2;11.6;39;53;81;10;30;1;9362;995.7
Gemona del Friuli;2000;2;13;0;0.5;5.8;13.6;30;56;73;13;39;1;11137;993.2
Gemona del Friuli;2000;2;14;0;-1;6.2;14.2;30;53;74;11;34;359;11871;991.6
Gemona del Friuli;2000;2;15;0;-0.4;5.8;12.4;36;57;80;12;35;1;10215;991.1
Gemona del Friuli;2000;2;16;12.4;3.2;4.8;7.4;38;74;94;15;53;4;869;978.2
Gemona del Friuli;2000;2;17;0;0.9;4.7;10.7;12;56;90;11;30;347;13565;976.8
Gemona del Friuli;2000;2;18;0;-1.7;2.9;7.4;31;50;84;12;32;354;8635;983.5
Gemona del Friuli;2000;2;19;0;0.1;4.3;10.5;24;50;71;15;38;346;8805;979.4
Gemona del Friuli;2000;2;20;0;2.1;7.2;14.6;10;35;61;20;44;-;13149;985.7
Gemona del Friuli;2000;2;21;0;-2.3;5.1;10.8;9;35;63;13;32;350;13937;995.3
Gemona del Friuli;2000;2;22;0;-1.8;2.6;8.1;22;39;65;12;30;-;12001;996.4
Gemona del Friuli;2000;2;23;0;-1.3;3;9.1;26;46;63;13;30;1;13713;996.3
Gemona del Friuli;2000;2;24;0;-1.9;4.1;11.2;19;44;78;14;38;355;13778;999.9
Gemona del Friuli;2000;2;25;0;-2.4;3.3;10.5;43;66;87;5;21;216;9641;999.1
Gemona del Friuli;2000;2;26;0;0.2;5.9;11;53;68;79;11;40;4;4221;1001.7
Gemona del Friuli;2000;2;27;0;1.9;8.5;16.6;30;56;76;15;41;2;13370;1003.9
Gemona del Friuli;2000;2;28;0;-0.1;7.2;14.6;34;59;89;12;33;354;12921;1004.4
Gemona del Friuli;2000;2;29;6.2;-1.3;6;10.7;57;80;97;6;22;127;6012;997.6
Gemona del Friuli;2000;3;1;59.4;3.5;5.9;8.1;77;89;98;17;44;349;606;979.4
Gemona del Friuli;2000;3;2;0;5.4;9.5;13.8;10;24;78;27;62;356;15540;985.5
Gemona del Friuli;2000;3;3;0;0.3;5.6;11.1;25;51;80;9;26;353;12794;991.8
Gemona del Friuli;2000;3;4;0;3;6.9;12.5;11;55;84;14;44;1;6765;986.2
Gemona del Friuli;2000;3;5;0;-0.7;6.1;11.1;9;29;68;12;32;2;15358;998.7
Gemona del Friuli;2000;3;6;0;0.4;5.4;11.7;25;45;75;13;33;359;15174;1005.1
Gemona del Friuli;2000;3;7;0;-0.5;5.4;12.4;37;62;88;11;35;3;14767;1000.6
Gemona del Friuli;2000;3;8;0;0.3;6.8;13.7;46;69;91;11;33;0;11242;998.4
Gemona del Friuli;2000;3;9;0;4.2;8.5;14.2;58;75;93;11;31;356;11133;994.4
Gemona del Friuli;2000;3;10;0;5.8;10.6;16.5;52;72;85;9;24;215;14022;993.1
Gemona del Friuli;2000;3;11;0;5;9;11.8;59;77;96;4;12;185;3081;991.4
Gemona del Friuli;2000;3;12;0;3.3;10.7;18.5;33;62;96;8;24;359;16021;995.0
Gemona del Friuli;2000;3;13;0;2.2;9.7;17;37;63;88;7;23;166;14774;998.3
Gemona del Friuli;2000;3;14;0;5.8;9.9;15.4;50;70;89;13;33;350;9178;995.3
Gemona del Friuli;2000;3;15;0;5.5;11;18.3;9;46;91;15;55;13;14469;990.5
Gemona del Friuli;2000;3;16;0;0.9;7.6;12.8;40;52;72;10;29;359;11966;991.9
Gemona del Friuli;2000;3;17;0;1.3;7;12;52;70;91;7;21;220;10170;989.1
Gemona del Friuli;2000;3;18;0;0.8;6;10.5;62;75;94;7;19;170;7687;990.6
Gemona del Friuli;2000;3;19;0;-0.4;4.8;9.1;58;74;88;6;23;183;7615;993.9
Gemona del Friuli;2000;3;20;0;-2.9;5.1;11.5;44;67;93;7;21;196;15455;995.8
Gemona del Friuli;2000;3;21;0;-0.1;7;14.3;40;65;88;6;24;168;17491;994.9
Gemona del Friuli;2000;3;22;0;-1;7.7;15.7;36;61;90;9;29;4;16885;994.4
Gemona del Friuli;2000;3;23;0;0.7;9.4;16.7;35;57;82;10;29;12;16227;992.5
Gemona del Friuli;2000;3;24;0;3.7;9.5;12.9;64;74;90;6;17;153;6902;990.3
Gemona del Friuli;2000;3;25;12.8;8.1;10.7;13.8;66;86;99;4;15;176;3901;991.9
Gemona del Friuli;2000;3;26;33.8;6.9;9;10.4;87;96;100;6;28;9;1549;986.2
Gemona del Friuli;2000;3;27;43.6;3.5;6;9.6;84;91;98;16;37;357;2058;976.7
Gemona del Friuli;2000;3;28;18.4;3.7;8;13.7;52;82;94;12;48;4;12142;982.9
Gemona del Friuli;2000;3;29;51.6;4.1;7;10.1;76;88;95;18;48;99;659;979.8
Gemona del Friuli;2000;3;30;1.2;4.1;7.9;11.8;64;82;96;9;45;211;5627;981.5
Gemona del Friuli;2000;3;31;5.6;4.2;8.9;14.8;56;80;92;11;30;339;15133;983.2
Gemona del Friuli;2000;4;1;1.8;7;8.7;11.3;67;85;95;10;44;346;4490;977.8
Gemona del Friuli;2000;4;2;1.2;6.4;8.6;10.8;77;88;96;4;17;137;3743;983.1
Gemona del Friuli;2000;4;3;44.8;6.6;7.6;8.4;88;93;98;15;33;1;1288;977.2
Gemona del Friuli;2000;4;4;4.4;7.4;10.3;13.8;76;88;96;8;32;7;6706;973.5
Gemona del Friuli;2000;4;5;0;7.1;11.3;15;70;79;89;14;42;20;16843;974.0
Gemona del Friuli;2000;4;6;0;9;12.8;18.4;29;69;90;13;37;10;14467;987.4
Gemona del Friuli;2000;4;7;0;3.9;9.9;15;19;45;81;12;42;352;21795;997.1
Gemona del Friuli;2000;4;8;0;4.6;10.2;16.1;41;60;87;12;33;359;21192;995.4
Gemona del Friuli;2000;4;9;0;7.5;10.7;15.6;31;65;90;5;24;228;13130;990.4
Gemona del Friuli;2000;4;10;0;7.9;9.7;12.9;48;69;94;4;19;354;5519;984.1
Gemona del Friuli;2000;4;11;2.8;7.5;10.1;14;71;85;96;9;24;153;9158;976.6
