stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Gorgo;2013;1;1;0.2;-1.9;2.3;9.2;75;96;99;4;15;166;-;-
Gorgo;2013;1;2;1.4;2.4;6.6;8.9;86;98;99;6;16;38;-;-
Gorgo;2013;1;3;0.0;2.9;7.1;13.3;57;84;99;4;19;353;-;-
Gorgo;2013;1;4;0.0;-0.6;4.6;9.4;80;96;99;3;11;24;-;-
Gorgo;2013;1;5;0.2;-0.5;3.7;11.7;75;96;99;3;20;313;-;-
Gorgo;2013;1;6;0.2;0.4;5.7;14.3;69;94;99;3;13;353;-;-
Gorgo;2013;1;7;0.2;0.8;6;15;61;87;99;5;19;75;-;-
Gorgo;2013;1;8;0.0;3.6;6.3;8.3;80;87;99;4;13;57;-;-
Gorgo;2013;1;9;0.0;4.4;6.9;9.1;86;94;99;2;10;0;-;-
Gorgo;2013;1;10;0.0;1.7;6;8.3;95;99;99;2;15;212;-;-
Gorgo;2013;1;11;0.2;0.2;3.9;9.6;85;97;99;3;14;43;-;-
Gorgo;2013;1;12;0.0;0.8;4;7;63;82;95;4;18;54;-;-
Gorgo;2013;1;13;10.0;1.9;4.6;6.4;84;93;99;10;28;29;-;-
Gorgo;2013;1;14;12.6;1.3;3.1;5;92;96;99;14;34;27;-;-
Gorgo;2013;1;15;3.0;2.5;4.6;7.1;92;98;99;6;22;216;-;-
Gorgo;2013;1;16;8.8;2.8;4.6;6.2;70;89;99;13;49;66;-;-
Gorgo;2013;1;17;3.6;1.5;4.7;7.6;55;78;99;11;33;80;-;-
Gorgo;2013;1;18;0.0;-0.3;4.8;8.6;48;69;96;4;19;337;-;-
Gorgo;2013;1;19;3.0;-1.4;2.9;7.4;71;90;99;5;13;351;-;-
Gorgo;2013;1;20;21.2;3.5;6.4;8.1;99;99;99;5;18;24;-;-
Gorgo;2013;1;21;5.6;7.2;8.4;10.3;99;99;99;5;17;210;-;-
Gorgo;2013;1;22;3.6;3.9;6.9;9.8;82;94;99;6;23;42;-;-
Gorgo;2013;1;23;0.0;4.4;6.5;10.2;75;90;99;5;21;1;-;-
Gorgo;2013;1;24;1.4;5;7.4;10.1;62;79;96;9;41;33;-;-
Gorgo;2013;1;25;0.0;-0.1;4.5;7.9;54;70;84;10;31;71;-;-
Gorgo;2013;1;26;0.0;-3.1;0.8;6.1;45;74;92;5;18;69;-;-
Gorgo;2013;1;27;0.0;-1.8;1.3;6.8;55;80;99;4;14;280;-;-
Gorgo;2013;1;28;4.0;0.5;3;5.3;87;96;99;4;15;0;-;-
Gorgo;2013;1;29;0.2;-1.9;0.7;2.7;99;99;99;-;15;169;-;-
Gorgo;2013;1;30;0.0;1.9;4.6;6.4;99;99;99;3;10;302;-;-
Gorgo;2013;1;31;0.0;4.9;5.9;7.3;83;93;99;3;16;231;-;-
Gorgo;2013;2;1;0.0;4.4;6.3;8.6;85;95;99;4;16;200;-;-
Gorgo;2013;2;2;84.8;4;6.5;8.9;87;99;99;10;47;351;-;-
Gorgo;2013;2;3;0.0;0.4;6.2;11.6;23;72;99;6;25;51;-;-
Gorgo;2013;2;4;0.0;0.9;4.2;9.7;60;88;99;4;16;202;-;-
Gorgo;2013;2;5;0.0;0.8;4.3;8;82;93;99;4;12;348;-;-
Gorgo;2013;2;6;5.4;0.4;4;7.8;75;96;99;9;37;29;-;-
Gorgo;2013;2;7;0.2;-0.1;3.2;9.1;53;85;99;4;13;54;-;-
Gorgo;2013;2;8;0.0;-0.9;3;8.4;37;67;88;5;19;107;-;-
Gorgo;2013;2;9;0.0;-1.1;1.7;5.9;50;80;96;4;15;98;-;-
Gorgo;2013;2;10;0.0;-4.1;0.7;5.9;47;88;99;4;20;199;-;-
Gorgo;2013;2;11;38.6;-2.3;0.6;2.6;98;99;99;10;30;50;-;-
Gorgo;2013;2;12;20.0;0.4;3.3;8.7;73;94;99;7;26;47;-;-
Gorgo;2013;2;13;0.0;-0.5;4.1;7.7;61;79;98;7;33;29;-;-
Gorgo;2013;2;14;0.0;1;5.7;11;55;76;95;5;26;64;-;-
