stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Gradisca d'Is.;2014;1;1;0.0;1.0;6.5;12.5;56;90;99;5;16;55;4814;1016.2
Gradisca d'Is.;2014;1;2;5.2;0.8;5.7;8.8;85;97;99;6;17;67;1897;1014.6
Gradisca d'Is.;2014;1;3;0.2;6.9;8.3;9.9;98;99;99;4;13;66;1196;1016.6
Gradisca d'Is.;2014;1;4;49.8;7.5;10.2;14.4;98;99;99;10;46;167;384;1011.9
Gradisca d'Is.;2014;1;5;86.1;8.8;11.6;14.2;98;99;99;9;37;183;717;1003.9
Gradisca d'Is.;2014;1;6;0.0;6.8;10.3;15.5;73;95;99;4;15;54;4600;1015.6
Gradisca d'Is.;2014;1;7;0.0;7.8;10.1;12.8;95;98;99;4;14;220;3815;1020.6
Gradisca d'Is.;2014;1;8;0.0;5.9;8.6;10.7;-;-;-;3;12;221;1779;1022.9
Gradisca d'Is.;2014;1;9;0.0;6.4;7.8;8.9;-;-;-;3;10;218;931;1018.8
Gradisca d'Is.;2014;1;10;1.2;7.3;8.4;9.3;89;95;98;3;10;55;722;1016.2
Gradisca d'Is.;2014;1;11;0.0;6.8;8.3;9.4;90;96;99;3;13;245;827;1018.6
Gradisca d'Is.;2014;1;12;0.0;7.8;9.0;12.4;81;93;99;4;15;230;3225;1019.3
Gradisca d'Is.;2014;1;13;0.1;7.8;8.7;9.9;82;93;97;3;14;211;1348;1015.8
Gradisca d'Is.;2014;1;14;21.3;7.9;9.9;11.9;81;94;99;9;30;165;460;1004.5
Gradisca d'Is.;2014;1;15;0.0;6.0;8.9;12.3;74;92;99;4;14;209;4693;1008.0
Gradisca d'Is.;2014;1;16;1.0;5.4;7.4;9.5;79;89;97;5;12;69;2656;1012.3
Gradisca d'Is.;2014;1;17;39.9;7.2;10.0;11.9;86;95;99;8;26;163;566;1007.5
Gradisca d'Is.;2014;1;18;30.8;10.4;11.2;13.3;83;97;99;6;21;25;554;1006.0
Gradisca d'Is.;2014;1;19;6.5;11.0;13.3;15.6;77;88;97;11;36;137;2067;999.6
