stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Grado-mare;2009;5;22;0;21.3;-;23.4;-;-;-;-;-;-;-;-
Grado-mare;2009;5;23;0;20;-;23.6;-;-;-;-;-;-;-;-
Grado-mare;2009;5;24;0;21.5;-;24.2;-;-;-;-;-;-;-;-
Grado-mare;2009;5;25;0;21.6;-;24.8;-;-;-;-;-;-;-;-
Grado-mare;2009;5;26;0;22.9;-;25.3;-;-;-;-;-;-;-;-
Grado-mare;2009;5;27;15;17.2;-;21.5;-;-;-;-;-;-;-;-
Grado-mare;2009;5;28;0;18.1;-;21;-;-;-;-;-;-;-;-
Grado-mare;2009;6;1;0;13.5;-;18.3;-;-;-;-;-;-;-;-
Grado-mare;2009;6;2;0;16.7;-;20;-;-;-;-;-;-;-;-
Grado-mare;2009;6;3;0;18.7;-;20.6;-;-;-;-;-;-;-;-
Grado-mare;2009;6;4;0;17.1;-;20.1;-;-;-;-;-;-;-;-
Grado-mare;2009;6;5;0;18.6;-;20.6;-;-;-;-;-;-;-;-
Grado-mare;2009;7;15;0;22;-;25.7;-;-;-;-;-;-;-;-
Grado-mare;2009;7;16;0;23.1;-;28;-;-;-;-;-;-;-;-
Grado-mare;2009;7;17;0;25.8;-;27.7;-;-;-;-;-;-;-;-
Grado-mare;2009;7;18;2.6;18.2;-;22.4;-;-;-;-;-;-;-;-
Grado-mare;2009;7;19;0;16;-;21.8;-;-;-;-;-;-;-;-
Grado-mare;2009;7;20;0;18.7;-;23.6;-;-;-;-;-;-;-;-
Grado-mare;2009;7;21;0;19;-;24.4;-;-;-;-;-;-;-;-
Grado-mare;2009;7;22;0;0;-;25;-;-;-;-;-;-;-;-
Grado-mare;2009;7;23;0;23.4;-;26.6;-;-;-;-;-;-;-;-
Grado-mare;2009;7;24;0;25;-;26.7;-;-;-;-;-;-;-;-
Grado-mare;2009;7;25;0;20.4;-;25.1;-;-;-;-;-;-;-;-
Grado-mare;2009;7;26;0;22.4;-;24.8;-;-;-;-;-;-;-;-
Grado-mare;2009;7;27;0;20.1;-;24.2;-;-;-;-;-;-;-;-
Grado-mare;2009;7;28;0;21.6;-;25.6;-;-;-;-;-;-;-;-
Grado-mare;2009;7;29;0;23.8;-;26.4;-;-;-;-;-;-;-;-
Grado-mare;2009;7;30;0;23.5;-;26.7;-;-;-;-;-;-;-;-
Grado-mare;2009;7;31;0;25.5;-;28.4;-;-;-;-;-;-;-;-
Grado-mare;2009;8;1;0;23.8;-;26.7;-;-;-;-;-;-;-;-
Grado-mare;2009;8;2;0;23.6;-;26.6;-;-;-;-;-;-;-;-
Grado-mare;2009;8;3;17;17;-;24.5;-;-;-;-;-;-;-;-
Grado-mare;2009;8;4;0;19.8;-;23.1;-;-;-;-;-;-;-;-
Grado-mare;2009;8;5;0;21.2;-;25;-;-;-;-;-;-;-;-
Grado-mare;2009;8;6;0;21.8;-;25.8;-;-;-;-;-;-;-;-
Grado-mare;2009;8;7;0;23.7;-;26.8;-;-;-;-;-;-;-;-
Grado-mare;2009;8;8;0;24.2;-;26.9;-;-;-;-;-;-;-;-
Grado-mare;2009;8;9;0;25.4;-;26.8;-;-;-;-;-;-;-;-
Grado-mare;2009;8;10;1.6;20.7;-;24.9;-;-;-;-;-;-;-;-
Grado-mare;2009;8;11;5.8;20.2;-;24.3;-;-;-;-;-;-;-;-
Grado-mare;2009;8;12;0;21.9;-;25.3;-;-;-;-;-;-;-;-
Grado-mare;2009;8;13;0;23.2;-;25.8;-;-;-;-;-;-;-;-
Grado-mare;2009;8;14;0;22.7;-;25.1;-;-;-;-;-;-;-;-
Grado-mare;2009;8;15;0;21.8;-;25.4;-;-;-;-;-;-;-;-
Grado-mare;2009;8;16;0;21.6;-;25.8;-;-;-;-;-;-;-;-
Grado-mare;2009;8;17;0;22.9;-;26.5;-;-;-;-;-;-;-;-
Grado-mare;2009;8;18;0;22.6;-;26.7;-;-;-;-;-;-;-;-
Grado-mare;2009;8;19;0;26.1;-;27.9;-;-;-;-;-;-;-;-
Grado-mare;2009;8;20;0;24.6;-;27.5;-;-;-;-;-;-;-;-
Grado-mare;2009;8;21;0;24.5;-;27.4;-;-;-;-;-;-;-;-
Grado-mare;2009;8;22;0;23.2;-;26.9;-;-;-;-;-;-;-;-
Grado-mare;2009;8;23;0;22.8;-;25.3;-;-;-;-;-;-;-;-
Grado-mare;2009;8;24;0;21.1;-;24.8;-;-;-;-;-;-;-;-
Grado-mare;2009;8;25;0;20.9;-;24.5;-;-;-;-;-;-;-;-
Grado-mare;2009;8;26;0;20.8;-;24.7;-;-;-;-;-;-;-;-
Grado-mare;2009;8;27;0;22.6;-;25.7;-;-;-;-;-;-;-;-
Grado-mare;2009;8;28;0;23;-;25.9;-;-;-;-;-;-;-;-
Grado-mare;2009;8;29;4.4;21.1;-;24.9;-;-;-;-;-;-;-;-
Grado-mare;2009;8;30;0.2;20.7;-;23;-;-;-;-;-;-;-;-
Grado-mare;2009;8;31;0;17.5;-;22.9;-;-;-;-;-;-;-;-
Grado-mare;2009;9;1;0;18.7;-;23.3;-;-;-;-;-;-;-;-
Grado-mare;2009;9;2;0;20.7;-;24.5;-;-;-;-;-;-;-;-
Grado-mare;2009;9;3;0;22.4;-;25.2;-;-;-;-;-;-;-;-
Grado-mare;2009;9;4;0;25.1;-;26.8;-;-;-;-;-;-;-;-
Grado-mare;2009;9;5;0;17.6;-;21.2;-;-;-;-;-;-;-;-
Grado-mare;2009;9;6;0;17.9;-;21.2;-;-;-;-;-;-;-;-
Grado-mare;2009;9;7;0;15.1;-;20.8;-;-;-;-;-;-;-;-
Grado-mare;2009;9;8;0;16.1;-;21.7;-;-;-;-;-;-;-;-
Grado-mare;2009;9;9;0;17.4;-;21.7;-;-;-;-;-;-;-;-
Grado-mare;2009;9;10;0;19.7;-;23.7;-;-;-;-;-;-;-;-
Grado-mare;2009;9;11;0;20.2;-;22.9;-;-;-;-;-;-;-;-
Grado-mare;2009;9;12;0;20.4;-;22.9;-;-;-;-;-;-;-;-
Grado-mare;2009;9;13;0;18.2;-;21.9;-;-;-;-;-;-;-;-
Grado-mare;2009;9;14;36.2;16.1;-;17.9;-;-;-;-;-;-;-;-
Grado-mare;2009;9;15;1.6;16.6;-;20.3;-;-;-;-;-;-;-;-
Grado-mare;2009;9;16;49.8;18.4;-;20.6;-;-;-;-;-;-;-;-
Grado-mare;2009;9;17;0.2;18.7;-;21;-;-;-;-;-;-;-;-
Grado-mare;2009;9;18;0;19.2;-;21.7;-;-;-;-;-;-;-;-
Grado-mare;2009;9;19;0;18.9;-;21.8;-;-;-;-;-;-;-;-
