stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Grado;2011;1;1;0.0;1.1;3.4;5.1;76;82;86;6;16;345;2861;1017.8
Grado;2011;1;2;0.0;2.9;4.6;7.2;64;76;87;9;32;53;2464;1014.0
Grado;2011;1;3;0.0;1.2;3.6;7.0;29;51;65;9;30;77;6637;1020.2
Grado;2011;1;4;0.0;-1.1;1.1;4.1;49;62;69;6;18;340;3788;1020.3
Grado;2011;1;5;0.0;-2.0;0.3;1.8;65;68;71;6;17;2;1834;1019.9
Grado;2011;1;7;3.8;0.5;2.4;5.6;67;86;97;5;15;329;1756;1021.6
Grado;2011;1;8;0.4;4.8;6.0;7.4;97;98;99;4;11;351;951;1021.5
Grado;2011;1;9;0.2;6.2;7.1;8.0;99;99;100;3;11;317;1516;1021.1
Grado;2011;1;11;19.4;7.2;8.4;10.0;99;100;100;6;19;231;2541;1015.5
Grado;2011;1;12;0.2;5.6;7.8;10.6;99;100;100;4;14;249;5814;1017.4
Grado;2011;1;13;0.2;5.1;5.9;6.4;99;100;100;3;13;248;1121;1017.4
Grado;2011;1;14;0.0;5.8;6.9;8.1;98;99;100;3;10;296;3626;1019.1
Grado;2011;1;15;0.6;5.0;6.7;8.1;96;97;98;5;17;230;2770;1023.1
Grado;2011;1;17;0.4;2.1;3.6;5.1;97;99;100;3;15;118;4433;1027.9
Grado;2011;1;18;0.0;0.6;1.5;2.3;99;100;100;3;10;221;2065;1024.4
Grado;2011;1;19;3.6;1.2;3.9;6.2;99;100;100;5;18;73;4180;1020.5
Grado;2011;1;20;0.0;4.2;5.7;7.5;53;70;100;14;36;72;5797;1018.3
Grado;2011;1;21;0.0;2.8;4.2;5.9;44;51;56;19;49;55;4314;1020.5
Grado;2011;1;22;0.0;1.7;3.0;4.8;38;47;55;21;55;78;7612;1019.2
Grado;2011;1;23;0.0;0.1;2.1;5.9;35;54;73;16;61;67;8236;1017.8
Grado;2011;1;24;0.0;-0.4;2.6;6.8;48;67;80;6;19;90;5959;1018.1
Grado;2011;1;25;0.0;0.6;2.3;4.8;72;79;90;6;14;105;1335;1015.3
Grado;2011;1;26;0.0;1.6;3.7;5.9;71;85;91;5;15;113;4082;1009.7
Grado;2011;1;27;0.0;2.6;5.2;10.0;66;80;94;7;29;41;6408;1012.0
Grado;2011;1;28;0.0;1.2;3.7;6.0;49;60;70;18;46;33;8346;1016.3
Grado;2011;1;29;0.0;1.1;2.7;5.1;50;59;63;17;40;72;4469;1018.2
Grado;2011;1;30;0.0;0.9;3.6;6.2;61;67;73;8;22;1;3071;1015.4
Grado;2011;1;31;0.0;1.3;3.8;7.4;48;64;75;13;38;63;9047;1018.4
Grado;2011;2;1;0.0;0.4;4.3;11.2;37;57;74;7;17;59;9075;1020.3
Grado;2011;2;2;0.0;1.3;5.6;11.4;27;45;55;15;35;88;9594;1020.8
Grado;2011;2;3;0.0;3.1;5.9;10.7;36;50;63;12;45;102;8469;1023.5
Grado;2011;2;4;0.0;2.0;7.2;14.3;30;55;69;6;14;351;9728;1026.5
Grado;2011;2;5;0.0;3.9;6.2;9.7;63;80;94;4;10;306;7367;1026.5
Grado;2011;2;6;0.0;1.2;4.6;9.2;79;94;99;4;17;250;9478;1026.2
Grado;2011;2;7;0.6;1.4;5.0;8.8;75;90;96;4;14;243;10144;1024.5
Grado;2011;2;8;0.0;0.4;2.6;4.6;94;97;100;5;17;334;7743;1020.3
Grado;2011;2;9;0.0;0.7;7.2;13.3;63;92;100;7;23;90;10600;1019.8
Grado;2011;2;10;0.0;4.3;7.2;11.1;47;78;96;6;13;243;10201;1020.9
Grado;2011;2;11;0.2;4.0;5.3;8.5;95;99;100;7;19;183;5068;1018.9
Grado;2011;2;12;0.0;5.1;6.8;7.9;97;99;100;5;17;235;3042;1016.3
Grado;2011;2;13;0.0;7.0;8.4;10.2;82;91;98;5;12;82;2504;1013.6
Grado;2011;2;14;0.0;6.6;7.7;9.4;94;96;98;4;11;63;5300;1010.3
Grado;2011;2;15;0.0;6.5;7.7;9.3;85;92;95;4;13;103;3322;1006.0
Grado;2011;2;16;24.6;6.4;8.1;9.6;89;94;97;11;39;79;2211;1001.8
Grado;2011;2;17;8.4;6.3;7.4;8.8;85;91;94;14;40;85;4945;1002.7
Grado;2011;2;18;0.0;5.8;9.5;16.3;52;75;93;11;48;100;11705;1005.8
Grado;2011;2;19;0.0;4.9;8.2;12.6;54;67;74;10;28;83;12269;1010.7
Grado;2011;2;20;0.0;5.2;7.5;10.6;57;69;78;9;26;75;7143;1011.4
Grado;2011;2;21;0.2;2.5;5.3;8.4;49;63;76;15;35;85;9504;1010.5
Grado;2011;2;22;0.0;1.5;3.6;6.7;46;56;65;17;41;72;10064;1010.6
Grado;2011;2;23;0.0;0.1;2.6;5.9;34;48;60;21;50;69;12397;1018.6
Grado;2011;2;24;0.0;-1.9;2.3;7.3;31;44;55;11;36;50;13079;1024.2
Grado;2011;2;25;0.0;0.1;3.8;8.2;26;42;52;12;46;92;13143;1023.3
Grado;2011;2;26;0.0;2.3;5.6;9.9;37;47;64;18;53;58;12936;1019.1
Grado;2011;2;27;2.6;3.0;5.5;9.1;47;65;84;10;35;39;7195;1013.8
Grado;2011;2;28;0.4;3.2;5.5;8.4;57;65;85;21;53;71;9276;1018.1
Grado;2011;3;1;0.0;3.5;5.4;7.9;40;55;71;27;66;76;12863;1021.3
Grado;2011;3;2;0.0;3.0;3.9;5.3;43;49;57;20;54;48;4189;1023.2
Grado;2011;3;3;0.4;2.7;3.8;5.3;55;61;71;15;38;55;3125;1025.3
Grado;2011;3;4;0.0;2.3;5.7;9.9;46;59;71;17;46;68;14947;1026.1
Grado;2011;3;5;0.0;2.2;7.3;13.4;38;57;73;9;29;74;14539;1017.6
Grado;2011;3;6;0.0;3.3;7.3;12.7;41;56;76;19;57;83;15042;1017.0
