stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Lauzacco;2010;1;1;0.8;6.0;7.0;8.6;99;99;99;3;12;29;-;-
Lauzacco;2010;1;2;33.2;1.5;4.5;7.2;49;90;99;8;29;332;-;-
Lauzacco;2010;1;3;0.0;-2.2;0.8;6.0;34;64;83;5;14;16;-;-
Lauzacco;2010;1;4;0.2;-3.4;-1.0;0.3;58;85;99;7;21;3;-;-
Lauzacco;2010;1;5;6.0;0.1;1.9;4.5;70;88;99;10;28;29;-;-
Lauzacco;2010;1;6;0.6;1.7;3.2;5.0;78;88;98;8;27;32;-;-
Lauzacco;2010;1;7;1.0;2.9;4.9;9.5;70;88;99;7;23;30;-;-
Lauzacco;2010;1;8;20.4;4.0;4.7;5.8;76;86;94;17;34;33;-;-
Lauzacco;2010;1;9;10.4;4.3;5.8;7.5;78;86;99;13;41;53;-;-
Lauzacco;2010;1;10;5.0;3.0;5.8;8.9;84;96;99;6;18;67;-;-
Lauzacco;2010;1;11;0.4;0.9;3.4;6.0;87;97;99;5;15;166;-;-
Lauzacco;2010;1;12;0.2;2.2;4.1;6.4;72;86;99;6;15;41;-;-
Lauzacco;2010;1;13;0.0;1.5;3.4;6.1;66;78;90;7;19;27;-;-
Lauzacco;2010;1;14;0.0;0.9;2.8;6.4;60;74;81;10;23;29;-;-
Lauzacco;2010;1;15;0.0;0.5;3.4;7.8;50;68;79;11;28;55;-;-
Lauzacco;2010;1;16;0.0;-0.5;2.6;6.9;41;61;81;10;30;77;-;-
Lauzacco;2010;1;17;0.0;-0.7;1.3;5.5;58;77;90;5;10;23;-;-
Lauzacco;2010;1;18;0.0;-2.1;1.9;9.0;53;82;94;5;14;16;-;-
Lauzacco;2010;1;19;0.0;-2.0;2.3;9.9;38;83;99;6;15;162;-;-
Lauzacco;2010;1;20;0.2;-3.9;0.7;8.2;53;87;99;4;13;237;-;-
Lauzacco;2010;1;21;0.0;-3.0;1.6;7.8;56;78;98;6;14;29;-;-
Lauzacco;2010;1;22;0.0;-1.2;1.2;4.8;50;67;78;6;17;139;-;-
Lauzacco;2010;1;23;0.0;-2.2;0.3;4.8;49;67;77;7;17;37;-;-
Lauzacco;2010;1;24;0.0;-3.0;-0.6;2.2;51;65;77;12;30;45;-;-
Lauzacco;2010;1;25;-;-;-;-;-;-;-;-;-;-;-;-
Lauzacco;2010;1;26;-;-;-;-;-;-;-;-;-;-;-;-
Lauzacco;2010;1;27;-;-;-;-;-;-;-;-;-;-;-;-
Lauzacco;2010;1;28;-;-;-;-;-;-;-;-;-;-;-;-
Lauzacco;2010;1;29;0.6;-;-;-;38;62;98;10;31;66;-;-
Lauzacco;2010;1;30;4.0;-;-;-;80;93;99;4;26;72;-;-
Lauzacco;2010;1;31;0.0;-;-;-;29;70;96;6;41;47;-;-
Lauzacco;2010;2;1;0.0;-;-;-;24;63;79;6;16;36;-;-
Lauzacco;2010;2;2;0.0;-;-;-;36;64;79;6;19;12;-;-
Lauzacco;2010;2;3;0.0;-;-;-;42;71;83;6;14;190;-;-
Lauzacco;2010;2;4;0.0;-;-;-;66;80;88;4;14;-;-;-
Lauzacco;2010;2;5;31.0;3.0;4.7;6.2;80;94;99;9;23;12;-;-
Lauzacco;2010;2;6;1.8;2.9;6.3;8.7;67;78;96;9;38;76;-;-
Lauzacco;2010;2;7;0.0;-0.3;3.4;9.4;52;77;99;7;28;119;-;-
Lauzacco;2010;2;8;0.0;-1.7;1.3;6.7;41;62;80;12;35;35;-;-
Lauzacco;2010;2;9;0.0;-2.4;0.9;3.9;60;71;83;8;21;41;-;-
Lauzacco;2010;2;10;4.2;0.7;3.4;5.6;55;74;88;14;42;87;-;-
Lauzacco;2010;2;11;0.0;2.2;3.4;4.8;59;65;73;13;32;24;-;-
Lauzacco;2010;2;12;0.0;-0.6;4.2;9.0;42;60;80;14;40;40;-;-
Lauzacco;2010;2;13;0.0;-0.6;2.9;8.2;54;75;91;6;22;248;-;-
Lauzacco;2010;2;14;0.0;-0.8;3.6;10.4;37;69;94;8;23;42;-;-
Lauzacco;2010;2;15;0.0;-1.5;2.5;7.1;41;61;78;8;27;52;-;-
Lauzacco;2010;2;16;0.0;0.5;4.9;9.8;48;65;76;6;18;2;-;-
Lauzacco;2010;2;17;0.4;4.2;7.9;12.4;60;76;94;6;17;110;-;-
Lauzacco;2010;2;18;6.8;6.3;7.6;9.7;91;99;99;6;18;113;-;-
Lauzacco;2010;2;19;85.2;6.5;7.9;9.9;99;99;99;10;28;17;-;-
Lauzacco;2010;2;20;36.4;2.4;5.6;9.8;85;96;99;11;32;44;-;-
Lauzacco;2010;2;21;0.0;1.1;3.9;7.9;66;86;97;5;13;25;-;-
Lauzacco;2010;2;22;1.2;2.5;4.6;7.3;84;96;99;5;12;6;-;-
Lauzacco;2010;2;23;0.2;3.5;7.4;11.5;75;91;99;4;13;21;-;-
Lauzacco;2010;2;24;0.0;4.1;8.8;14.1;60;89;100;4;18;242;-;-
Lauzacco;2010;2;25;0.2;1.2;6.0;11.4;83;98;99;5;17;198;-;-
Lauzacco;2010;2;26;32.6;5.9;8.4;11.3;83;97;99;9;41;150;-;-
Lauzacco;2010;2;27;0.2;1.5;7.3;13.3;50;88;99;5;16;195;-;-
Lauzacco;2010;2;28;3.2;5.9;8.5;11.5;81;94;99;5;14;34;-;-
Lauzacco;2010;3;1;0.2;4.0;7.9;12.7;66;94;99;3;14;171;-;-
Lauzacco;2010;3;2;0.2;3.4;8.7;15.4;43;84;99;5;20;204;-;-
Lauzacco;2010;3;3;4.6;2.5;6.7;10.3;55;78;99;9;28;59;-;-
Lauzacco;2010;3;4;0.2;4.1;7.3;10.5;50;63;94;15;42;76;-;-
Lauzacco;2010;3;5;0.0;-1.4;3.9;8.5;25;58;88;7;34;32;-;-
Lauzacco;2010;3;6;0.0;-3.4;1.0;6.4;31;64;81;8;25;206;-;-
Lauzacco;2010;3;7;0.0;-1.8;2.3;7.1;26;48;79;17;44;54;-;-
Lauzacco;2010;3;8;0.0;-1.2;1.8;5.6;11;24;41;22;51;72;-;-
Lauzacco;2010;3;9;0.0;0.4;2.9;4.7;25;32;37;27;66;31;-;-
Lauzacco;2010;3;10;0.0;0.4;2.6;4.3;27;52;92;34;75;44;-;-
