stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Lignano Sabbiadoro;2018;1;1;16.1;4.8;6.6;8;85;96;100;20;65;-;653;1011.4
Lignano Sabbiadoro;2018;1;2;0;4.7;6.3;8.1;90;96;100;7;27;-;4902;1012.6
Lignano Sabbiadoro;2018;1;3;0.1;3.2;5.8;8.2;88;97;100;13;35;-;4035;1009.9
Lignano Sabbiadoro;2018;1;4;0;3.2;6.3;8.8;87;96;99;12;26;-;3156;1008.1
Lignano Sabbiadoro;2018;1;5;0;5.8;8.1;10;92;96;100;6;22;-;1400;1009.4
Lignano Sabbiadoro;2018;1;6;0.1;7.5;9.8;12.3;100;100;100;5;16;-;2153;1013.5
Lignano Sabbiadoro;2018;1;7;0.6;9.6;11.3;13.6;100;100;100;11;20;-;2315;1020.6
Lignano Sabbiadoro;2018;1;8;0.7;10.5;11.6;13.7;94;98;100;17;27;-;2118;1023.8
Lignano Sabbiadoro;2018;1;9;20.2;9.7;12.2;14;80;96;100;23;71;-;1033;1019.3
Lignano Sabbiadoro;2018;1;10;0.6;7.3;9.2;11.9;91;98;100;11;42;-;4505;1014.5
Lignano Sabbiadoro;2018;1;11;0;4.9;8.4;10.8;67;87;100;20;51;-;6396;1013.1
Lignano Sabbiadoro;2018;1;12;0;6.1;9;11.7;52;71;84;18;39;-;7757;1019.8
Lignano Sabbiadoro;2018;1;13;0;6.6;8.6;11;57;73;86;25;60;-;8115;1021.5
Lignano Sabbiadoro;2018;1;14;0;4.7;6.4;8.4;60;72;77;23;42;-;6810;1022.2
Lignano Sabbiadoro;2018;1;15;0.1;3.5;5.6;7.7;55;70;78;13;33;-;8117;1022.6
Lignano Sabbiadoro;2018;1;16;1.2;3.3;4.5;5.7;75;93;97;9;28;-;1255;1009.6
Lignano Sabbiadoro;2018;1;17;0.1;4.2;6.2;9.1;43;85;100;12;36;-;4804;1003.3
Lignano Sabbiadoro;2018;1;18;0;1.5;5.9;9.6;49;70;88;9;23;-;8993;1013.6
Lignano Sabbiadoro;2018;1;19;0;3.6;6.9;9.4;67;86;94;9;28;-;3499;1009.6
Lignano Sabbiadoro;2018;1;20;2.4;4;6.6;9.1;72;82;93;11;39;-;4805;1011.5
Lignano Sabbiadoro;2018;1;21;0;4.4;7.6;11.2;23;70;93;16;59;-;9068;1007.7
Lignano Sabbiadoro;2018;1;22;0;3.4;6.5;8.9;37;67;83;10;26;-;8014;1015.9
