stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monfalcone;2016;1;1;0;-1.6;3.2;9;55;73;100;-;-;-;5684;1024.6
Monfalcone;2016;1;2;16.2;-1.6;3.8;6.2;92;99;100;4;42;40;1809;1016.4
Monfalcone;2016;1;3;4.6;0.7;2.8;4.6;69;81;100;15;64;63;3262;1007.1
Monfalcone;2016;1;4;9.6;0.3;2.3;4.8;74;95;100;3;18;60;1355;997.8
Monfalcone;2016;1;5;3.2;1.1;4.6;6.4;100;100;100;3;10;306;1653;998.8
Monfalcone;2016;1;6;0.2;1.3;5;8.3;100;100;100;3;23;111;1827;998.3
Monfalcone;2016;1;7;0;1.1;5.3;9.5;96;100;100;-;-;-;7062;1001.7
Monfalcone;2016;1;8;0.2;0;6.2;9.9;100;100;100;-;-;-;2133;1006.8
Monfalcone;2016;1;9;23.6;6.8;8;9.4;100;100;100;-;-;-;1124;1005.2
Monfalcone;2016;1;10;5.6;7.5;9;11.7;100;100;100;-;-;-;1785;1002.5
Monfalcone;2016;1;11;8;10.4;12.8;15.2;76;100;101;17;59;181;1472;995.7
Monfalcone;2016;1;12;0;4.4;8.4;11.7;85;98;100;-;-;-;8038;999.7
Monfalcone;2016;1;13;0.2;2.8;6.2;10.6;99;100;100;-;-;-;7554;1010.2
Monfalcone;2016;1;14;4.4;3;6.9;9.8;93;100;100;-;-;-;3715;1012.4
Monfalcone;2016;1;15;2.4;2;6.1;9.9;77;93;100;3;22;113;6468;1006.9
Monfalcone;2016;1;16;0;0.7;5;10.9;42;72;100;7;32;82;9630;1011.5
Monfalcone;2016;1;17;0;-2.1;2.5;6.9;51;68;97;3;25;55;9506;1013.7
Monfalcone;2016;1;18;0;-4.2;1.2;7.1;41;68;98;3;17;71;9953;1017.7
Monfalcone;2016;1;19;0;-1.3;1.6;6.7;44;66;81;3;12;301;9952;1015.9
Monfalcone;2016;1;20;0;-1.2;2.2;6.7;59;77;100;3;9;193;9159;1016.5
Monfalcone;2016;1;21;0;0.2;4.5;9.8;52;72;98;5;35;74;10009;1021.7
Monfalcone;2016;1;22;0;1.3;4.4;9;51;61;71;4;23;83;7790;1030
Monfalcone;2016;1;23;0;-1;3.2;8.9;62;80;100;-;-;-;4894;1031
Monfalcone;2016;1;24;0;-2.2;2;7.7;85;98;100;-;-;-;6974;1032.9
Monfalcone;2016;1;25;0.2;-1.4;2.9;8;89;99;100;-;-;-;8863;1029.9
Monfalcone;2016;1;26;0;-0.3;3.4;8.2;98;100;100;-;-;-;8322;1028
Monfalcone;2016;1;27;0.2;0.7;6.4;10.8;100;100;100;-;-;-;5909;1027.6
Monfalcone;2016;1;28;0;4.4;7.9;9.7;100;100;100;-;-;-;2023;1026.8
Monfalcone;2016;1;29;0;1.9;6.7;10.4;100;100;100;-;-;-;7631;1029.1
Monfalcone;2016;1;30;0.4;4.2;7.3;9;100;100;100;-;-;-;1295;1024.4
Monfalcone;2016;1;31;0;4.8;9;11;100;100;100;-;-;-;2019;1014.3
Monfalcone;2016;2;1;0.4;4.7;8.2;11;100;100;100;-;-;-;3127;1021.3
Monfalcone;2016;2;2;2.4;6.6;8.4;9.3;100;100;100;-;-;-;1581;1023.8
Monfalcone;2016;2;3;48;5.5;8;9.5;100;100;100;-;-;-;1128;1014.4
Monfalcone;2016;2;4;1;2.4;6.1;10.6;80;97;100;4;17;319;11115;1020.2
Monfalcone;2016;2;5;0;3;6.8;13.4;56;86;100;3;15;237;12402;1025
Monfalcone;2016;2;6;0;1.9;7.8;13.4;68;92;100;5;19;170;11265;1026.7
Monfalcone;2016;2;7;11.2;7.8;9.8;11;100;100;100;11;25;99;1812;1016.7
Monfalcone;2016;2;8;26;8.7;10.3;11.8;100;100;100;-;-;-;1292;1013.5
