stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Lussari;2006;1;1;9.2;-5.8;-3.4;-0.8;89;92;95;-;-;-;655;809.5
Monte Lussari;2006;1;2;4.4;-7.7;-6.4;-5.3;88;90;91;-;-;-;1040;812.4
Monte Lussari;2006;1;3;0;-8.2;-7.4;-6.6;69;81;89;-;-;-;3896;821.9
Monte Lussari;2006;1;4;0;-9.8;-8.5;-7.5;74;82;87;-;-;-;2246;823.5
Monte Lussari;2006;1;5;0.4;-10;-8.7;-7.5;85;86;86;-;-;-;633;818.5
Monte Lussari;2006;1;6;0;-8.7;-6.9;-5.7;85;87;88;-;-;-;507;821.3
Monte Lussari;2006;1;7;0;-8.4;-6.3;-4.8;85;87;88;-;-;-;443;825.7
Monte Lussari;2006;1;8;0;-11.3;-9.7;-7.7;83;84;86;-;-;-;424;828.0
Monte Lussari;2006;1;9;0;-11.6;-9.3;-0.2;83;85;89;-;-;-;1753;829.5
Monte Lussari;2006;1;10;0;-10.4;-6.3;-2.7;73;85;90;-;-;-;7107;831.1
Monte Lussari;2006;1;11;0;-5.5;-3.4;2.7;33;61;77;-;-;-;7112;829.5
Monte Lussari;2006;1;12;0;-7.5;-4.6;-2.5;23;41;70;-;-;-;7025;831.7
Monte Lussari;2006;1;13;0;-7.5;-5.2;-3.6;13;35;65;-;-;-;7145;833.4
Monte Lussari;2006;1;14;0;-10.6;-5.4;-2.8;10;29;62;-;-;-;7129;831.0
Monte Lussari;2006;1;15;0;-11.3;-9.3;-7.2;41;51;61;-;-;-;7277;829.1
Monte Lussari;2006;1;16;0;-11.2;-8.8;-6.2;46;63;80;-;-;-;6854;824.7
Monte Lussari;2006;1;17;0;-11.4;-8.5;-5.5;70;80;89;-;-;-;3834;818.6
Monte Lussari;2006;1;18;0;-7.7;-4.6;-0.9;37;69;89;-;-;-;5241;810.8
Monte Lussari;2006;1;19;0;-6.9;-4.4;-2.1;25;34;42;-;-;-;7585;822.4
Monte Lussari;2006;1;20;0;-5.6;-0.9;3.7;8;26;53;-;-;-;7259;824.9
Monte Lussari;2006;1;21;0;-6.5;-2.7;0.7;34;52;79;-;-;-;6630;821.7
Monte Lussari;2006;1;22;0;-11.7;-6.6;-4.7;45;59;73;-;-;-;3853;824.0
Monte Lussari;2006;1;23;0;-15.8;-12.5;-10;38;47;71;-;-;-;7811;828.8
Monte Lussari;2006;1;24;0;-15.6;-13;-10.1;8;31;50;-;-;-;8234;831.2
Monte Lussari;2006;1;25;0;-10.6;-8.1;-4.9;8;13;24;-;-;-;7634;821.4
Monte Lussari;2006;1;26;0;-13.4;-11.5;-9.3;8;43;87;-;-;-;5894;818.4
Monte Lussari;2006;1;27;0;-12.7;-7.8;-4.3;74;85;93;-;-;-;4472;825.4
Monte Lussari;2006;1;28;1;-4.9;-2.6;-1.1;82;90;95;-;-;-;2371;828.0
Monte Lussari;2006;1;29;0;-2.3;-1.3;0.4;77;88;94;-;-;-;5551;827.8
Monte Lussari;2006;1;30;0;-1.9;1;3.2;40;64;91;-;-;-;7940;826.5
Monte Lussari;2006;1;31;0;2.4;4.8;7.2;8;13;43;-;-;-;7939;824.7
Monte Lussari;2006;2;1;0;0.5;3.5;5.6;8;15;33;-;-;-;8840;824.2
Monte Lussari;2006;2;2;0;-0.1;2;5.7;8;14;31;-;-;-;9118;819.9
Monte Lussari;2006;2;3;0;-2.9;-0.3;2.8;14;29;45;-;-;-;8852;816.4
Monte Lussari;2006;2;4;0;-12.6;-4.5;0.2;16;40;83;-;-;-;9470;816.3
Monte Lussari;2006;2;5;0;-14;-12;-10.1;15;50;81;-;-;-;9255;821.5
Monte Lussari;2006;2;6;0;-14.6;-11.8;-8.8;36;55;79;-;-;-;9018;820.9
Monte Lussari;2006;2;7;0;-9.3;-4.9;-1.8;35;47;59;-;-;-;7825;817.9
Monte Lussari;2006;2;8;0.6;-7.8;-3.6;-0.1;41;55;84;-;-;-;4363;806.3
Monte Lussari;2006;2;9;0;-8.5;-6.2;-3.3;25;44;78;14;43;335;9088;802.5
Monte Lussari;2006;2;10;0;-9;-7.5;-4;16;31;65;23;41;308;5688;805.3
Monte Lussari;2006;2;11;0;-11.3;-9.4;-6.7;32;45;72;16;37;66;10160;811.8
Monte Lussari;2006;2;12;0;-10.7;-8.4;-5.6;22;42;68;6;27;249;11332;813.3
Monte Lussari;2006;2;13;0;-8.7;-6.3;-3.3;9;25;51;6;19;268;9737;811.4
Monte Lussari;2006;2;14;0;-5.9;-3.8;-1.3;20;29;39;6;19;255;11667;812.1
Monte Lussari;2006;2;15;0.2;-7.5;-4.4;-0.4;29;62;90;13;40;302;8216;808.0
Monte Lussari;2006;2;16;0.2;-4.5;-2.8;-1.6;90;93;95;9;32;253;2189;800.4
Monte Lussari;2006;2;17;3.8;-4.8;-2.8;-0.3;91;93;95;8;45;82;9338;797.8
Monte Lussari;2006;2;18;15.2;-5.5;-3.1;-1.9;80;90;94;10;41;267;3672;804.4
Monte Lussari;2006;2;19;1.2;-4.7;-2.9;-0.7;87;91;93;9;58;189;8202;808.5
Monte Lussari;2006;2;20;18;-3.8;-2.4;-0.1;88;93;96;7;50;187;1065;807.0
Monte Lussari;2006;2;21;0;-4.8;-3.4;-0.7;89;92;94;7;23;73;3745;810.3
Monte Lussari;2006;2;22;0.6;-4.9;-3.2;-0.6;92;93;96;7;19;73;4796;814.6
Monte Lussari;2006;2;23;0;-8.8;-5.9;-3.3;87;90;92;10;31;70;3908;810.9
Monte Lussari;2006;2;24;2;-9;-7.6;-5.9;87;88;90;14;30;80;994;814.2
Monte Lussari;2006;2;25;0;-8.6;-7.4;-5.4;88;89;90;7;21;57;3066;811.5
Monte Lussari;2006;2;26;1.4;-8.3;-5.3;-1;88;91;95;-;-;-;6373;810.9
Monte Lussari;2006;2;27;0.2;-13.8;-9.6;-4.4;83;86;89;-;-;-;6822;813.8
Monte Lussari;2006;2;28;0;-15.9;-11.8;-4.3;82;84;86;-;-;-;7545;810.2
Monte Lussari;2006;3;1;0;-12.6;-10;-4.2;84;87;93;-;-;-;15539;807.7
Monte Lussari;2006;3;2;0;-12.9;-10.8;-5.8;84;85;90;-;-;-;7912;808.6
Monte Lussari;2006;3;3;0.2;-11.3;-7.4;-2.1;85;88;91;-;60;214;7750;809.3
Monte Lussari;2006;3;4;1.6;-3.6;-0.9;1.5;80;90;94;27;92;215;3625;803.2
Monte Lussari;2006;3;5;24.8;-11.8;-5.3;1.4;85;91;98;23;68;83;1061;803.7
Monte Lussari;2006;3;6;0;-12.4;-10.8;-8.9;67;76;85;23;43;83;14779;811.6
Monte Lussari;2006;3;7;0;-11.7;-10.3;-7.9;54;61;73;15;35;51;12276;814.5
Monte Lussari;2006;3;8;0;-12.4;-9.4;-6;34;62;85;9;33;252;15920;814.7
Monte Lussari;2006;3;9;0;-9.4;-6.5;-3.6;85;88;91;15;33;250;6854;810.0
Monte Lussari;2006;3;10;5.4;-7.2;-4.7;-2.3;88;90;92;13;39;87;2674;808.2
Monte Lussari;2006;3;11;0;-8.2;-6.2;-4.6;82;88;90;10;26;81;15352;807.0
Monte Lussari;2006;3;12;0;-14.8;-11.4;-5.6;41;69;86;30;61;37;11531;813.3
Monte Lussari;2006;3;13;0;-14;-9.1;-6.2;24;41;71;30;49;60;15626;818.2
Monte Lussari;2006;3;14;1.6;-11;-7.7;-5.8;38;82;88;15;31;49;7579;817.9
