stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Matajur;2017;1;1;-;-1.9;0.5;3.1;14;20;30;13;24;275;7252;840.4
Monte Matajur;2017;1;2;-;-5.0;-3.3;-0.6;13;59;100;18;37;230;7295;835.5
Monte Matajur;2017;1;3;-;-7.3;-4.9;-1.9;32;54;91;12;37;337;7330;836.8
Monte Matajur;2017;1;4;-;-6.8;-3.7;1.2;30;49;86;22;50;279;6445;829.1
Monte Matajur;2017;1;5;-;-13.0;-9.3;-5.2;29;40;64;31;-;332;7144;830.0
Monte Matajur;2017;1;6;-;-15.2;-13.8;-10.9;21;30;51;22;92;342;7725;839.0
Monte Matajur;2017;1;7;-;-15.5;-13;-9.1;16;30;49;14;46;319;7519;840.5
Monte Matajur;2017;1;8;-;-11.8;-6.3;-2.4;15;46;59;22;82;335;6619;837.0
Monte Matajur;2017;1;9;-;-9.6;-5.4;-1.3;28;44;69;19;54;313;6519;836.3
Monte Matajur;2017;1;10;-;-13.7;-10.4;-5.9;35;73;94;13;39;79;7917;830.0
Monte Matajur;2017;1;11;-;-13.3;-9.8;-5.7;31;51;91;18;50;283;7786;832.0
Monte Matajur;2017;1;12;-;-12.2;-8.3;-3.9;-;93;99;-;34;266;1205;833.0
Monte Matajur;2017;1;13;-;-9.7;-4.8;-1.0;77;97;100;-;-;-;1716;819.2
Monte Matajur;2017;1;14;-;-9.7;-7.7;-5.6;32;54;90;-;-;-;7711;826.6
Monte Matajur;2017;1;15;-;-10.8;-8.7;-6.9;34;50;66;-;-;-;6288;833.4
Monte Matajur;2017;1;16;-;-12.0;-10.7;-8.8;46;59;72;-;-;-;8445;831.3
Monte Matajur;2017;1;17;-;-11.6;-9.9;-7.4;51;67;73;-;69;336;3048;835.0
Monte Matajur;2017;1;18;-;-9.6;-7.6;-5.4;67;73;82;38;80;73;7744;840.2
Monte Matajur;2017;1;19;-;-9.3;-7.1;-4.2;57;72;81;22;74;69;8503;844.6
Monte Matajur;2017;1;20;-;-6.2;-4.2;-2.6;50;57;68;31;62;72;8780;846.1
Monte Matajur;2017;1;21;-;-4.9;-2.4;-0.2;33;48;63;20;42;87;8970;845.1
Monte Matajur;2017;1;22;-;-4.0;-2.2;0.0;19;45;65;26;55;113;9039;843.6
Monte Matajur;2017;1;23;-;-2.5;-1.3;0.2;31;58;74;13;29;316;6130;839.3
Monte Matajur;2017;1;24;-;-5.6;-1.6;3.4;22;45;69;12;46;53;9320;836.1
Monte Matajur;2017;1;25;-;-4.6;-0.6;3.1;18;33;63;19;63;77;9443;839.1
