stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Monte Zoncolan;2009;1;1;0.1;-5.9;-3.2;-0.7;52;67;95;13;46;15;4854;825.7
Monte Zoncolan;2009;1;2;0.0;-11.1;-4.1;1.2;43;57;86;12;48;57;6531;822.5
Monte Zoncolan;2009;1;3;0.0;-13.2;-9.4;-4.3;11;54;88;23;62;56;8392;823.0
Monte Zoncolan;2009;1;4;0.0;-6.5;-4.5;0.4;11;20;33;6;21;303;6324;819.1
Monte Zoncolan;2009;1;5;0.0;-9.1;-6.7;-2.9;22;34;47;7;24;63;4078;816.8
Monte Zoncolan;2009;1;6;0.0;-11.4;-9.4;-7;47;57;74;14;37;54;3259;819.5
Monte Zoncolan;2009;1;7;0.0;-8;-5.6;-3.2;54;70;81;10;21;202;4721;820.1
Monte Zoncolan;2009;1;8;0.0;-11.4;-7.8;-3.4;11;53;75;25;46;59;6899;826.1
Monte Zoncolan;2009;1;9;0.0;-6.2;-2.4;0.8;11;20;34;5;25;19;7007;828.8
Monte Zoncolan;2009;1;10;0.0;-2.9;-1.4;-0.3;11;13;19;14;28;64;7076;829.9
Monte Zoncolan;2009;1;11;0.0;-1.6;0.4;2;11;15;23;10;29;70;6866;832.9
Monte Zoncolan;2009;1;12;0.0;-1.9;0.1;5.7;13;23;37;8;20;74;7069;831.4
Monte Zoncolan;2009;1;13;0.0;-2.5;-0.4;5;12;29;46;5;18;97;6637;824.4
Monte Zoncolan;2009;1;14;5.0;-4.7;-3.2;-1.9;43;91;98;27;43;45;2323;817.0
Monte Zoncolan;2009;1;15;0.5;-4.7;-3.9;-1.7;96;96;98;9;23;43;2789;822.7
Monte Zoncolan;2009;1;16;0.0;-4.8;-2.1;0;84;95;99;6;15;224;9774;826.0
Monte Zoncolan;2009;1;17;0.0;-4.4;-1.9;0.9;81;88;95;3;12;180;6606;825.1
Monte Zoncolan;2009;1;18;0.2;-8.3;-4.8;-3.3;87;95;97;10;24;199;2058;820.4
Monte Zoncolan;2009;1;19;1.7;-4.9;-3.4;-1;80;94;100;11;42;209;4859;815.7
Monte Zoncolan;2009;1;20;102.5;-1.6;-1;0.2;99;99;100;23;58;180;2621;809.5
Monte Zoncolan;2009;1;21;13.0;-2;-0.8;0;99;99;99;-;39;148;2657;810.8
Monte Zoncolan;2009;1;22;0.0;-4.8;-3.2;-1.1;97;99;100;-;-;-;3607;812.2
Monte Zoncolan;2009;1;23;1.5;-6.3;-4.9;-2.2;54;89;98;8;26;181;4383;802.3
Monte Zoncolan;2009;1;24;0.0;-6.9;-5;-3.4;78;89;95;12;42;24;4196;799.4
Monte Zoncolan;2009;1;25;0.0;-7.4;-5.6;-4;60;72;83;21;66;35;7000;806.1
Monte Zoncolan;2009;1;26;0.0;-6.8;-4.8;-1.4;61;73;84;8;25;59;6982;809.1
Monte Zoncolan;2009;1;27;5.6;-5.9;-4.6;-3.4;69;92;97;31;57;26;2179;811.0
Monte Zoncolan;2009;1;28;1.1;-5.6;-4.2;-2.6;55;68;85;21;61;23;5716;814.9
Monte Zoncolan;2009;1;29;0.0;-4.9;-2.4;0.2;59;70;93;15;36;55;7343;817.9
Monte Zoncolan;2009;1;30;0.0;-5.1;-2.6;4.8;50;73;92;11;36;50;7343;821.0
Monte Zoncolan;2009;1;31;0.3;-10.8;-8.6;-4.2;80;89;95;12;26;68;3012;817.5
Monte Zoncolan;2009;2;1;4.9;-11.5;-9;-5.7;86;90;94;5;13;78;2753;814.3
Monte Zoncolan;2009;2;2;39.2;-5.7;-3.3;-2.3;93;96;98;12;34;115;2380;815.2
Monte Zoncolan;2009;2;3;27.4;-3.9;-1.4;0;97;99;100;13;36;195;4049;810.8
Monte Zoncolan;2009;2;4;0.0;-2;-0.6;4.1;98;99;100;12;29;202;10391;808.5
