stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Muggia;2008;1;1;-;-;-;-;-;-;-;-;47;89;-;-
Muggia;2008;1;3;-;-;-;-;-;-;-;-;38;92;-;-
Muggia;2008;1;22;-;-;-;-;-;-;-;-;-;-;-;-
Muggia;2008;2;3;-;-;-;-;-;-;-;-;64;93;-;-
Muggia;2008;2;4;-;-;-;-;-;-;-;-;-;-;-;-
Muggia;2008;2;5;-;-;-;-;-;-;-;-;-;-;-;-
Muggia;2008;2;23;-;-;-;-;-;-;-;-;20;317;-;-
Muggia;2008;2;24;-;-;-;-;-;-;-;-;24;283;-;-
Muggia;2008;3;1;-;-;-;-;-;-;-;-;38;228;-;-
Muggia;2008;3;3;-;-;-;-;-;-;-;-;39;140;-;-
Muggia;2008;3;9;-;-;-;-;-;-;-;-;18;119;-;-
Muggia;2008;3;10;-;-;-;-;-;-;-;-;34;162;-;-
Muggia;2008;3;13;-;-;-;-;-;-;-;-;29;277;-;-
Muggia;2008;3;16;-;-;-;-;-;-;-;-;40;178;-;-
Muggia;2008;3;20;-;-;-;-;-;-;-;-;48;75;-;-
Muggia;2008;4;14;-;-;-;-;-;-;-;-;21;290;-;-
Muggia;2008;4;23;-;-;-;-;-;-;-;-;35;117;-;-
Muggia;2008;4;29;-;-;-;-;-;-;-;-;42;252;-;-
Muggia;2008;5;15;-;-;-;-;-;-;-;-;-;-;-;-
Muggia;2008;6;4;-;-;-;-;-;-;-;-;-;123;-;-
Muggia;2008;6;5;1.4;17.8;19.5;21.6;74;82;87;10;26;245;40584;1008.8
Muggia;2008;6;6;4.4;16.9;19.6;21.7;70;79;87;10;32;90;50076;1009.3
Muggia;2008;6;11;-;-;-;-;-;-;-;-;-;327;-;-
Muggia;2008;7;23;-;-;-;-;-;-;-;-;-;-;-;1015.4
Muggia;2008;8;1;0.0;24.8;27.2;30.6;53;61;69;13;32;-;26952;1015.2
Muggia;2008;8;2;0.0;23.8;26.7;29.9;52;66;74;10;32;-;25668;1015.7
Muggia;2008;8;3;0.0;23.9;26.8;29.9;48;64;70;12;31;-;27108;1015.0
Muggia;2008;8;4;0.0;23.0;26.7;29.6;53;66;77;12;29;-;24178;1012.1
Muggia;2008;8;5;0.0;24.6;27.3;29.9;47;64;78;17;60;-;25254;1011.7
Muggia;2008;8;6;0.0;24.1;26.8;30.1;44;52;63;26;53;-;25668;1013.6
Muggia;2008;8;7;0.0;22.7;25.9;29.1;40;58;73;15;40;-;26202;1011.1
Muggia;2008;8;8;10.4;17.8;24.8;28.2;49;64;87;18;97;-;17058;1006.7
Muggia;2008;8;9;0.0;19.4;24.0;27.1;35;52;73;21;64;-;27103;1010.7
Muggia;2008;8;10;0.0;19.9;23.6;26.9;41;56;74;14;38;-;26592;1012.9
Muggia;2008;8;11;0.0;19.6;23.9;27.2;56;63;75;12;27;-;26873;1009.5
Muggia;2008;8;12;0.0;21.1;25.7;29.3;42;54;64;13;41;-;25470;1008.8
Muggia;2008;8;13;8.0;22.2;26.2;29.2;46;63;82;14;38;-;24735;1011.8
Muggia;2008;8;14;0.0;22.0;25.8;28.8;55;68;83;12;37;-;24890;1012.1
Muggia;2008;8;15;14.0;18.4;24.8;29.8;49;65;88;14;59;-;11355;1003.8
Muggia;2008;8;16;5.6;17.2;21.2;24.8;40;60;87;21;52;-;23841;1006.6
Muggia;2008;8;17;0.0;18.8;21.6;24.9;50;61;69;14;37;-;18219;1011.7
Muggia;2008;8;18;0.0;18.3;22.2;26.1;48;60;72;12;30;-;26071;1016.7
Muggia;2008;8;19;0.0;19.0;23.1;26.8;54;64;76;12;31;-;25117;1015.1
Muggia;2008;8;20;0.0;20.3;24.4;27.9;57;67;75;12;29;-;23102;1013.7
Muggia;2008;8;21;0.0;22.8;26.1;30.7;42;57;67;21;45;-;24826;1016.0
Muggia;2008;8;22;0.0;21.4;25.1;27.9;55;63;70;12;29;-;24849;1013.1
Muggia;2008;8;23;22.4;17.4;23.9;27.8;50;63;86;17;78;-;14427;1007.9
Muggia;2008;8;24;13.6;16.4;21.3;24.5;42;56;92;26;99;-;25608;1011.9
Muggia;2008;8;25;0.0;18.8;22.6;26.2;40;50;61;23;48;-;22824;1015.6
Muggia;2008;8;26;0.0;20.3;24.3;27.4;33;44;55;21;51;-;24558;1019.6
Muggia;2008;8;27;0.0;21.5;24.5;27.7;40;50;61;18;46;-;23908;1018.6
Muggia;2008;8;28;0.0;21.8;25.2;28.7;41;52;63;19;41;-;23132;1015.6
Muggia;2008;8;29;0.0;21.3;24.2;29.1;44;61;70;11;27;-;21889;1014.9
Muggia;2008;8;30;0.0;21.6;24.3;28.1;45;58;71;21;45;-;14176;1015.9
Muggia;2008;8;31;0.0;21.6;23.5;26.4;47;58;73;17;41;-;19092;1017.1
Muggia;2008;9;1;-;-;-;-;-;-;-;-;-;-;-;1015.7
Muggia;2008;9;3;-;-;-;-;-;-;-;-;-;-;-;1012.0
Muggia;2008;9;5;-;-;-;-;-;-;-;-;40;340;-;-
Muggia;2008;9;9;-;-;-;-;-;-;-;-;-;-;-;1018.0
Muggia;2008;9;23;-;-;-;-;-;-;-;-;43;66;-;-
Muggia;2008;10;28;-;-;-;-;-;-;-;-;-;-;-;-
Muggia;2008;11;3;-;-;-;-;-;-;-;-;23;118;-;-
Muggia;2008;11;5;-;-;-;-;-;-;-;-;33;99;-;-
Muggia;2008;11;10;-;-;-;-;-;-;-;-;-;109;-;-
Muggia;2008;11;11;-;-;-;-;-;-;-;9;24;108;-;-
Muggia;2008;11;24;-;-;-;-;-;-;-;-;39;267;-;-
Muggia;2008;11;29;-;-;-;-;-;-;-;-;-;99;-;-
Muggia;2008;12;17;-;-;-;-;-;-;-;-;45;90;-;-
Muggia;2008;12;19;-;-;-;-;-;-;-;-;41;71;-;-
Muggia;2008;12;20;-;-;-;-;-;-;-;-;33;108;-;-
Muggia;2008;12;23;-;-;-;-;-;-;-;-;21;114;-;-
Muggia;2008;12;25;-;-;-;-;-;-;-;-;-;93;-;-
Muggia;2008;12;30;-;-;-;-;-;-;-;-;-;-;-;1032.1
