stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Musi;2013;1;1;0.2;-0.7;2.4;7.7;53;81;99;-;-;-;3438;-
Musi;2013;1;2;5;1.7;3.6;5.1;80;97;99;-;-;-;1346;-
Musi;2013;1;3;0;0.9;3.4;7.5;71;93;99;-;-;-;3004;-
Musi;2013;1;4;0;1.1;5.4;11.6;65;85;99;-;-;-;2999;-
Musi;2013;1;5;0;4.2;10.7;16.8;26;49;82;-;-;-;3638;-
Musi;2013;1;6;0;3.6;7.1;13.2;30;66;96;-;-;-;3362;-
Musi;2013;1;7;0;0;4.9;11.9;42;72;99;-;-;-;3485;-
Musi;2013;1;8;0;-0.5;3;6.1;79;92;99;-;-;-;1531;-
Musi;2013;1;9;0;1.4;4.5;7.3;74;87;97;-;-;-;3722;-
Musi;2013;1;10;0;0.7;3.3;5.6;85;97;99;-;-;-;1910;-
Musi;2013;1;11;0;-0.6;2.1;6.7;45;83;99;-;-;-;3509;-
Musi;2013;1;12;0;-2.3;0.6;3.8;68;82;91;-;-;-;2313;-
Musi;2013;1;13;4.2;0.3;1.1;2.3;81;94;99;-;-;-;531;-
Musi;2013;1;14;19;-1.4;0;1.1;88;97;99;-;-;-;596;-
Musi;2013;1;15;18.4;-0.5;0.8;2.7;97;99;99;-;-;-;464;-
Musi;2013;1;16;2.4;-0.7;0.7;2.5;75;94;99;-;-;-;1020;-
Musi;2013;1;17;0.2;-1.1;1;3.4;49;67;99;-;-;-;4995;-
Musi;2013;1;18;0;-3.5;0.7;5.1;46;66;92;-;-;-;3589;-
Musi;2013;1;19;3;-4.3;-0.3;3.5;63;87;99;-;-;-;2962;-
Musi;2013;1;20;69.6;0.6;3.7;8;99;99;99;-;-;-;523;-
Musi;2013;1;21;22;2.7;4.2;6;99;99;99;-;-;-;1732;-
Musi;2013;1;22;16.4;0.5;2.1;4.1;99;99;99;-;-;-;1706;-
Musi;2013;1;23;0;-0.2;1.9;6;73;95;99;-;-;-;4719;-
Musi;2013;1;24;0;-0.1;4.1;6.8;51;68;95;-;-;-;3304;-
Musi;2013;1;25;0;-3.4;2.6;6.1;36;52;88;-;-;-;6300;-
Musi;2013;1;26;0;-4.4;-1.1;3.8;41;62;88;-;-;-;6798;-
Musi;2013;1;27;0;-3.9;0.6;7.2;27;61;79;-;-;-;6575;-
Musi;2013;1;28;0;-0.5;1.6;4.3;42;69;92;-;-;-;2446;-
Musi;2013;1;29;0;-1.3;2.2;7.8;63;86;99;-;-;-;6899;-
Musi;2013;1;30;0;-0.8;1.6;4.7;85;96;99;-;-;-;3795;-
Musi;2013;1;31;0;-0.6;2.4;7.1;71;95;99;-;-;-;7893;-
Musi;2013;2;1;0;-0.2;3.5;7.9;70;92;99;-;-;-;3920;-
Musi;2013;2;2;82.4;1;3.2;4.6;62;95;99;-;-;-;223;-
Musi;2013;2;3;0;-1.6;3;6.8;26;46;74;-;-;-;8693;-
Musi;2013;2;4;0;-1.5;1.6;7.2;54;73;86;-;-;-;7059;-
Musi;2013;2;5;0.6;-1.5;1.8;4.3;66;85;99;-;-;-;1011;-
Musi;2013;2;6;6.6;-4.1;0.4;4.3;59;95;99;-;-;-;760;-
Musi;2013;2;7;0;-5;0.3;6.1;33;71;99;-;-;-;6943;-
Musi;2013;2;8;0;-4.3;0;5;27;50;77;-;-;-;7750;-
Musi;2013;2;9;0;-5.2;-2;1.9;38;66;84;-;-;-;5713;-
Musi;2013;2;10;0.2;-5.4;-1.5;2.3;31;51;91;-;-;-;8243;-
Musi;2013;2;11;21.6;-4.5;-1.7;0.1;78;95;99;-;-;-;2914;-
Musi;2013;2;12;13.4;-2.6;-0.3;5.3;66;93;99;-;-;-;3931;-
Musi;2013;2;13;0;-2.8;1.9;4;47;65;99;-;-;-;4088;-
Musi;2013;2;14;0;-1.5;3.7;9.9;45;68;99;-;-;-;9090;-
Musi;2013;2;15;0;-1.6;1.9;7.4;62;84;99;-;-;-;9753;-
Musi;2013;2;16;0;-1.1;3.2;9.7;35;71;92;-;-;-;10095;-
Musi;2013;2;17;0;-1;1.9;7.3;42;75;94;-;-;-;6509;-
Musi;2013;2;18;0;-2.5;1.1;6.7;39;67;86;-;-;-;5559;-
Musi;2013;2;19;0;-4.5;-0.3;5.1;52;75;91;-;-;-;9095;-
Musi;2013;2;20;0.6;-2.4;1.6;8;42;79;99;-;-;-;10795;-
Musi;2013;2;21;0;-2.2;-0.4;2.1;50;65;88;-;-;-;7464;-
Musi;2013;2;22;0;-3.4;-1.5;1;50;62;83;-;-;-;7212;-
Musi;2013;2;23;8.4;-3.9;0;3.4;51;77;99;-;-;-;7714;-
Musi;2013;2;24;11.8;-0.4;0.8;2.2;92;98;99;-;-;-;1567;-
Musi;2013;2;25;0;-1.3;1.4;6.9;60;90;99;-;-;-;6216;-
Musi;2013;2;26;0.2;0.4;5.4;10.8;46;67;99;-;-;-;10860;-
Musi;2013;2;27;0;2.1;5.1;9.8;70;87;99;-;-;-;8037;-
Musi;2013;2;28;0;0.7;5.1;10.6;58;84;99;-;-;-;6667;-
Musi;2013;3;1;0;0.5;4.8;10.1;65;88;99;-;-;-;12594;-
Musi;2013;3;2;0;0.2;4.1;10.7;58;84;99;-;-;-;13652;-
Musi;2013;3;3;0;0.1;5.6;13.4;31;58;87;-;-;-;13985;-
Musi;2013;3;4;0;1.1;6.1;13.3;30;53;76;-;-;-;14217;-
Musi;2013;3;5;0;0.2;5.8;11.9;26;56;79;-;-;-;11446;-
Musi;2013;3;6;77;3.6;5.7;8.2;75;97;99;-;-;-;875;-
Musi;2013;3;7;19.6;5.7;6.9;9.2;99;99;99;-;-;-;1792;-
Musi;2013;3;8;2.8;6;7.4;9.3;99;99;99;-;-;-;2314;-
Musi;2013;3;9;31;5.8;7.5;10.5;96;99;99;-;-;-;3242;-
Musi;2013;3;10;12.4;4.3;6.3;8.2;95;99;99;-;-;-;4982;-
Musi;2013;3;11;5.2;2.5;6.7;12.4;67;93;99;-;-;-;9208;-
Musi;2013;3;12;15.6;4.1;5.8;8.3;87;98;99;-;-;-;5202;-
Musi;2013;3;13;8.2;3.1;4.4;6.2;96;99;99;-;-;-;2296;-
Musi;2013;3;14;0;-0.1;2.7;6;34;52;99;-;-;-;3631;-
Musi;2013;3;15;0.2;-1.6;1.6;6.3;22;29;37;-;-;-;14670;-
Musi;2013;3;16;0;-5;0.3;4.7;26;53;87;-;-;-;14069;-
Musi;2013;3;17;5.4;-1;0.7;2.9;83;92;99;-;-;-;2154;-
Musi;2013;3;18;119.2;0.4;2.1;5.9;89;99;99;-;-;-;639;-
Musi;2013;3;20;0.2;1.1;5.2;9.4;60;87;99;-;-;-;6318;-
Musi;2013;3;21;0;3;8.3;13.6;17;36;78;-;-;-;18044;-
Musi;2013;3;22;0;2.1;7.1;12.8;22;40;80;-;-;-;18554;-
Musi;2013;3;23;3.4;0.5;4.9;11.3;38;70;99;-;-;-;11979;-
Musi;2013;3;24;2.8;0.4;2.2;3.8;81;92;99;-;-;-;3231;-
Musi;2013;3;25;3;-0.3;1.9;3.7;57;71;96;-;-;-;4679;-
Musi;2013;3;26;0.6;-1.9;0.6;3.5;58;89;99;-;-;-;9176;-
Musi;2013;3;27;0;-2.8;1.2;5.8;62;83;99;-;-;-;11868;-
Musi;2013;3;28;20.4;0;3.3;7.4;54;82;99;-;-;-;8329;-
Musi;2013;3;29;21.8;3.3;4.9;6.3;99;99;99;-;-;-;2048;-
Musi;2013;3;30;55;3.5;6.5;10.3;85;98;99;-;-;-;4596;-
Musi;2013;3;31;33.2;3.5;5.9;7.7;48;78;99;-;-;-;4591;-
Musi;2013;4;1;0;1.9;4.3;7.7;60;80;94;-;-;-;7383;-
Musi;2013;4;2;0;2.4;6;10.7;48;68;91;-;-;-;10293;-
Musi;2013;4;3;0;2.4;6.2;10.3;61;82;96;-;-;-;10966;-
Musi;2013;4;4;3;3.1;5.5;10.2;66;92;99;-;-;-;6048;-
Musi;2013;4;5;4;4.1;7.2;11.7;58;87;99;-;-;-;7749;-
Musi;2013;4;6;1.4;4.3;7.2;11.5;70;90;99;-;-;-;9870;-
Musi;2013;4;7;0;1.5;7.5;13.5;36;66;99;-;-;-;19349;-
Musi;2013;4;8;0.8;0.4;4.1;7.9;59;83;99;-;-;-;9887;-
Musi;2013;4;9;2.4;3.1;5.5;8.7;73;91;99;-;-;-;6822;-
Musi;2013;4;10;0;1.9;7.8;13.3;64;85;99;-;-;-;21688;-
Musi;2013;4;11;8.8;6.1;8.3;11.3;66;88;99;-;-;-;3839;-
Musi;2013;4;12;71.4;6.9;8.6;10.4;88;99;99;-;-;-;955;-
Musi;2013;4;13;1;5.7;10.5;16.8;44;78;99;-;-;-;17134;-
Musi;2013;4;14;0;6.1;12.2;19.1;41;72;99;-;-;-;16694;-
