stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Pala d'Altei;2004;8;5;-;-;-;-;-;-;-;-;-;-;-;-
Pala d'Altei;2004;8;6;-;11.8;-;15.6;-;-;-;-;-;-;91;-
Pala d'Altei;2004;8;7;-;10.9;-;14.6;-;-;-;-;-;-;134;-
Pala d'Altei;2004;8;8;-;11.0;-;13.0;-;-;-;-;-;-;87;-
Pala d'Altei;2004;8;9;-;11.7;-;13.8;-;-;-;-;-;-;34;-
Pala d'Altei;2004;8;10;-;13.4;-;15.3;-;-;-;-;-;-;102;-
Pala d'Altei;2004;8;11;-;14.1;-;15.5;-;-;-;-;-;-;182;-
Pala d'Altei;2004;8;12;-;14.3;-;15.7;-;-;-;-;-;-;449;-
Pala d'Altei;2004;8;13;-;8.1;-;13.4;-;-;-;-;-;-;144;-
Pala d'Altei;2004;8;14;-;9.9;-;13.3;-;-;-;-;-;-;203;-
Pala d'Altei;2004;8;15;-;12.5;-;14.0;-;-;-;-;-;-;265;-
Pala d'Altei;2004;8;16;-;11.8;-;13.0;-;-;-;-;-;-;417;-
Pala d'Altei;2004;8;17;-;12.6;-;13.6;-;-;-;-;-;-;369;-
Pala d'Altei;2004;8;18;-;12.3;-;14.5;-;-;-;-;-;-;642;-
Pala d'Altei;2004;8;19;-;14.2;-;15.7;-;-;-;-;-;-;646;-
Pala d'Altei;2004;8;20;-;13.1;-;14.7;-;-;-;-;-;-;498;-
Pala d'Altei;2004;8;21;-;5.4;-;10.5;-;-;-;-;-;-;48;-
Pala d'Altei;2004;8;22;-;10.0;-;11.4;-;-;-;-;-;-;233;-
Pala d'Altei;2004;8;23;-;9.7;-;11.9;-;-;-;-;-;-;106;-
Pala d'Altei;2004;8;24;-;11.0;-;12.5;-;-;-;-;-;-;512;-
Pala d'Altei;2004;8;25;-;11.2;-;12.7;-;-;-;-;-;-;813;-
Pala d'Altei;2004;8;26;-;5.1;-;10.9;-;-;-;-;-;-;39;-
Pala d'Altei;2004;8;27;-;10.1;-;11.6;-;-;-;-;-;-;211;-
