stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Palazzolo dello Stella;2003;1;1;0;1;5.9;11.1;53;80;97;8;20;43;6010;1008.9
Palazzolo dello Stella;2003;1;2;3.4;0.6;3.9;6.4;88;94;97;5;14;329;967;1004
Palazzolo dello Stella;2003;1;3;0;3.1;6.3;8.1;91;96;97;4;14;230;1181;1000
Palazzolo dello Stella;2003;1;4;0;3.1;6.4;11.1;73;92;97;5;11;342;5337;998.5
Palazzolo dello Stella;2003;1;5;10.6;3.6;6.1;8.6;68;82;97;12;41;61;1003;997
Palazzolo dello Stella;2003;1;6;3.4;1;3.3;4.6;67;75;91;12;26;47;1070;1004.6
Palazzolo dello Stella;2003;1;7;4.6;-2;0.7;2.9;64;81;94;12;41;50;1342;999.9
Palazzolo dello Stella;2003;1;8;0;-1.1;0.7;2.4;54;67;83;11;33;51;1540;1008.1
Palazzolo dello Stella;2003;1;9;0.8;-2.3;-0.3;1.4;52;67;90;20;45;58;1218;1003.3
Palazzolo dello Stella;2003;1;10;0;-2;-0.5;2.3;59;69;80;11;24;23;3657;1009.4
Palazzolo dello Stella;2003;1;11;0;-5.3;-0.9;3;44;57;77;15;41;83;6639;1018.2
Palazzolo dello Stella;2003;1;12;0;-8.5;-3.3;2.6;31;56;81;7;22;84;7633;1024.1
Palazzolo dello Stella;2003;1;13;0;-7.7;-2.1;3.5;40;65;87;6;18;35;6131;1025
Palazzolo dello Stella;2003;1;14;0;-4.9;0.1;7.1;45;76;91;4;11;1;6929;1028
Palazzolo dello Stella;2003;1;15;0;-3.8;0.4;7.8;62;84;94;4;11;18;5421;1028.6
Palazzolo dello Stella;2003;1;16;0;-3.2;0.6;4.4;85;92;95;5;13;18;1295;1025.1
Palazzolo dello Stella;2003;1;17;0;-2.4;3.4;10.7;54;75;91;8;15;341;6969;1024
Palazzolo dello Stella;2003;1;18;0;1;3.8;8.8;59;72;80;9;18;14;3431;1016.6
Palazzolo dello Stella;2003;1;19;0;-1.4;4.2;12.9;36;67;89;8;19;18;7570;1012.9
Palazzolo dello Stella;2003;1;20;0;-2.1;2.6;10.5;46;79;95;5;13;7;6107;1011.5
Palazzolo dello Stella;2003;1;21;19.4;0.4;5;10;86;91;96;10;33;142;592;1002.9
Palazzolo dello Stella;2003;1;22;17.6;0.8;6.4;9.3;85;94;96;7;22;97;1146;998.8
Palazzolo dello Stella;2003;1;23;0;-0.4;3.4;9.7;79;94;98;6;14;22;3694;1009.5
Palazzolo dello Stella;2003;1;24;0;-0.5;5.6;13.7;38;69;92;9;23;89;8016;1020
Palazzolo dello Stella;2003;1;25;0.2;2.3;7.7;11.8;32;47;68;22;56;74;8216;1024
Palazzolo dello Stella;2003;1;26;0;-1.5;5.5;12.1;32;53;80;11;29;117;8385;1020.9
Palazzolo dello Stella;2003;1;27;0;-2.1;2.2;9.3;41;73;89;5;16;8;5004;1020.2
Palazzolo dello Stella;2003;1;28;0;-1.8;2.6;9;62;82;92;6;16;6;5309;1008.9
Palazzolo dello Stella;2003;1;29;0;-2.9;2.1;7.2;64;80;93;10;26;125;2920;997.6
Palazzolo dello Stella;2003;1;30;0;-4.7;1.7;8.1;57;79;93;7;18;14;6750;994.5
Palazzolo dello Stella;2003;1;31;0;-3.1;3.3;10.1;26;62;82;8;26;66;7612;999.1
Palazzolo dello Stella;2003;2;1;0;-5.4;1.6;8.3;17;46;83;10;25;87;9191;1011.9
Palazzolo dello Stella;2003;2;2;0;-6.2;-1.9;4;34;62;84;5;14;81;8944;1013.5
Palazzolo dello Stella;2003;2;3;1.8;-5.7;0;4.7;41;65;90;8;28;5;7005;1006.3
Palazzolo dello Stella;2003;2;4;17.2;1.1;2.9;5.6;78;91;94;10;32;0;340;985.5
Palazzolo dello Stella;2003;2;5;0;-2.9;3.5;10.7;15;62;89;8;27;0;8265;993
Palazzolo dello Stella;2003;2;6;0;-4.6;2.2;10.5;12;54;82;7;21;230;10948;1008.5
Palazzolo dello Stella;2003;2;7;0;-5.4;1;8.7;17;57;84;5;16;65;10565;1020.1
Palazzolo dello Stella;2003;2;8;0.4;-3.9;2.5;9.2;34;61;79;7;24;72;9814;1020.4
Palazzolo dello Stella;2003;2;9;0;-2;2.3;7.7;40;61;74;8;21;71;9978;1021.2
Palazzolo dello Stella;2003;2;10;0;-4.5;0.9;7.6;38;63;82;6;18;136;9814;1021.7
