stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Piancavallo;2008;1;1;0;-10.3;-6.5;-1.3;29;49;66;4;16;178;6217;874.4
Piancavallo;2008;1;2;0;-11.8;-9;-3.3;58;70;80;3;14;173;5550;873.1
Piancavallo;2008;1;3;1.8;-10.7;-6.9;-2.3;70;78;90;3;12;207;2509;871.7
Piancavallo;2008;1;4;4;-4.2;-1.9;-0.5;87;94;97;5;19;156;1772;875.4
Piancavallo;2008;1;5;13.6;-1.8;0.4;3.1;91;97;99;8;31;207;960;874.4
Piancavallo;2008;1;6;15;-3.2;0.1;2.6;85;94;99;-;36;215;2458;869.5
Piancavallo;2008;1;7;0;-2.8;-0.2;2.4;78;89;94;-;16;21;4410;874.3
Piancavallo;2008;1;8;0;-2.9;0.5;4.7;64;80;91;3;15;164;4721;878.8
Piancavallo;2008;1;9;0;-4.6;-0.5;2.3;63;80;94;3;20;142;3900;877
Piancavallo;2008;1;10;0;-5.1;-0.6;3;56;74;89;4;28;176;4520;878.1
Piancavallo;2008;1;11;7.8;-3.1;1.2;3.8;69;89;98;9;29;209;1598;874.1
Piancavallo;2008;1;12;241.8;2.1;3.1;4;96;98;99;13;42;46;60;867.8
Piancavallo;2008;1;13;45.2;-0.7;0.5;3.2;99;99;99;5;19;13;772;871.9
Piancavallo;2008;1;14;0.6;-0.5;0.1;0.9;99;99;99;8;24;165;3412;872.9
Piancavallo;2008;1;15;0;-1.3;-0.6;0.1;99;99;99;-;18;156;1688;872.5
Piancavallo;2008;1;16;55;-1.2;0;0.8;99;99;99;-;27;209;1165;865.5
Piancavallo;2008;1;17;52.6;-1;-0.1;1.9;99;99;99;-;-;-;1086;868.9
Piancavallo;2008;1;18;0;-2.4;0.9;4.9;98;99;99;3;13;3;6743;875.6
Piancavallo;2008;1;19;0;-3.6;0.5;6;55;75;99;3;12;12;4505;880.6
Piancavallo;2008;1;20;0;-1;2.8;10;33;49;59;3;13;27;7890;880.6
Piancavallo;2008;1;21;0;-3.5;-0.2;5.5;47;72;95;3;14;95;6760;875
Piancavallo;2008;1;22;0;-3.4;-1;4.7;10;73;99;7;51;35;6094;867.5
Piancavallo;2008;1;23;0;-8.1;-3.7;1.9;11;33;61;5;33;30;8486;881.1
Piancavallo;2008;1;24;0;-7.5;-1.4;7.6;16;40;56;3;14;193;8114;884
Piancavallo;2008;1;25;0;-4.1;1.2;7.4;29;51;68;4;15;163;5012;886.6
Piancavallo;2008;1;26;0;-4.4;2.6;12.8;9;23;49;4;31;219;8518;886.2
Piancavallo;2008;1;27;0;2.3;8.9;13.4;9;24;48;8;37;328;8196;876.2
Piancavallo;2008;1;28;0;-2.1;4.7;11.6;35;55;79;7;39;0;6759;881.5
Piancavallo;2008;1;29;0;-4.2;-0.3;5.4;53;77;89;3;16;157;8935;881.2
Piancavallo;2008;1;30;0;-4.5;-1.9;1.6;75;86;91;3;16;139;3378;876.9
Piancavallo;2008;1;31;0;-3.8;0.1;2.9;61;77;90;5;24;212;3603;874.8
Piancavallo;2008;2;1;0;-1.8;-0.6;0.7;68;89;97;10;32;212;3222;869.6
Piancavallo;2008;2;2;9.4;-1.8;-0.2;1.4;84;92;97;-;32;216;2885;868.7
Piancavallo;2008;2;3;7;-2.3;-1.2;0.3;72;84;96;-;15;177;2779;876.3
Piancavallo;2008;2;4;39.2;-0.6;0.5;3.1;72;95;99;8;29;242;5189;869.9
Piancavallo;2008;2;5;29;-3.1;0.1;5.2;71;92;99;-;9;183;4950;874.6
Piancavallo;2008;2;6;0;-4.3;-0.5;3.2;67;88;95;4;17;356;6476;878
Piancavallo;2008;2;7;0;-7.1;0.1;5;9;28;73;6;32;24;10840;882.9
Piancavallo;2008;2;8;0;-8.4;-3.5;4.4;10;35;65;4;21;49;10951;886.9
Piancavallo;2008;2;9;0;-8.2;-3.1;4.1;27;53;70;4;15;224;10994;885.8
Piancavallo;2008;2;10;0;-8.8;-3.9;1.8;56;68;82;5;18;192;10769;884.5
Piancavallo;2008;2;11;0;-8;-1.5;5.1;12;36;70;6;25;8;11483;884
Piancavallo;2008;2;12;0;-6.7;-1.6;5.8;10;33;53;4;25;245;11720;884
Piancavallo;2008;2;13;0;-7.8;-2.5;5.8;10;40;53;3;11;0;12033;885
Piancavallo;2008;2;14;0;-5.6;-0.8;6.9;12;35;48;4;15;161;11971;883
Piancavallo;2008;2;15;0;-7.9;-2.5;6.6;18;55;87;5;20;181;11900;879.2
Piancavallo;2008;2;16;0;-11.9;-7.3;-2.9;41;72;89;4;15;347;12312;885
Piancavallo;2008;2;17;0;-14.9;-9;-2.9;46;65;82;4;17;169;12629;889.3
Piancavallo;2008;2;18;0;-8.5;-1.6;7.2;9;32;58;3;12;354;12948;882
