stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Pontebba;2010;1;1;0.2;2.3;4.3;6.7;87;97;99;-;-;-;-;920.7
Pontebba;2010;1;2;7.4;-3.7;0.6;3.2;74;94;99;-;-;-;-;933.2
Pontebba;2010;1;3;0;-8.8;-5.8;-0.2;61;90;99;-;-;-;-;944.8
Pontebba;2010;1;4;0;-10.2;-5.5;-2.2;81;93;98;-;-;-;-;941.6
Pontebba;2010;1;5;0;-2.6;-1.7;0;62;81;98;-;-;-;-;933
Pontebba;2010;1;6;0.2;-2;-0.1;1.8;72;87;97;-;-;-;-;927.2
Pontebba;2010;1;7;1.4;-0.5;0.4;2.7;72;88;98;-;-;-;-;935.6
Pontebba;2010;1;8;8;-1.2;-0.4;0.4;88;97;99;-;-;-;-;933.8
Pontebba;2010;1;9;9.4;-0.4;0.9;2.7;96;98;99;-;-;-;-;928.8
Pontebba;2010;1;10;0.2;-0.3;1.3;4.7;82;95;99;-;-;-;-;933.8
Pontebba;2010;1;11;0;0.6;1.5;2.9;89;98;99;-;-;-;-;939.1
Pontebba;2010;1;12;0;0;1.2;3.6;70;89;99;-;-;-;-;941
Pontebba;2010;1;13;0;-0.3;0.7;2.8;70;82;93;-;-;-;-;937.4
Pontebba;2010;1;14;0;-1;0.1;3;63;77;85;-;-;-;-;938.9
Pontebba;2010;1;15;0;-1.7;-0.1;2.5;61;76;88;-;-;-;-;947.2
Pontebba;2010;1;16;0;-2;-0.4;1.7;62;73;83;-;-;-;-;951.9
Pontebba;2010;1;17;0;-3.4;-1.7;3.6;62;85;98;-;-;-;-;947
Pontebba;2010;1;18;0;-4.2;-1.1;4.8;66;90;99;-;-;-;-;950
Pontebba;2010;1;19;0;-5.9;-3.1;3.6;56;90;99;-;-;-;-;948
Pontebba;2010;1;20;0;-6.8;-4.1;2.8;60;91;99;-;-;-;-;942.8
Pontebba;2010;1;21;0;-7.9;-3.8;2.4;59;88;99;-;-;-;-;944.3
Pontebba;2010;1;22;0;-4.8;-1.6;1.9;58;77;95;-;-;-;-;949.2
Pontebba;2010;1;23;0;-4.3;-2.2;1.3;60;77;89;-;-;-;-;950.2
Pontebba;2010;1;24;0;-4;-2.9;-0.4;63;76;82;-;-;-;-;951.3
Pontebba;2010;1;25;0;-5.6;-3.7;-1.5;59;71;79;-;-;-;-;954.1
Pontebba;2010;1;26;0;-6.8;-4;-1.5;69;77;86;-;-;-;-;953.7
Pontebba;2010;1;27;0;-7.1;-3.5;0.2;49;69;88;-;-;-;-;948.5
Pontebba;2010;1;28;0;-7.1;-4;3.4;50;81;94;-;-;-;-;930.7
Pontebba;2010;1;29;0;-7.5;-2.4;3.1;46;76;96;-;-;-;-;924.3
Pontebba;2010;1;30;1.6;-2.1;-0.5;2.3;73;89;98;-;-;-;-;919
Pontebba;2010;1;31;0;-9.6;-3.1;2.8;38;74;90;-;-;-;-;928.6
Pontebba;2010;2;1;0;-11.5;-6.9;2.3;40;80;95;-;-;-;-;937.5
Pontebba;2010;2;2;0;-11;-5.4;3.5;40;77;97;-;-;-;-;943.3
Pontebba;2010;2;3;0;-7.1;-2.4;5.2;38;72;88;-;-;-;-;942.8
Pontebba;2010;2;4;0;-7.5;-2.3;4.8;62;87;99;-;-;-;-;948.2
Pontebba;2010;2;5;12.6;-1.1;1.1;2.4;92;97;99;-;-;-;-;942
Pontebba;2010;2;6;2.2;1.7;3.6;5.7;77;85;99;-;-;-;-;934.8
Pontebba;2010;2;7;0;-0.6;3.1;8.8;38;69;93;-;-;-;-;937.7
Pontebba;2010;2;8;0;-4.4;-1.3;3.2;52;74;90;-;-;-;-;935.4
Pontebba;2010;2;9;0;-4.5;-1;3.8;51;72;83;-;-;-;-;931.7
Pontebba;2010;2;10;0;-3.1;-1.7;-0.5;79;85;94;-;-;-;-;926.4
Pontebba;2010;2;11;0.2;-1.4;-0.5;0.7;73;81;92;-;-;-;-;924.8
Pontebba;2010;2;12;0;-0.8;0.8;3.1;58;71;81;-;-;-;-;931.8
Pontebba;2010;2;13;0;-3.1;0.3;8.3;41;75;96;-;-;-;-;935.2
Pontebba;2010;2;14;0;-1;1.2;6.4;44;72;91;-;-;-;-;935.5
Pontebba;2010;2;15;0;-2.1;0.5;4.6;45;67;82;-;-;-;-;934.2
Pontebba;2010;2;16;0;-5.6;0;8.6;41;77;94;-;-;-;-;933.3
