stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Pordenone;1994;6;1;0.0;13.9;-;26.4;-;-;-;-;18;-;27022;-
Pordenone;1994;6;2;0.0;15.8;-;26.7;-;-;-;-;11;-;20097;-
Pordenone;1994;6;3;0.0;16.7;-;26.4;-;-;-;-;27;-;22804;-
Pordenone;1994;6;4;1.8;15.3;-;23.5;-;-;-;-;32;-;16953;-
Pordenone;1994;6;5;8.2;10.7;-;23.5;-;-;-;-;46;-;22221;-
Pordenone;1994;6;6;0.0;8.8;-;22.1;-;-;-;-;23;-;30431;-
Pordenone;1994;6;7;0.0;10.5;-;22.2;-;-;-;-;19;-;20442;-
Pordenone;1994;6;8;0.0;12.5;-;25.9;-;-;-;-;19;-;29133;-
Pordenone;1994;6;9;8.0;12.8;-;24.9;-;-;-;-;37;-;21411;-
Pordenone;1994;6;10;0.2;11.9;-;16.9;-;-;-;-;36;-;6716;-
Pordenone;1994;6;11;1.0;11.4;-;16.4;-;-;-;-;19;-;10385;-
Pordenone;1994;6;12;13.0;12.9;-;18.4;-;-;-;-;30;-;7175;-
Pordenone;1994;6;13;4.2;13.2;-;19.2;-;-;-;-;15;-;8383;-
Pordenone;1994;6;14;0.0;11.9;-;25.8;-;-;-;-;28;-;28003;-
Pordenone;1994;6;15;0.0;16.0;-;25.1;-;-;-;-;16;-;27309;-
Pordenone;1994;6;16;0.0;16.5;-;24.3;-;-;-;-;20;-;20801;-
Pordenone;1994;6;17;0.0;15.9;-;25.7;-;-;-;-;21;-;24088;-
Pordenone;1994;6;18;0.0;17.5;-;24.5;-;-;-;-;18;-;19898;-
Pordenone;1994;6;19;0.0;18.3;-;26.8;-;-;-;-;15;-;20889;-
Pordenone;1994;6;20;19.6;16.3;-;27.7;-;-;-;-;44;-;20654;-
Pordenone;1994;6;21;0.2;16.6;-;24.5;-;-;-;-;31;-;15923;-
Pordenone;1994;6;22;0.0;15.1;-;28.8;-;-;-;-;19;-;29327;-
Pordenone;1994;6;23;0.0;17.6;-;30.4;-;-;-;-;19;-;27667;-
Pordenone;1994;6;24;0.0;19.0;-;30.3;-;-;-;-;15;-;26117;-
Pordenone;1994;6;25;0.0;18.1;-;30.4;-;-;-;-;13;-;27393;-
Pordenone;1994;6;26;0.0;18.5;-;30.7;-;-;-;-;17;-;26137;-
Pordenone;1994;6;27;0.4;18.2;-;30.6;-;-;-;-;18;-;18240;-
Pordenone;1994;6;28;5.4;18.7;-;30.0;-;-;-;-;43;-;15082;-
Pordenone;1994;6;29;0.0;17.9;-;30.5;-;-;-;-;14;-;20706;-
Pordenone;1994;6;30;0.0;18.1;-;33.5;-;-;-;-;19;-;25739;-
Pordenone;1994;7;5;8.0;19.6;-;32.7;-;-;-;-;-;-;24178;-
Pordenone;1994;7;6;0.4;19.6;-;31.6;-;-;-;-;-;-;26604;-
Pordenone;1994;7;7;0.0;19.3;-;31.3;-;-;-;-;-;-;27233;-
Pordenone;1994;7;8;14.2;16.3;-;23.5;-;-;-;-;-;-;7811;-
Pordenone;1994;7;9;0.2;13.9;-;26.8;-;-;-;-;-;-;25680;-
Pordenone;1994;7;10;0.0;14.4;-;28.7;-;-;-;-;-;-;27677;-
Pordenone;1994;7;11;0.0;15.4;-;29.2;-;-;-;-;-;-;28814;-
Pordenone;1994;7;12;0.0;15.7;-;30.3;-;-;-;-;-;-;28198;-
Pordenone;1994;7;13;0.6;16.2;-;29.3;-;-;-;-;-;-;19302;-
Pordenone;1994;7;14;0.2;14.7;-;31.7;-;-;-;-;-;-;28587;-
Pordenone;1994;7;15;0.0;17.8;-;30.6;-;-;-;-;-;-;16051;-
Pordenone;1994;7;16;0.0;17.2;-;32.0;-;-;-;-;-;-;27978;-
Pordenone;1994;7;17;0.4;18.5;-;32.6;-;-;-;-;-;-;24867;-
Pordenone;1994;7;18;0.0;18.8;-;31.9;-;-;-;-;-;-;22538;-
Pordenone;1994;7;19;0.0;20.5;-;30.6;-;-;-;-;-;-;21075;-
Pordenone;1994;7;20;11.8;18.6;-;26.8;-;-;-;-;-;-;10970;-
Pordenone;1994;7;21;0.2;18.3;-;28.7;-;-;-;-;-;-;23550;-
Pordenone;1994;7;22;0.0;17.3;-;31.5;-;-;-;-;-;-;27493;-
Pordenone;1994;7;23;0.0;18.6;-;32.7;-;-;-;-;-;-;27622;-
Pordenone;1994;7;24;0.0;17.5;-;33.0;-;-;-;-;-;-;27780;-
Pordenone;1994;7;25;0.0;18.0;-;33.5;-;-;-;-;-;-;27581;-
Pordenone;1994;7;26;0.0;19.1;-;34.1;-;-;-;-;-;-;23638;-
Pordenone;1994;7;27;0.0;18.8;-;33.6;-;-;-;-;-;-;19102;-
Pordenone;1994;7;28;0.8;18.4;-;31.7;-;-;-;-;-;-;13528;-
Pordenone;1994;7;29;0.0;16.8;-;33.9;-;-;-;-;-;-;25231;-
Pordenone;1994;7;30;0.0;17.4;-;33.0;-;-;-;-;-;-;27042;-
Pordenone;1994;7;31;0.0;15.4;-;33.4;-;-;-;-;-;-;26959;-
Pordenone;1994;8;1;0.0;15.9;-;33.2;-;-;-;-;18;-;26231;-
