stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Pradamano;2008;5;14;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;5;15;1.8;9.4;-;17.3;-;-;-;-;1800;-;75;-
Pradamano;2008;5;16;0.8;13.3;-;17.5;-;-;-;-;1735;-;98;-
Pradamano;2008;5;17;1.0;14.8;-;17.2;-;-;-;-;2286;-;85;-
Pradamano;2008;5;18;110.0;13.2;-;14.7;-;-;-;-;5098;-;49;-
Pradamano;2008;5;19;27.8;11.3;-;16.6;-;-;-;-;2668;-;54;-
Pradamano;2008;5;20;14.6;13.2;-;15.2;-;-;-;-;3157;-;0;-
Pradamano;2008;5;22;0.0;13.2;-;17.4;-;-;-;-;14;-;82;-
Pradamano;2008;5;23;6.8;12.8;-;16.3;-;-;-;-;1166;-;68;-
Pradamano;2008;5;24;2.0;13.7;-;17.1;-;-;-;-;1350;-;40;-
Pradamano;2008;5;25;0.0;14.5;-;18.3;-;-;-;-;1440;-;38;-
Pradamano;2008;5;26;0.0;12.6;-;19.5;-;-;-;-;1768;-;165;-
Pradamano;2008;5;27;0.0;12.7;-;21.6;-;-;-;-;1958;-;154;-
Pradamano;2008;5;28;0.0;14.9;-;22.1;-;-;-;-;1181;-;173;-
Pradamano;2008;5;29;0.0;16.8;-;24.2;-;-;-;-;716;-;76;-
Pradamano;2008;5;30;0.0;17.2;-;22.5;-;-;-;-;1271;-;28;-
Pradamano;2008;5;31;0.4;16.3;-;19.9;-;-;-;-;1314;-;136;-
Pradamano;2008;6;1;0.0;16.8;-;21.6;-;-;-;-;1501;-;92;-
Pradamano;2008;6;2;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;6;3;0.0;15.0;-;20.0;-;-;-;-;1375;-;31;-
Pradamano;2008;6;4;28.8;15.5;-;18.4;-;-;-;-;2876;-;41;-
Pradamano;2008;6;5;5.2;15.9;-;17.7;-;-;-;-;3694;-;9;-
Pradamano;2008;6;6;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;6;7;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;6;18;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;6;19;0.2;15.4;-;22.0;-;-;-;-;1868;-;161;-
Pradamano;2008;6;20;0.0;15.8;-;24.0;-;-;-;-;1555;-;122;-
Pradamano;2008;6;21;0.0;16.0;-;24.4;-;-;-;-;1652;-;184;-
Pradamano;2008;6;22;0.0;15.3;-;24.4;-;-;-;-;1616;-;54;-
Pradamano;2008;6;23;0.0;17.3;-;25.1;-;-;-;-;792;-;90;-
Pradamano;2008;6;24;2.2;17.5;-;25.5;-;-;-;-;1001;-;207;-
Pradamano;2008;6;25;0.0;20.9;-;27.0;-;-;-;-;0;-;280;-
Pradamano;2008;6;26;0.0;20.9;-;27.5;-;-;-;-;0;-;7;-
Pradamano;2008;6;27;0.2;21.2;-;25.7;-;-;-;-;482;-;1;-
Pradamano;2008;6;28;0.0;20.5;-;26.4;-;-;-;-;0;-;17;-
Pradamano;2008;6;29;0.0;18.2;-;25.6;-;-;-;-;0;-;52;-
Pradamano;2008;6;30;9.0;19.1;-;25.0;-;-;-;-;828;-;127;-
Pradamano;2008;7;1;0.0;18.5;-;24.9;-;-;-;-;317;-;70;-
Pradamano;2008;7;2;0.0;17.5;-;25.4;-;-;-;-;680;-;196;-
Pradamano;2008;7;3;0.0;19.7;-;25.5;-;-;-;-;2088;-;138;-
Pradamano;2008;7;4;14.2;18.8;-;24.2;-;-;-;-;2570;-;19;-
Pradamano;2008;7;5;1.8;19.2;-;24.1;-;-;-;-;209;-;139;-
Pradamano;2008;7;6;12.0;18.0;-;23.6;-;-;-;-;1523;-;52;-
Pradamano;2008;7;7;43.2;16.3;-;22.1;-;-;-;-;2149;-;21;-
Pradamano;2008;7;8;25.8;13.8;-;18.8;-;-;-;-;1656;-;0;-
Pradamano;2008;7;9;0.0;12.8;-;21.5;-;-;-;-;0;-;69;-
Pradamano;2008;7;10;0.0;14.1;-;23.0;-;-;-;-;1696;-;171;-
Pradamano;2008;7;11;0.0;16.1;-;23.5;-;-;-;-;1850;-;192;-
Pradamano;2008;7;12;0.0;17.5;-;24.0;-;-;-;-;1300;-;53;-
Pradamano;2008;7;13;19.6;17.6;-;22.8;-;-;-;-;670;-;22;-
Pradamano;2008;7;14;28.4;13.0;-;18.4;-;-;-;-;1264;-;5;-
Pradamano;2008;7;15;0.0;10.4;-;19.9;-;-;-;-;1177;-;240;-
Pradamano;2008;7;16;0.0;12.6;-;20.9;-;-;-;-;2113;-;171;-
Pradamano;2008;7;17;11.2;17.2;-;22.1;-;-;-;-;684;-;28;-
Pradamano;2008;7;18;11.2;16.6;-;20.3;-;-;-;-;1134;-;54;-
Pradamano;2008;7;19;0.0;14.7;-;22.3;-;-;-;-;1008;-;50;-
Pradamano;2008;7;20;26.2;17.4;-;22.3;-;-;-;-;817;-;68;-
Pradamano;2008;7;21;0.0;17.4;-;20.2;-;-;-;-;490;-;0;-
Pradamano;2008;7;22;2.0;11.3;-;18.0;-;-;-;-;1210;-;57;-
Pradamano;2008;7;23;0.2;10.9;-;18.5;-;-;-;-;1328;-;189;-
Pradamano;2008;7;24;0.0;14.4;-;22.2;-;-;-;-;166;-;301;-
Pradamano;2008;7;25;0.0;14.9;-;23.4;-;-;-;-;1098;-;155;-
Pradamano;2008;7;26;0.0;17.0;-;23.7;-;-;-;-;1541;-;121;-
Pradamano;2008;7;27;4.4;19.1;-;24.1;-;-;-;-;1058;-;39;-
Pradamano;2008;7;28;0.0;18.8;-;25.3;-;-;-;-;0;-;27;-
Pradamano;2008;7;29;1.2;17.6;-;24.5;-;-;-;-;1159;-;57;-
Pradamano;2008;7;30;0.0;18.4;-;25.4;-;-;-;-;1109;-;101;-
Pradamano;2008;7;31;11.4;19.1;-;24.6;-;-;-;-;979;-;13;-
Pradamano;2008;8;1;0.0;17.6;-;25.7;-;-;-;-;709;-;125;-
Pradamano;2008;8;2;0.0;19.9;-;25.8;-;-;-;-;839;-;67;-
Pradamano;2008;8;3;0.0;19.1;-;26.2;-;-;-;-;745;-;105;-
Pradamano;2008;8;4;0.0;19.5;-;25.4;-;-;-;-;1292;-;101;-
Pradamano;2008;8;5;1.4;19.9;-;26.8;-;-;-;-;806;-;110;-
Pradamano;2008;8;6;0.2;22.3;-;25.8;-;-;-;-;68;-;0;-
Pradamano;2008;8;7;12.2;18.8;-;25.2;-;-;-;-;587;-;93;-
Pradamano;2008;8;8;15.2;15.4;-;21.6;-;-;-;-;1537;-;25;-
Pradamano;2008;8;9;0.0;12.6;-;21.1;-;-;-;-;533;-;133;-
Pradamano;2008;8;10;0.0;16.2;-;22.1;-;-;-;-;1004;-;261;-
Pradamano;2008;8;11;0.0;15.1;-;22.8;-;-;-;-;2214;-;202;-
Pradamano;2008;8;12;0.0;17.7;-;23.4;-;-;-;-;1055;-;50;-
Pradamano;2008;8;13;10.4;20.1;-;24.7;-;-;-;-;889;-;132;-
Pradamano;2008;8;14;0.0;18.7;-;25.2;-;-;-;-;1339;-;32;-
Pradamano;2008;8;15;25.8;16.6;-;22.7;-;-;-;-;1080;-;54;-
Pradamano;2008;8;16;28.6;13.6;-;19.5;-;-;-;-;1174;-;162;-
Pradamano;2008;8;17;0.0;13.5;-;19.8;-;-;-;-;792;-;107;-
Pradamano;2008;8;18;0.0;12.2;-;20.2;-;-;-;-;2318;-;209;-
Pradamano;2008;9;2;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;9;3;11.2;16.0;-;22.3;-;-;-;-;1890;-;48;-
Pradamano;2008;9;4;70.0;18.6;-;23.0;-;-;-;-;1609;-;88;-
Pradamano;2008;9;5;6.4;17.7;-;22.6;-;-;-;-;1080;-;55;-
Pradamano;2008;9;6;0.0;18.7;-;23.4;-;-;-;-;583;-;53;-
Pradamano;2008;9;7;9.4;17.0;-;22.2;-;-;-;-;1343;-;11;-
Pradamano;2008;9;8;0.0;15.7;-;21.1;-;-;-;-;997;-;51;-
Pradamano;2008;9;9;0.0;14.0;-;21.1;-;-;-;-;1714;-;55;-
Pradamano;2008;9;10;0.0;13.5;-;21.7;-;-;-;-;2290;-;112;-
Pradamano;2008;9;11;0.0;15.2;-;22.5;-;-;-;-;2653;-;43;-
Pradamano;2008;9;12;15.6;15.6;-;20.6;-;-;-;-;3499;-;51;-
Pradamano;2008;9;14;17.4;11.6;-;16.3;-;-;-;-;2362;-;0;-
Pradamano;2008;9;15;0.0;9.5;-;14.2;-;-;-;-;720;-;198;-
Pradamano;2008;9;16;0.0;5.5;-;13.4;-;-;-;-;1832;-;72;-
Pradamano;2008;9;17;0.0;3.9;-;13.0;-;-;-;-;1760;-;193;-
Pradamano;2008;9;18;0.0;12.2;-;14.5;-;-;-;-;0;-;8;-
Pradamano;2008;9;19;0.0;10.2;-;15.8;-;-;-;-;0;-;14;-
Pradamano;2008;9;20;0.0;6.3;-;13.1;-;-;-;-;576;-;78;-
Pradamano;2008;9;21;0.0;5.7;-;12.5;-;-;-;-;1973;-;34;-
Pradamano;2008;9;22;0.0;3.8;-;12.1;-;-;-;-;2041;-;79;-
Pradamano;2008;9;23;0.4;7.8;-;13.0;-;-;-;-;1307;-;1;-
Pradamano;2008;9;24;0.0;5.5;-;14.1;-;-;-;-;911;-;4;-
Pradamano;2008;9;25;0.0;7.2;-;13.2;-;-;-;-;616;-;36;-
Pradamano;2008;9;26;0.0;5.6;-;11.2;-;-;-;-;2617;-;56;-
Pradamano;2008;9;27;0.0;5.8;-;12.7;-;-;-;-;774;-;12;-
Pradamano;2008;9;28;0.0;5.1;-;12.8;-;-;-;-;846;-;11;-
Pradamano;2008;9;29;0.0;2.7;-;11.3;-;-;-;-;2520;-;137;-
Pradamano;2008;9;30;0.4;5.3;-;12.7;-;-;-;-;2448;-;0;-
Pradamano;2008;10;1;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;10;2;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;10;3;0.2;12.2;-;16.2;-;-;-;-;2383;-;40;-
Pradamano;2008;10;4;0.0;2.3;-;11.2;-;-;-;-;1145;-;39;-
Pradamano;2008;10;5;0.0;1.2;-;8.4;-;-;-;-;2855;-;11;-
Pradamano;2008;10;6;0.0;3.2;-;11.3;-;-;-;-;2855;-;4;-
Pradamano;2008;10;7;0.0;4.7;-;14.3;-;-;-;-;1447;-;61;-
Pradamano;2008;10;8;-;-;-;-;-;-;-;-;-;-;-;-
Pradamano;2008;10;9;0.0;7.9;-;16.0;-;-;-;-;3629;-;69;-
Pradamano;2008;10;10;0.0;9.2;-;17.2;-;-;-;-;1508;-;5;-
Pradamano;2008;10;11;0.0;7.4;-;14.7;-;-;-;-;2927;-;134;-
Pradamano;2008;10;12;0.0;6.6;-;13.7;-;-;-;-;3283;-;65;-
Pradamano;2008;10;13;0.0;6.7;-;14.8;-;-;-;-;3449;-;8;-
Pradamano;2008;10;14;0.0;7.0;-;15.6;-;-;-;-;3204;-;111;-
Pradamano;2008;10;15;0.0;8.7;-;15.8;-;-;-;-;2970;-;69;-
Pradamano;2008;10;16;0.0;8.8;-;14.7;-;-;-;-;4838;-;0;-
