stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Rivis;2018;1;1;13.6;2.2;4.7;7.2;-;-;-;-;-;-;-;-
Rivis;2018;1;2;0.2;0.3;3.8;10.2;-;-;-;-;-;-;-;-
Rivis;2018;1;3;0.0;-1.8;2.0;6.7;-;-;-;-;-;-;-;-
Rivis;2018;1;4;0.0;-0.5;3.7;7.8;-;-;-;-;-;-;-;-
Rivis;2018;1;5;0.0;2.5;6.4;9.4;-;-;-;-;-;-;-;-
Rivis;2018;1;6;0.6;5.6;8.5;11.2;-;-;-;-;-;-;-;-
Rivis;2018;1;7;0.8;7.2;9.3;11.3;-;-;-;-;-;-;-;-
Rivis;2018;1;8;5.0;9.3;10.3;12.8;-;-;-;-;-;-;-;-
Rivis;2018;1;9;38.2;8.9;10.5;13.3;-;-;-;-;-;-;-;-
Rivis;2018;1;10;11.2;4.9;8.2;11.8;-;-;-;-;-;-;-;-
Rivis;2018;1;11;0.2;1.3;6.3;11.8;-;-;-;-;-;-;-;-
Rivis;2018;1;12;0.0;0.4;5.0;12.6;-;-;-;-;-;-;-;-
Rivis;2018;1;13;0.0;0.4;5.5;12.1;-;-;-;-;-;-;-;-
Rivis;2018;1;14;0.0;0.9;4.9;8.7;-;-;-;-;-;-;-;-
Rivis;2018;1;15;0.0;-1.7;3.7;8.0;-;-;-;-;-;-;-;-
Rivis;2018;1;16;0.8;0.2;3.3;5.2;-;-;-;-;-;-;-;-
Rivis;2018;1;17;0.0;-0.8;4.4;10.5;-;-;-;-;-;-;-;-
Rivis;2018;1;18;0.0;-3.1;2.2;8.6;-;-;-;-;-;-;-;-
Rivis;2018;1;19;0.0;-0.6;3.8;11.0;-;-;-;-;-;-;-;-
Rivis;2018;1;20;0.0;-1.4;3.5;8.8;-;-;-;-;-;-;-;-
Rivis;2018;1;21;0.0;0.2;5.9;11.8;-;-;-;-;-;-;-;-
Rivis;2018;1;22;0.0;-1.7;3.6;9.8;-;-;-;-;-;-;-;-
Rivis;2018;1;23;0.0;-1.5;4.1;12.7;-;-;-;-;-;-;-;-
Rivis;2018;1;24;0.0;-0.9;4.4;12.2;-;-;-;-;-;-;-;-
Rivis;2018;1;25;0.0;-1.2;4.4;8.8;-;-;-;-;-;-;-;-
Rivis;2018;1;26;0.0;1.5;6.1;9.3;-;-;-;-;-;-;-;-
Rivis;2018;1;27;0.0;0.9;5.5;11.7;-;-;-;-;-;-;-;-
Rivis;2018;1;28;0.0;1.2;5.8;14.0;-;-;-;-;-;-;-;-
Rivis;2018;1;29;0.6;2.6;4.7;5.8;-;-;-;-;-;-;-;-
Rivis;2018;1;30;0.2;4.8;6.3;8.8;-;-;-;-;-;-;-;-
Rivis;2018;1;31;1.2;5.3;5.8;6.8;-;-;-;-;-;-;-;-
Rivis;2018;2;1;14.6;5.3;6.8;8.1;-;-;-;-;-;-;-;-
Rivis;2018;2;2;17.6;4.0;5.5;7.7;-;-;-;-;-;-;-;-
Rivis;2018;2;3;3.6;2.5;4.3;6.5;-;-;-;-;-;-;-;-
Rivis;2018;2;4;0.0;0.6;3.6;9.3;-;-;-;-;-;-;-;-
Rivis;2018;2;5;0.0;-0.2;3.7;8.8;-;-;-;-;-;-;-;-
Rivis;2018;2;6;1.4;-0.8;4.0;9.0;-;-;-;-;-;-;-;-
Rivis;2018;2;7;3.2;3.8;5.4;7.5;-;-;-;-;-;-;-;-
Rivis;2018;2;8;0.6;3.2;6.4;10.8;-;-;-;-;-;-;-;-
Rivis;2018;2;9;1.4;2.7;6.0;9.1;77;95;100;-;-;-;-;-
Rivis;2018;2;10;0.0;0.2;4.5;10.8;52;81;100;-;-;-;-;-
Rivis;2018;2;11;0.0;-2.7;2.4;8.1;53;81;100;-;-;-;-;-
Rivis;2018;2;12;2.6;0.7;3.5;6.2;55;90;100;-;-;-;-;-
Rivis;2018;2;13;0.0;-1.5;4.3;8.2;40;62;93;-;-;-;-;-
Rivis;2018;2;14;0.0;-3.8;2.0;9.5;36;69;90;-;-;-;-;-
Rivis;2018;2;15;0.0;-3.4;1.6;7.7;39;68;91;-;-;-;-;-
Rivis;2018;2;16;0.0;-3.0;3.0;9.5;47;71;91;-;-;-;-;-
Rivis;2018;2;17;0.0;0.4;5.8;11.3;49;78;95;-;-;-;-;-
Rivis;2018;2;18;3.2;4.5;5.9;8.0;61;83;100;-;-;-;-;-
Rivis;2018;2;19;0.0;-1.7;4.0;7.2;51;67;89;-;-;-;-;-
Rivis;2018;2;20;0.0;-2.3;2.5;7.0;56;79;93;-;-;-;-;-
Rivis;2018;2;21;0.0;-0.6;5.0;11.1;43;67;94;-;-;-;-;-
Rivis;2018;2;22;4.6;3.7;5.1;7.7;51;76;96;-;-;-;-;-
Rivis;2018;2;23;4.2;1.5;6.0;10.7;51;74;100;-;-;-;-;-
Rivis;2018;2;24;0.0;0.8;6.2;10.7;52;63;77;-;-;-;-;-
Rivis;2018;2;25;0.0;-4.4;-0.2;4.0;29;46;65;-;-;-;-;-
Rivis;2018;2;26;0.0;-6.7;-2.5;0.5;23;39;53;-;-;-;-;-
Rivis;2018;2;27;0.0;-5.3;-1.9;1.7;28;44;73;-;-;-;-;-
Rivis;2018;2;28;0.0;-7.0;-3.3;0.4;40;59;77;-;-;-;-;-
Rivis;2018;3;1;0.2;-3.8;-1.9;0.3;52;79;100;-;-;-;-;-
Rivis;2018;3;2;3.2;0.2;2.7;6.3;66;93;100;-;-;-;-;-
Rivis;2018;3;3;0.2;2.2;3.6;5.5;83;98;100;-;-;-;-;-
Rivis;2018;3;4;0.0;0.5;6.0;12.7;57;86;100;-;-;-;-;-
Rivis;2018;3;5;2.6;2.0;6.1;11.4;71;90;100;-;-;-;-;-
Rivis;2018;3;6;6.6;3.5;5.3;7.0;95;100;100;-;-;-;-;-
Rivis;2018;3;7;2.2;5.4;6.9;8.9;93;100;100;-;-;-;-;-
Rivis;2018;3;8;0.2;1.1;7.8;14.0;58;90;100;-;-;-;-;-
Rivis;2018;3;9;0.0;2.6;8.2;13.9;68;92;100;-;-;-;-;-
Rivis;2018;3;10;0.0;6.7;9.5;12.5;83;96;100;-;-;-;-;-
Rivis;2018;3;11;61.0;8.3;9.7;11.8;100;100;100;-;-;-;-;-
Rivis;2018;3;12;0.2;8.9;10.4;14.4;78;98;100;-;-;-;-;-
Rivis;2018;3;13;3.6;6.8;10.3;14.8;77;95;100;-;-;-;-;-
Rivis;2018;3;14;0.2;5.9;10.8;16.3;68;89;100;-;-;-;-;-
Rivis;2018;3;15;10.0;7.3;9.4;12.0;76;95;100;-;-;-;-;-
