stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
San Pietro al Natisone;2011;1;1;0.0;-3.9;-0.2;6.4;59;84;93;8;16;-;3555;1001.1
San Pietro al Natisone;2011;1;2;0.0;-1.7;2.9;6.2;47;63;93;17;52;-;2510;997.1
San Pietro al Natisone;2011;1;3;0.0;-4.8;-0.0;6.2;11;47;71;9;32;-;6574;1003.4
San Pietro al Natisone;2011;1;4;0.0;-6.1;-1.7;3.3;17;46;74;12;33;-;4611;1004.0
San Pietro al Natisone;2011;1;5;0.0;-6.7;-3.0;2.5;34;57;69;8;24;-;3409;1004.0
San Pietro al Natisone;2011;1;6;0.8;-1.6;0.4;2.4;49;66;95;5;14;-;1019;1003.2
San Pietro al Natisone;2011;1;7;14.2;0.5;2.5;4.1;95;98;99;6;11;-;400;1005.4
San Pietro al Natisone;2011;1;8;13.2;3.7;5.0;6.0;99;99;99;5;10;-;310;1003.6
San Pietro al Natisone;2011;1;9;1.4;5.3;6.3;7.3;99;99;99;-;9;-;643;1003.0
San Pietro al Natisone;2011;1;10;39.8;6.2;7.3;8.4;99;99;99;5;21;-;331;1000.5
San Pietro al Natisone;2011;1;11;42.4;5.9;6.9;8.2;89;96;99;-;62;-;940;994.8
San Pietro al Natisone;2011;1;12;0.2;3.0;6.6;11.1;73;95;99;6;15;-;5871;999.0
San Pietro al Natisone;2011;1;13;0.0;0.0;3.7;5.7;96;98;99;5;27;-;2148;999.6
San Pietro al Natisone;2011;1;14;0.0;2.3;5.9;9.9;71;91;99;-;22;-;6252;1000.6
San Pietro al Natisone;2011;1;15;0.0;2.6;6.1;10.9;66;88;99;7;26;-;5292;1004.4
San Pietro al Natisone;2011;1;16;0.0;0.5;4.8;12.6;63;91;99;9;24;-;6483;1010.1
San Pietro al Natisone;2011;1;17;0.0;-1.1;2.1;8.8;82;95;99;8;27;-;6882;1008.7
San Pietro al Natisone;2011;1;18;0.0;-2.0;0.3;4.1;97;98;99;8;27;-;7239;1006.4
San Pietro al Natisone;2011;1;19;4.0;-1.6;1.3;3.9;98;98;99;5;23;-;1993;1003.3
San Pietro al Natisone;2011;1;20;0.0;1.1;3.7;8.7;22;65;99;9;30;-;5598;1000.4
San Pietro al Natisone;2011;1;21;0.0;1.7;3.8;5.6;18;28;38;17;44;-;3353;1002.3
San Pietro al Natisone;2011;1;22;0.0;-1.7;2.3;6.3;16;29;43;18;45;-;8409;1001.5
San Pietro al Natisone;2011;1;23;0.0;-5.0;-0.6;6.7;16;47;67;9;21;-;8597;1001.1
San Pietro al Natisone;2011;1;24;0.0;-5.4;-0.7;5.8;25;56;74;9;22;-;5066;1001.6
San Pietro al Natisone;2011;1;25;0.0;-4.1;-0.4;3.2;43;65;79;6;15;-;2489;998.6
San Pietro al Natisone;2011;1;26;0.0;-2.9;1.1;5.5;49;70;82;-;14;-;2607;992.7
San Pietro al Natisone;2011;1;27;0.0;0.1;4.3;8.8;44;59;84;11;39;-;5513;994.5
San Pietro al Natisone;2011;1;28;0.0;0.2;4.0;7.2;21;36;51;23;53;-;9203;999.4
San Pietro al Natisone;2011;1;29;0.0;0.0;2.4;5.4;30;36;45;21;53;-;6090;1001.0
San Pietro al Natisone;2011;1;30;0.0;0.0;2.3;4.1;40;44;49;19;45;-;2991;999.0
San Pietro al Natisone;2011;1;31;0.0;-1.3;1.5;5.1;41;50;58;19;49;-;9305;1002.4
San Pietro al Natisone;2011;2;1;0.0;-1.7;2.4;10.0;21;41;56;19;52;-;9854;1003.6
San Pietro al Natisone;2011;2;2;0.0;-0.8;3.1;10.6;10;32;45;18;52;-;9980;1004.0
San Pietro al Natisone;2011;2;3;0.0;-1.0;2.9;9.8;16;36;49;14;48;-;7703;1006.7
San Pietro al Natisone;2011;2;4;0.0;-0.6;5.3;15.5;9;34;58;9;26;-;10797;1008.6
