stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
San Vito al Tgl.;1999;1;1;3.8;2.2;5.7;6.8;78;89;95;7;18;2;108;-
San Vito al Tgl.;1999;1;2;0.4;1.4;6.5;11.2;66;86;95;6;17;8;3113;-
San Vito al Tgl.;1999;1;3;0.4;2.2;6.9;11.4;82;92;96;4;13;344;2780;-
San Vito al Tgl.;1999;1;4;0.2;0.2;3.9;11.1;73;92;99;3;11;129;5495;-
San Vito al Tgl.;1999;1;5;0;-0.4;4.0;11.6;58;83;94;3;10;247;6706;-
San Vito al Tgl.;1999;1;6;0.2;-2.9;1.7;9.9;65;88;96;2;9;136;6649;-
San Vito al Tgl.;1999;1;7;0.2;-1.7;0.9;3.2;95;96;97;3;14;23;723;-
San Vito al Tgl.;1999;1;8;0;2.6;4.0;5.6;87;95;98;3;12;0;793;-
San Vito al Tgl.;1999;1;9;0;0.9;5.2;9.9;64;86;94;4;19;205;3473;-
San Vito al Tgl.;1999;1;10;5;-1.0;4.0;8.1;63;82;95;6;26;57;2222;-
San Vito al Tgl.;1999;1;11;30;1.8;5.5;8.0;83;91;97;11;31;42;757;-
San Vito al Tgl.;1999;1;12;0.4;-0.6;3.4;6.8;71;89;98;4;15;325;4103;-
San Vito al Tgl.;1999;1;13;0.2;-1.6;2.8;6.3;70;90;97;3;11;263;1859;-
San Vito al Tgl.;1999;1;14;0.2;-2.5;1.6;6.4;59;80;94;4;12;27;6044;-
San Vito al Tgl.;1999;1;15;0;-1.6;1.8;8.5;51;76;91;4;12;36;7748;-
San Vito al Tgl.;1999;1;16;0.2;-2.4;1.4;7.9;70;87;95;3;9;348;5668;-
San Vito al Tgl.;1999;1;17;0;-0.8;3.1;8.8;61;81;93;4;10;26;6712;-
San Vito al Tgl.;1999;1;18;0.2;-2.2;1.1;7.6;74;90;96;3;9;260;5098;-
San Vito al Tgl.;1999;1;19;0;-2.4;3.9;14.3;43;77;96;5;15;8;6966;-
San Vito al Tgl.;1999;1;20;0.2;-2.1;3.0;12.0;43;75;91;4;10;31;8290;-
San Vito al Tgl.;1999;1;21;0;-2.8;3.8;14.9;33;72;92;4;10;8;8927;-
San Vito al Tgl.;1999;1;22;0.2;-3.4;2.0;11.0;45;79;95;3;10;237;9438;-
San Vito al Tgl.;1999;1;23;0.2;-3.7;2.3;12.3;31;76;95;3;8;12;9513;-
San Vito al Tgl.;1999;1;24;0;-4.0;1.8;10.7;44;76;95;2;8;262;9255;-
San Vito al Tgl.;1999;1;25;0.2;-3.7;1.6;10.4;48;78;94;3;10;223;9213;-
San Vito al Tgl.;1999;1;26;0.2;-3.9;1.3;5.5;74;90;97;3;10;63;4695;-
San Vito al Tgl.;1999;1;27;0.2;-1.9;3.4;8.0;68;85;97;4;14;357;2482;-
San Vito al Tgl.;1999;1;28;0.2;-4.0;2.2;8.6;63;82;94;5;19;176;7500;-
San Vito al Tgl.;1999;1;29;0;-3.6;2.5;11.5;9;43;85;13;54;31;9382;-
San Vito al Tgl.;1999;1;30;0;-4.5;0.2;3.9;8;11;26;19;55;4;11170;-
San Vito al Tgl.;1999;1;31;0;-8.9;-2.5;2.4;9;32;73;7;26;29;7816;-
San Vito al Tgl.;1999;2;1;0;-9.4;-2.0;4.2;12;46;78;4;17;281;8835;-
San Vito al Tgl.;1999;2;2;0;-4.3;0.5;6.8;12;44;70;3;10;353;7531;-
San Vito al Tgl.;1999;2;3;0;-5.9;1.7;11.0;25;60;86;4;12;271;9832;-
San Vito al Tgl.;1999;2;4;0;-3.1;3.1;12.2;29;64;88;4;14;19;10577;-
San Vito al Tgl.;1999;2;5;0;-3.6;2.1;9.4;52;75;92;5;22;74;9776;-
San Vito al Tgl.;1999;2;6;0;-3.8;3.5;12.5;10;67;95;7;33;270;11174;-
San Vito al Tgl.;1999;2;7;0;-3.7;2.7;9.9;45;65;84;6;16;19;9727;-
