stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Sappada (ARPAV);2018;1;1;14.2;-4.4;-2.7;-0.7;92;96;98;1;-;-;21;-
Sappada (ARPAV);2018;1;2;0.0;-8.3;-4.2;1.2;69;89;96;2;-;-;635;-
Sappada (ARPAV);2018;1;3;2.0;-7.7;-5.3;-1.8;73;89;95;2;-;-;552;-
Sappada (ARPAV);2018;1;4;1.0;-5.5;-2.9;-1;86;92;98;1;-;-;112;-
Sappada (ARPAV);2018;1;5;0.0;-6.1;-1.9;0.9;94;96;99;0;-;-;98;-
Sappada (ARPAV);2018;1;6;0.2;0.1;0.9;2.6;95;99;100;1;-;-;476;-
Sappada (ARPAV);2018;1;7;0.6;0.1;1.0;3.8;91;99;100;1;-;-;755;-
Sappada (ARPAV);2018;1;8;11.4;0.1;1.4;3;98;100;100;1;-;-;392;-
Sappada (ARPAV);2018;1;9;84.4;0.0;1.4;4.5;0;91;100;3;-;-;21;-
Sappada (ARPAV);2018;1;10;0.0;-1.2;0.6;4.9;0;80;100;1;-;-;1214;-
Sappada (ARPAV);2018;1;11;0.0;-4.3;-1.5;4;0;85;98;0;-;-;1033;-
Sappada (ARPAV);2018;1;12;0.0;-6.2;-3.6;2.3;63;89;96;1;-;-;1277;-
Sappada (ARPAV);2018;1;13;0.0;-3.9;-1.6;3;69;86;92;1;-;-;691;-
Sappada (ARPAV);2018;1;14;0.0;-3.2;-2.2;-1.3;90;93;97;3;-;-;322;-
Sappada (ARPAV);2018;1;15;1.2;-5.5;-3.3;2.5;57;88;98;2;-;-;1674;-
Sappada (ARPAV);2018;1;16;0.2;-5.7;-3.4;0;67;90;97;1;-;-;1187;-
Sappada (ARPAV);2018;1;17;0.4;-5.7;-3.0;0.3;34;70;97;7;-;-;1088;-
Sappada (ARPAV);2018;1;18;0.0;-9.2;-4.9;1.1;43;74;89;1;-;-;1953;-
Sappada (ARPAV);2018;1;19;0.0;-9.6;-5.4;1.6;48;75;93;1;-;-;1242;-
Sappada (ARPAV);2018;1;20;2.2;-10.2;-4.8;1.4;42;76;96;1;-;-;1799;-
Sappada (ARPAV);2018;1;21;0.6;-9.3;-3.4;0.9;31;68;95;5;-;-;1012;-
Sappada (ARPAV);2018;1;22;0.0;-9.7;-4.4;2.3;44;67;83;1;-;-;2014;-
Sappada (ARPAV);2018;1;23;0.0;-6.2;-1.2;7.9;30;73;94;3;-;-;2042;-
Sappada (ARPAV);2018;1;24;0.0;-5.9;-2.5;4.9;47;81;92;0;-;-;1945;-
Sappada (ARPAV);2018;1;25;0.0;-6.5;-2.3;3.4;60;86;95;1;-;-;2043;-
Sappada (ARPAV);2018;1;26;0.0;-4.9;-1.3;3.4;72;90;98;1;-;-;1158;-
Sappada (ARPAV);2018;1;27;0.0;-4.3;-1.1;5.9;58;87;98;1;-;-;2245;-
Sappada (ARPAV);2018;1;28;0.0;-4.2;0.2;7.2;49;79;97;1;-;-;2300;-
Sappada (ARPAV);2018;1;29;0.0;-1.9;1.6;9.9;40;75;90;1;-;-;2719;-
Sappada (ARPAV);2018;1;30;0.0;-3.7;0.6;9.7;34;73;89;2;-;-;2936;-
Sappada (ARPAV);2018;1;31;0.0;-4.8;-1.3;3.7;67;91;99;3;-;-;1954;-
Sappada (ARPAV);2018;2;1;8.8;-1.1;-0.4;0.3;95;98;99;2;-;-;294;-
Sappada (ARPAV);2018;2;2;10.2;-4.6;-2.6;-0.3;85;93;99;1;-;-;70;-
Sappada (ARPAV);2018;2;3;0.4;-9.1;-5.1;0.7;63;86;93;0;-;-;349;-
Sappada (ARPAV);2018;2;4;0.0;-10.4;-6.2;0.2;62;84;92;1;-;-;1249;-
Sappada (ARPAV);2018;2;5;0.0;-10.4;-6.2;1.3;50;81;91;1;-;-;3110;-
Sappada (ARPAV);2018;2;6;0.0;-10.4;-4.1;6.2;51;82;94;1;-;-;2706;-
Sappada (ARPAV);2018;2;7;1.2;-3.0;-1.2;2.1;80;91;96;1;-;-;851;-
Sappada (ARPAV);2018;2;8;1.8;-2.5;-0.3;5.3;58;89;98;3;-;-;2085;-
Sappada (ARPAV);2018;2;9;0.2;-3.4;-1.4;0.9;68;90;96;2;-;-;872;-
Sappada (ARPAV);2018;2;10;0.0;-9.2;-3.6;5.2;40;81;95;1;-;-;2860;-
Sappada (ARPAV);2018;2;11;0.0;-11.8;-5.7;2.5;36;75;90;1;-;-;3236;-
Sappada (ARPAV);2018;2;12;7.6;-8.0;-4.3;0.1;70;85;93;1;-;-;746;-
Sappada (ARPAV);2018;2;13;0.0;-13.1;-7.8;-1.5;41;74;88;1;-;-;2281;-
Sappada (ARPAV);2018;2;14;0.0;-14.6;-9.3;3.2;34;67;87;1;-;-;3620;-
