stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Sgonico-Zgonik;2003;1;1;0.0;0.2;5.1;7.9;53;66;89;16;50;45;8102;988.0
Sgonico-Zgonik;2003;1;2;11.6;0.5;6.3;9.5;84;93;96;5;26;151;538;983.8
Sgonico-Zgonik;2003;1;3;0.0;3.4;6.8;8.8;83;94;97;4;18;152;2146;979.7
Sgonico-Zgonik;2003;1;4;0.2;3.8;7.0;9.0;80;92;96;5;14;220;1883;978.5
Sgonico-Zgonik;2003;1;5;16.8;0.1;4.4;8.7;67;77;89;21;55;98;1839;977.3
Sgonico-Zgonik;2003;1;6;0.0;-1.6;1.4;4.8;59;71;93;16;50;38;2216;984.9
Sgonico-Zgonik;2003;1;7;0.0;-6.3;-1.9;-0.3;59;70;93;27;68;78;1805;980.5
Sgonico-Zgonik;2003;1;8;0.0;-5.9;-1.4;0.3;50;60;70;19;53;52;2196;988.9
Sgonico-Zgonik;2003;1;9;0.0;-5.2;-3.5;-1.6;60;73;89;28;64;50;1153;984.3
Sgonico-Zgonik;2003;1;10;0.0;-4.2;-2.5;-0.8;59;67;86;19;51;73;1805;990.1
Sgonico-Zgonik;2003;1;11;0.0;-4.3;-2.6;-1.3;41;51;61;33;64;43;8677;997.3
Sgonico-Zgonik;2003;1;12;0.0;-6.5;-3.9;1.4;22;36;46;15;45;67;9873;1003.5
Sgonico-Zgonik;2003;1;13;0.0;-6.8;-0.9;7.0;30;54;71;6;39;62;8138;1004.1
Sgonico-Zgonik;2003;1;14;0.0;-5.2;0.8;7.5;35;68;86;4;13;142;9040;1007.4
Sgonico-Zgonik;2003;1;15;0.0;-2.9;2.0;7.8;55;83;96;4;15;193;7198;1008.1
Sgonico-Zgonik;2003;1;16;0.8;-0.8;3.4;5.5;81;89;95;5;13;86;984;1004.8
Sgonico-Zgonik;2003;1;17;0.2;-0.8;4.8;8.9;52;69;95;16;35;57;9199;1003.1
Sgonico-Zgonik;2003;1;18;0.0;3.1;5.6;10.2;46;58;68;19;42;76;6103;995.6
Sgonico-Zgonik;2003;1;19;0.0;-0.7;5.6;11.1;39;53;75;14;40;66;9810;991.9
Sgonico-Zgonik;2003;1;20;0.0;-2.4;2.9;10.9;40;69;93;4;14;311;9174;991.3
Sgonico-Zgonik;2003;1;21;17.6;0.6;6.6;8.9;70;89;95;10;28;134;692;983.1
Sgonico-Zgonik;2003;1;22;24.6;4.7;6.6;8.4;89;94;96;5;34;82;993;978.9
Sgonico-Zgonik;2003;1;23;0.2;0.1;5.8;10.5;59;78;96;9;27;70;5584;988.9
Sgonico-Zgonik;2003;1;24;0.0;0.7;6.6;10.1;44;58;80;15;40;51;10195;999.0
Sgonico-Zgonik;2003;1;25;0.0;3.8;6.2;8.7;49;56;64;24;62;42;9976;1002.6
Sgonico-Zgonik;2003;1;26;0.0;2.2;5.4;9.8;40;55;64;16;45;14;10099;999.7
Sgonico-Zgonik;2003;1;27;0.0;-1.3;3.0;7.6;49;63;78;13;42;45;4976;999.4
Sgonico-Zgonik;2003;1;28;0.0;-0.9;4.0;8.5;49;66;80;6;22;63;6674;988.7
Sgonico-Zgonik;2003;1;29;1.4;-3.2;2.9;6.7;51;69;87;12;39;118;2645;977.9
Sgonico-Zgonik;2003;1;30;0.0;-5.1;2.2;7.8;59;72;90;9;33;34;6867;975.0
Sgonico-Zgonik;2003;1;31;0.0;1.8;3.4;7.3;40;55;72;22;53;26;11008;978.8
Sgonico-Zgonik;2003;2;1;0.0;-2.3;1.2;3.9;35;43;52;24;54;28;11585;991.4
Sgonico-Zgonik;2003;2;2;0.0;-7.2;-2.6;1.4;35;48;62;14;41;63;9298;993.5
Sgonico-Zgonik;2003;2;3;3.4;-8.2;-0.1;5.4;48;62;91;6;29;153;8054;986.7
Sgonico-Zgonik;2003;2;4;37.6;2.2;4.2;6.1;57;85;96;13;43;47;789;965.8
Sgonico-Zgonik;2003;2;5;0.0;-2.3;2.7;7.5;30;50;72;10;40;0;10605;972.0
Sgonico-Zgonik;2003;2;6;0.0;-4.8;1.6;8.3;26;51;77;7;23;57;12629;986.0
Sgonico-Zgonik;2003;2;7;0.0;-3.9;1.7;6.9;21;37;55;8;22;78;12989;997.2
Sgonico-Zgonik;2003;2;8;0.0;-1.7;2.8;8.1;16;50;74;8;34;58;11041;997.5
Sgonico-Zgonik;2003;2;9;0.0;-1.6;0.6;5.5;44;58;67;17;37;43;12485;998.4
Sgonico-Zgonik;2003;2;10;0.0;-2.2;0.4;4.7;47;57;66;14;37;34;12291;998.4
Sgonico-Zgonik;2003;2;11;0.0;-;-;-;-;-;-;-;-;-;-;-
Sgonico-Zgonik;2003;2;12;0.0;-2.3;-0.1;3.6;43;51;59;25;55;46;11125;1001.9
Sgonico-Zgonik;2003;2;13;0.0;-3.8;-1.7;0.7;44;52;58;26;60;25;5790;1001.4
Sgonico-Zgonik;2003;2;14;0.0;-4.1;-1.0;4.1;42;52;59;17;40;65;10708;1000.9
Sgonico-Zgonik;2003;2;15;0.0;-3.4;1.1;8.2;34;46;56;18;52;59;10883;1000.5
Sgonico-Zgonik;2003;2;16;0.0;-1.6;0.3;3.8;43;50;57;24;54;58;12121;1003.6
Sgonico-Zgonik;2003;2;17;0.0;-2.3;-0.5;3.6;43;52;58;32;69;41;11279;1005.0
Sgonico-Zgonik;2003;2;18;0.0;-4.3;0.7;6.0;21;39;58;21;61;67;13019;998.7
Sgonico-Zgonik;2003;2;19;0.0;-4.1;1.3;7.2;34;48;66;14;48;54;12641;995.2
Sgonico-Zgonik;2003;2;20;0.0;-3.1;3.7;9.6;31;47;60;10;35;78;12958;993.2
Sgonico-Zgonik;2003;2;21;0.0;-0.6;4.2;9.9;40;52;64;21;50;97;13176;999.5
Sgonico-Zgonik;2003;2;22;0.0;0.2;2.9;7.5;45;54;64;19;48;84;13519;1006.8
