stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Talmassons;2012;1;1;0;-1;3.5;11.2;53;84;99;6;18;40;6496;1021.7
Talmassons;2012;1;2;13.6;-1.6;3.9;7.7;80;97;99;6;22;35;1180;1020.2
Talmassons;2012;1;3;15.3;5.7;8.2;10;82;92;99;13;48;0;1189;1023.0
Talmassons;2012;1;4;0;0.6;5.5;8.8;91;98;99;4;15;356;2329;1018.9
Talmassons;2012;1;5;0.1;0.2;2.9;5.2;91;99;99;6;29;1;1765;1004.5
Talmassons;2012;1;6;0;-0.5;6.9;12.2;28;58;99;19;49;334;6521;1003.6
Talmassons;2012;1;7;0;-1.2;3.7;9;37;75;96;9;20;344;5102;1016.3
Talmassons;2012;1;8;0;-2.4;2.6;9.8;64;89;99;5;24;240;7584;1015.5
Talmassons;2012;1;9;0;-3.3;3;11;47;84;99;5;13;246;7678;1022.9
Talmassons;2012;1;10;0;-1.2;3.5;11.8;55;83;99;6;20;319;7495;1026.9
Talmassons;2012;1;11;0;-1.9;3.1;11.5;50;85;99;4;12;44;7667;1031.7
Talmassons;2012;1;12;0;-3;2.3;10.7;53;89;100;4;12;45;7765;1027.4
Talmassons;2012;1;13;0;-2.2;2.7;10;63;94;99;6;19;48;3965;1017.9
Talmassons;2012;1;14;0;-5.7;2.1;10.4;35;70;98;6;18;35;8417;1019.6
Talmassons;2012;1;15;0;-5.4;0.6;9.8;23;65;97;5;18;46;8450;1019.9
Talmassons;2012;1;16;0;-5.7;0.7;7.3;30;64;89;5;20;112;8174;1023.7
Talmassons;2012;1;17;0;-5.8;-0.5;6.7;44;80;99;4;13;203;7926;1027.1
Talmassons;2012;1;18;0;-7.1;-1.9;6.4;60;92;99;4;12;300;7582;1031.4
Talmassons;2012;1;19;0;-3.2;-0.5;0.8;99;99;99;4;9;300;1544;1027.4
Talmassons;2012;1;20;0;-3.2;0.3;5;99;99;99;5;23;104;2366;1014.3
Talmassons;2012;1;21;0;-0.5;3.6;11.1;47;85;99;6;23;44;8176;1014.4
Talmassons;2012;1;22;0;-2.6;3.5;11.1;71;93;99;5;16;197;6346;1010.1
Talmassons;2012;1;23;0;-1.8;3.5;11.6;79;97;99;4;16;215;3254;1012.6
Talmassons;2012;1;24;1.8;-1.1;5;12.5;37;78;99;9;30;350;6780;1013.3
Talmassons;2012;1;25;0;-4.5;2.3;11.8;21;71;99;6;21;97;9810;1018.6
Talmassons;2012;1;26;0;-5.6;0.5;8;39;72;98;4;14;64;9419;1020.6
Talmassons;2012;1;27;0;-5.2;0.8;7.6;39;73;98;6;19;36;8956;1025.0
Talmassons;2012;1;28;0;-3.5;1.9;7.6;38;65;95;9;18;39;6422;1025.1
Talmassons;2012;1;29;0;-1.2;2.1;5.8;43;58;77;20;44;76;7522;1023.3
Talmassons;2012;1;30;0;-0.3;2.1;6.3;31;45;59;21;46;68;8372;1024.3
Talmassons;2012;1;31;0;-1.5;0.1;2.1;31;42;51;23;47;67;4010;1021.5
Talmassons;2012;2;1;0;-0.9;1;2.9;27;38;50;35;67;50;1934;1016.2
Talmassons;2012;2;2;0;-2.8;-0.6;1.8;28;33;41;32;57;34;5526;1018.9
Talmassons;2012;2;3;0.1;-3.9;-2.5;-0.5;31;37;42;37;70;64;8446;1019.7
Talmassons;2012;2;4;0;-4.5;-1.9;0.1;27;44;55;26;64;60;3411;1020.9
Talmassons;2012;2;5;0;-6.4;-3.8;0.1;35;47;57;21;45;73;9881;1024.8
Talmassons;2012;2;6;0;-6.6;-1.9;2.6;35;45;54;21;50;60;10273;1018.4
Talmassons;2012;2;7;0;-1.4;1.5;4.4;43;48;57;21;64;79;2595;1014.7
Talmassons;2012;2;8;0;-3.6;2.8;8.4;17;30;45;24;71;68;9553;1024.2
Talmassons;2012;2;9;0;-4.5;0.5;7;23;36;52;16;41;78;10294;1022.3
Talmassons;2012;2;10;0.2;-3;-1.1;0.6;35;39;46;35;72;64;6721;1023.1
Talmassons;2012;2;11;0;-3.7;-1.6;0;36;43;50;35;71;75;4633;1019.8
Talmassons;2012;2;12;0;-3.3;-0.1;3.5;37;49;79;25;62;74;10947;1020.5
Talmassons;2012;2;13;0;-5.3;-0.2;5.2;46;63;83;6;18;306;10125;1018.0
Talmassons;2012;2;14;0;-7.1;-1;7.5;36;68;97;7;24;228;11570;1014.5
Talmassons;2012;2;15;0;-6.9;-0.4;5.6;54;75;98;8;22;150;9990;1006.9
Talmassons;2012;2;16;0;-7;2.2;12;31;67;99;8;21;258;12474;1014.7
Talmassons;2012;2;17;0;-4.3;2.2;11.1;39;71;99;6;29;151;11960;1021.4
Talmassons;2012;2;18;0;-4.8;2.7;12.8;38;78;99;6;18;151;12255;1020.8
Talmassons;2012;2;19;4.9;-1.4;4.8;9.4;52;83;99;5;17;34;2931;1018.9
Talmassons;2012;2;20;18.3;3.6;5.4;7.4;60;78;99;21;44;55;3633;1027.0
Talmassons;2012;2;21;0;1.1;5.8;11.7;41;64;87;12;31;52;13536;1029.9
Talmassons;2012;2;22;0;-1.5;6.9;14.9;33;61;93;12;32;84;13888;1027.3
Talmassons;2012;2;23;0;1.2;8.2;15.7;39;69;99;8;27;33;11185;1022.9
Talmassons;2012;2;24;0;-0.5;7.7;17.6;34;79;99;6;16;232;13628;1023.3
Talmassons;2012;2;25;0;0.2;7.7;18;35;77;99;5;17;194;12719;1016.7
Talmassons;2012;2;26;0;-0.4;8.2;17.2;26;65;99;12;47;112;11007;1013.1
Talmassons;2012;2;27;0;-2.7;4.9;11.8;36;73;99;9;33;228;14688;1021.7
Talmassons;2012;2;28;0;-2.6;4;12.3;52;85;99;6;27;281;13210;1021.8
Talmassons;2012;2;29;0;-2.1;6.2;16.6;46;83;99;6;19;203;13038;1017.5
Talmassons;2012;3;1;0;0.3;9.5;20.1;42;77;99;8;29;252;14088;1023.5
Talmassons;2012;3;2;0;0.9;9.8;19.8;45;80;99;4;15;228;14539;1022.8
Talmassons;2012;3;3;0;1.5;10.6;20.3;46;77;99;7;23;197;14292;1020.9
Talmassons;2012;3;4;0;6.4;11.8;17.4;32;57;88;7;18;79;8746;1018.6
Talmassons;2012;3;5;0;6.8;10.5;15.1;23;48;77;10;32;52;6480;1015.3
Talmassons;2012;3;6;0;3.9;10;15.7;22;38;53;21;46;54;15141;1019.8
Talmassons;2012;3;7;0;0.9;6.6;13.8;24;48;97;8;23;69;16016;1024.0
