stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Tarvisio;2007;1;1;1.6;0.4;3.2;5.7;73;81;93;9;27;265;892;937.0
Tarvisio;2007;1;2;0;-3.5;0.1;1.5;89;92;94;4;20;82;2709;930.7
Tarvisio;2007;1;3;0;-5.8;-1.5;6.2;39;72;91;3;12;280;4966;938.2
Tarvisio;2007;1;4;0;-2;1.3;5;38;58;75;8;23;295;2382;933.1
Tarvisio;2007;1;5;0;-3;0.1;6.6;44;71;80;5;18;300;5200;934.2
Tarvisio;2007;1;6;0;-2.1;2.1;7.3;55;73;84;6;24;281;5390;937.6
Tarvisio;2007;1;7;0;-0.1;3.2;6.4;59;71;82;9;32;245;5121;935.5
Tarvisio;2007;1;8;0;0.9;3.5;6.5;69;77;89;10;22;283;2182;931.5
Tarvisio;2007;1;9;0;2.1;4.3;8.9;58;78;89;10;26;282;4832;934.7
Tarvisio;2007;1;10;0;1.9;4.7;6.5;72;79;89;13;35;285;3185;938.4
Tarvisio;2007;1;11;0;0.8;5.2;8;71;78;92;10;31;262;4533;934.9
Tarvisio;2007;1;12;0;-0.8;4.1;13.2;7;61;92;6;33;273;5885;933.9
Tarvisio;2007;1;13;0;-0.7;3.6;9.6;42;63;82;9;26;282;4438;938.0
Tarvisio;2007;1;14;0;-1.5;3.1;10.3;55;75;86;10;31;283;6362;939.4
Tarvisio;2007;1;15;0;-3.9;1;9.4;46;76;91;4;18;323;6024;943.2
Tarvisio;2007;1;16;0;-0.4;4.1;9.8;43;66;82;14;31;271;5297;938.4
Tarvisio;2007;1;17;0;-0.9;3.1;8;59;78;90;9;21;277;4669;937.4
Tarvisio;2007;1;18;0;0.9;4.7;6.8;62;73;90;12;29;282;2889;930.6
Tarvisio;2007;1;19;0;2.6;6.2;13;56;72;82;14;40;277;5889;925.4
Tarvisio;2007;1;20;0;0.1;5.1;9.6;58;78;89;6;24;259;1964;932.4
Tarvisio;2007;1;21;0;4.5;7.2;9.8;60;75;87;8;24;287;2552;927.8
Tarvisio;2007;1;22;14.8;0.3;1.4;5.3;68;90;93;5;14;116;809;928.8
Tarvisio;2007;1;23;56.2;-0.3;0.3;0.6;93;93;94;-;-;-;415;917.9
Tarvisio;2007;1;24;7.4;-3.6;-0.1;4.5;77;90;100;5;38;-;3264;909.3
Tarvisio;2007;1;25;0;-4.6;-3.4;1.4;65;81;90;7;25;-;6290;924.8
Tarvisio;2007;1;26;0;-10.1;-4.6;-2.3;64;78;85;6;23;-;3840;931.6
Tarvisio;2007;1;27;0;-12;-6.3;1.5;52;78;87;3;16;283;5882;933.4
Tarvisio;2007;1;28;0;-10;-2.6;4;47;74;86;8;31;258;8716;936.7
Tarvisio;2007;1;29;0;-7;-1.3;5;42;78;91;4;25;273;8587;929.5
Tarvisio;2007;1;30;0;-7.3;-1.1;7;37;77;90;5;16;269;8563;933.9
Tarvisio;2007;1;31;0;-7;0.1;7;52;76;89;8;24;264;9081;933.8
Tarvisio;2007;2;1;0;-5.3;1;7;50;75;90;9;30;291;7805;933.7
Tarvisio;2007;2;2;0;-7.5;-0.5;11.8;19;69;90;3;10;285;9348;939.7
Tarvisio;2007;2;3;0;-5;1.8;10.8;7;54;89;6;32;103;9592;936.3
Tarvisio;2007;2;4;0;-7.2;-0.7;11.5;8;55;78;3;12;96;9947;938.6
Tarvisio;2007;2;5;0;-7.9;0.5;8.9;20;57;80;9;30;286;9554;930.1
Tarvisio;2007;2;6;4.2;-4.6;0.5;5.4;53;75;92;8;25;277;5888;919.7
Tarvisio;2007;2;7;1.4;-0.3;1.8;7.4;62;87;95;2;14;280;5405;916.7
Tarvisio;2007;2;8;0.8;0.6;3;6.4;59;81;94;5;20;279;4975;917.0
Tarvisio;2007;2;9;1.6;-1.4;2.3;7.4;74;89;95;2;11;278;4069;920.8
Tarvisio;2007;2;10;0;-2.6;1.2;10.2;51;83;95;3;13;294;7692;922.3
Tarvisio;2007;2;11;0;-4.1;1.2;10.4;42;79;94;2;12;262;6734;923.7
Tarvisio;2007;2;12;13.4;-1.8;2.4;8.6;56;80;92;5;17;225;4221;919.1
Tarvisio;2007;2;13;3.2;-2.7;1.8;10;56;85;94;2;8;126;8881;919.2
