stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Terzo d'Aquileia;2020;1;1;0;-0.6;4.8;14.4;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;2;0;-0.7;4;12.7;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;3;0.2;-2.1;3.1;10.7;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;4;0.2;-1.7;3.2;10.6;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;5;0;-1.7;5.1;14.5;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;6;0;-2.0;3.1;10.2;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;7;0;-3.1;1.5;6.0;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;8;0;-1.5;5.1;13.1;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;9;0;-0.3;5;12.4;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;10;0.2;-1.9;2.7;9.7;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;11;0.2;-0.9;6.6;17.5;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;12;0;-1.6;4.2;11.7;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;13;0;-1.5;4.4;12.9;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;14;0.2;-3.7;2;9.8;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;15;0;-0.3;4.4;9.0;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;16;0;0.1;5.4;12.7;-;-;-;-;-;-;-;-
Terzo d'Aquileia;2020;1;17;0;1.1;5.7;13.5;61;87;100;-;-;-;-;-
Terzo d'Aquileia;2020;1;18;2.2;2.0;6.2;9.3;78;95;100;-;-;-;-;-
