stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Tolmezzo;2010;1;1;1;3.1;5.3;7.8;89;95;98;5;18;285;2476;-
Tolmezzo;2010;1;2;2.2;-2.9;2;5.3;46;86;99;8;28;292;275;-
Tolmezzo;2010;1;3;0;-5.5;-2.8;2.3;43;75;86;10;29;308;7116;-
Tolmezzo;2010;1;4;0;-6.8;-3.2;-0.8;60;73;83;8;21;313;2159;-
Tolmezzo;2010;1;5;0.6;-1.8;0.1;2.2;61;73;97;6;21;307;1816;-
Tolmezzo;2010;1;6;0.4;-0.4;1.6;3.2;90;97;99;4;20;125;2257;-
Tolmezzo;2010;1;7;0.2;-0.1;2.3;7.2;75;95;99;4;16;303;5166;-
Tolmezzo;2010;1;8;45.6;0.2;0.6;1.3;99;99;99;-;-;-;290;-
Tolmezzo;2010;1;9;21;0.5;1.4;2.3;99;99;99;6;17;282;868;-
Tolmezzo;2010;1;10;1.6;1;2.3;5.4;97;99;99;3;11;296;2401;-
Tolmezzo;2010;1;11;0.4;1.2;2;3;99;99;99;3;10;332;1185;-
Tolmezzo;2010;1;12;0;0.5;2.1;4.8;85;97;99;4;15;291;4424;-
Tolmezzo;2010;1;13;0;-0.9;1.7;4.8;77;95;99;4;14;297;3225;-
Tolmezzo;2010;1;14;0;-2.4;0.2;4.3;65;91;99;4;14;312;4101;-
Tolmezzo;2010;1;15;0;-3;0.5;7.1;55;84;98;5;17;317;7626;-
Tolmezzo;2010;1;16;0;-3.6;-0.7;6.3;51;83;96;6;19;160;7712;-
Tolmezzo;2010;1;17;0;-2.8;-0.5;5.1;60;85;97;4;13;170;6975;-
Tolmezzo;2010;1;18;0;-3.5;0.7;8.2;50;80;94;6;21;318;5435;-
Tolmezzo;2010;1;19;0;-3.8;0.2;7.8;43;75;88;6;19;316;8102;-
Tolmezzo;2010;1;20;0;-4.4;-0.5;7;47;77;89;5;14;293;8170;-
Tolmezzo;2010;1;21;0;-5.3;-1.1;6.7;53;78;90;5;17;289;8421;-
Tolmezzo;2010;1;22;0;-6;-1.3;4.9;59;82;94;5;27;117;7745;-
Tolmezzo;2010;1;23;0;-6;-1.7;4.8;55;79;93;5;15;327;8223;-
Tolmezzo;2010;1;24;0;-6.8;-3.2;2.3;60;83;94;5;14;150;5926;-
Tolmezzo;2010;1;25;0;-6.8;-2.7;4.2;45;77;93;5;15;291;7579;-
Tolmezzo;2010;1;26;0;-6.3;-1.5;2.3;48;72;90;6;30;31;3507;-
Tolmezzo;2010;1;27;0;-5.3;-1.3;7.1;33;65;85;9;36;281;8747;-
Tolmezzo;2010;1;28;0;-5.2;-2.2;3.8;49;72;87;6;23;148;6635;-
Tolmezzo;2010;1;29;0.2;-7;-1.5;3.7;46;68;93;6;26;127;5459;-
Tolmezzo;2010;1;30;3;-1.7;0.5;4.2;61;86;99;6;24;0;3829;-
Tolmezzo;2010;1;31;0;-5.4;-1;4.1;23;68;94;8;25;8;4851;-
Tolmezzo;2010;2;1;0;-10;-3.3;4.3;29;59;77;8;26;135;10146;-
Tolmezzo;2010;2;2;0;-8.4;-2.2;5.2;32;61;75;7;29;103;10142;-
Tolmezzo;2010;2;3;0;-6.1;-1.4;6.1;37;63;76;8;23;304;9138;-
Tolmezzo;2010;2;4;0;-4.7;0.4;8.2;45;70;86;8;23;282;8185;-
Tolmezzo;2010;2;5;16.6;-0.2;1.2;2.3;75;92;99;6;17;287;1221;-
Tolmezzo;2010;2;6;0.4;1.1;3.3;6.1;86;95;99;10;26;316;2932;-
Tolmezzo;2010;2;7;0;-2.3;3.7;11.3;32;77;99;7;23;298;10997;-
Tolmezzo;2010;2;8;0;-4.1;0.7;7.3;45;75;97;7;25;124;10782;-
Tolmezzo;2010;2;9;0;-6;-1;4.4;57;81;95;4;14;272;7030;-
Tolmezzo;2010;2;10;1.2;-0.9;1.4;3.4;59;84;99;10;35;265;2279;-
Tolmezzo;2010;2;11;0;0.9;1.7;3.1;61;84;92;12;33;289;2730;-
Tolmezzo;2010;2;12;0;-1;2.5;8.3;38;68;92;12;30;0;11289;-
Tolmezzo;2010;2;13;0;-0.9;2.5;7.9;44;70;84;10;32;116;11045;-
Tolmezzo;2010;2;14;0;-1.8;2.4;9.7;36;72;92;5;20;295;8856;-
Tolmezzo;2010;2;15;0;-2.9;1.4;7.1;45;65;82;9;28;135;11253;-
Tolmezzo;2010;2;16;0;-2.5;2.5;9.1;43;70;89;7;24;120;10629;-
Tolmezzo;2010;2;17;0;1.8;5.9;13.8;44;70;81;7;27;131;9072;-
Tolmezzo;2010;2;18;0.2;3.2;6.2;9.6;78;93;99;6;24;132;3462;-
Tolmezzo;2010;2;19;62.8;1;3.6;6.3;97;99;99;10;29;292;557;-
Tolmezzo;2010;2;20;15.2;0.7;2.8;3.8;95;98;99;8;24;307;1142;-
Tolmezzo;2010;2;21;0;-2;1.9;6.7;59;84;98;8;26;147;10180;-
Tolmezzo;2010;2;22;1;0.6;3.1;5.3;83;96;99;4;16;301;3136;-
Tolmezzo;2010;2;23;0.8;1.4;5.1;11.1;67;87;97;5;17;314;5400;-
Tolmezzo;2010;2;24;0;2.4;7.4;14.7;56;79;93;8;21;170;10093;-
