stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Trieste Ist. Nautico;2015;1;1;-;-;-;-;-;-;-;10;53;95;-;-
Trieste Ist. Nautico;2015;1;2;-;-;-;-;-;-;-;4;26;106;-;-
Trieste Ist. Nautico;2015;1;3;-;-;-;-;-;-;-;8;44;117;-;-
Trieste Ist. Nautico;2015;1;4;-;-;-;-;-;-;-;5;42;329;-;-
Trieste Ist. Nautico;2015;1;5;-;-;-;-;-;-;-;8;31;29;-;-
Trieste Ist. Nautico;2015;1;6;-;-;-;-;-;-;-;8;34;121;-;-
Trieste Ist. Nautico;2015;1;7;-;-;-;-;-;-;-;5;27;104;-;-
Trieste Ist. Nautico;2015;1;8;-;-;-;-;-;-;-;3;15;146;-;-
Trieste Ist. Nautico;2015;1;9;-;-;-;-;-;-;-;4;21;278;-;-
Trieste Ist. Nautico;2015;1;10;-;-;-;-;-;-;-;4;16;326;-;-
Trieste Ist. Nautico;2015;1;11;-;-;-;-;-;-;-;9;43;69;-;-
Trieste Ist. Nautico;2015;1;12;-;-;-;-;-;-;-;7;26;197;-;-
Trieste Ist. Nautico;2015;1;13;-;-;-;-;-;-;-;6;21;130;-;-
Trieste Ist. Nautico;2015;1;14;-;-;-;-;-;-;-;5;21;0;-;-
Trieste Ist. Nautico;2015;1;15;-;-;-;-;-;-;-;4;13;319;-;-
Trieste Ist. Nautico;2015;1;16;-;-;-;-;-;-;-;6;36;155;-;-
Trieste Ist. Nautico;2015;1;17;-;-;-;-;-;-;-;10;48;117;-;-
Trieste Ist. Nautico;2015;1;18;-;-;-;-;-;-;-;5;14;147;-;-
Trieste Ist. Nautico;2015;1;19;-;-;-;-;-;-;-;5;28;97;-;-
Trieste Ist. Nautico;2015;1;20;-;-;-;-;-;-;-;4;13;257;-;-
Trieste Ist. Nautico;2015;1;21;-;-;-;-;-;-;-;8;31;123;-;-
Trieste Ist. Nautico;2015;1;22;-;-;-;-;-;-;-;9;66;70;-;-
