stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Trieste molo F.lli Bandiera;1995;1;1;6;7.5;9.3;10.7;57;73;84;15;51;59;977;995.0
Trieste molo F.lli Bandiera;1995;1;2;0;4.5;7.0;8.8;35;51;64;13;44;62;3744;1005.0
Trieste molo F.lli Bandiera;1995;1;3;0;4.3;5.3;6.9;35;44;55;35;75;60;6880;1015.0
Trieste molo F.lli Bandiera;1995;1;4;0;0.9;2.8;5.0;41;46;52;60;110;42;6236;1017.5
Trieste molo F.lli Bandiera;1995;1;5;0;0.7;2.0;3.3;48;57;65;-;-;-;-;-
Trieste molo F.lli Bandiera;1995;1;6;0;1.9;3.0;4.4;56;61;66;40;66;52;4506;1017.1
Trieste molo F.lli Bandiera;1995;1;7;0;2.7;4.3;6.5;43;52;61;33;74;63;7686;1022.7
Trieste molo F.lli Bandiera;1995;1;8;0;1.9;3.4;5.0;45;51;58;49;79;55;5738;1025.9
Trieste molo F.lli Bandiera;1995;1;9;0;1.1;3.1;5.2;41;50;60;23;68;57;7334;1020.2
Trieste molo F.lli Bandiera;1995;1;10;0;3.4;5.1;8.2;40;53;65;6;27;219;6586;1008.3
Trieste molo F.lli Bandiera;1995;1;11;0;5.0;7.1;9.6;27;61;70;10;37;24;3928;997.7
Trieste molo F.lli Bandiera;1995;1;12;0;2.2;5.3;8.0;34;44;56;5;15;66;7903;1006.6
Trieste molo F.lli Bandiera;1995;1;13;0;3.5;6.2;7.8;25;32;47;28;73;32;7828;1022.0
Trieste molo F.lli Bandiera;1995;1;14;0;0.5;3.1;5.5;29;39;48;28;72;58;8445;1025.1
Trieste molo F.lli Bandiera;1995;1;15;0;-0.2;3.5;6.8;41;49;58;28;69;59;8627;1026.1
Trieste molo F.lli Bandiera;1995;1;16;0;4.3;7.0;9.2;43;49;52;35;68;63;8072;1028.0
Trieste molo F.lli Bandiera;1995;1;17;0;3.1;5.3;8.2;40;52;63;10;41;67;7963;1025.2
Trieste molo F.lli Bandiera;1995;1;18;0;2.8;5.4;7.1;60;65;70;6;17;132;2932;1019.8
Trieste molo F.lli Bandiera;1995;1;19;11.6;6.8;8.0;10.2;61;73;80;4;53;225;1135;1016.2
Trieste molo F.lli Bandiera;1995;1;20;0;5.8;7.6;9.5;17;73;98;2;11;242;5638;1024.1
