stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Udine S.O.;2019;1;1;0;-1.6;3.5;8.8;52;72;87;4;12;308;4860;1015.4
Udine S.O.;2019;1;2;0;-2.4;4.4;11.3;11;45;87;12;48;329;7326;1008.9
Udine S.O.;2019;1;3;0;-4.5;3;7.8;5;16;41;11;40;333;7314;1015.2
Udine S.O.;2019;1;4;0;-7.3;-0.6;5.1;38;57;72;5;17;282;6094;1018.6
Udine S.O.;2019;1;5;0;-5.5;-0.9;5.6;46;71;85;4;11;115;4717;1011.5
Udine S.O.;2019;1;6;0;-5.6;0.8;9.1;40;69;85;5;22;172;6920;1009.6
Udine S.O.;2019;1;7;0;1.1;3.8;5.7;54;63;73;5;22;103;1888;1016.0
Udine S.O.;2019;1;8;0;-2.3;2.5;4.4;73;83;93;4;14;22;717;1005.8
Udine S.O.;2019;1;9;0;-4.0;1.8;6.4;63;82;94;4;17;341;4894;995.6
Udine S.O.;2019;1;10;0;-5.6;1.2;9.7;24;60;85;4;17;188;6912;1001.3
Udine S.O.;2019;1;11;0;-4.0;0.5;6.4;39;66;83;4;12;254;7003;1009.8
Udine S.O.;2019;1;12;0;-3.9;1.1;6.2;48;68;85;4;11;98;5523;1007.5
Udine S.O.;2019;1;13;0;-3.4;3;9.9;39;65;85;4;14;353;6240;998.4
Udine S.O.;2019;1;14;0;-0.7;5.2;11.1;35;67;88;9;33;347;6915;992.9
Udine S.O.;2019;1;15;0;-3.1;3.7;10.6;25;43;70;7;23;0;7626;1006.8
Udine S.O.;2019;1;16;0;-2.1;3.5;9.4;58;71;92;6;23;155;6516;1008.5
Udine S.O.;2019;1;17;3.9;3.3;5.9;8;70;83;95;3;10;41;1313;1003.1
Udine S.O.;2019;1;18;8.4;3.5;5.3;6.9;53;75;95;14;40;109;1824;1002.9
Udine S.O.;2019;1;19;0;1.2;3.4;4.6;47;51;56;17;36;69;3641;1006.3
Udine S.O.;2019;1;20;0;-4.0;1.5;7.8;37;61;79;6;17;60;7824;1005.0
Udine S.O.;2019;1;21;0;1.9;3.2;5.8;42;52;68;18;45;75;5360;1006.2
Udine S.O.;2019;1;22;0;1.0;3.3;6.7;36;48;67;17;43;75;6413;997.3
Udine S.O.;2019;1;23;0.4;-0.3;0.7;2;57;71;89;14;38;96;1867;988.7
Udine S.O.;2019;1;24;0;-3.0;3.6;9.5;35;52;66;10;32;100;7239;990.3
Udine S.O.;2019;1;25;0;-5.4;1.5;7.4;28;50;72;6;21;120;8049;996.9
Udine S.O.;2019;1;26;0;-6.3;-0.4;6.1;34;62;81;3;9;52;7356;1000.6
Udine S.O.;2019;1;27;6.2;-4.8;1.6;5.1;47;72;94;5;25;312;2114;991.6
Udine S.O.;2019;1;28;0.7;0.9;4.1;7.5;64;87;95;4;31;353;2127;985.8
Udine S.O.;2019;1;29;0;0.2;3.9;9.4;32;62;82;8;21;101;7341;994.7
Udine S.O.;2019;1;30;0;-3.9;2;5.8;44;64;85;5;23;32;5418;990.8
Udine S.O.;2019;1;31;0;0.4;3.9;7.5;42;58;76;9;32;89;8670;992.1
Udine S.O.;2019;2;1;52.2;2.3;6.5;11.2;76;91;95;12;43;171;-;989.2
Udine S.O.;2019;2;2;37.6;7.6;9.3;11.2;86;92;95;13;41;135;-;986.5
Udine S.O.;2019;2;3;7.5;2.9;8;12;63;85;95;8;36;44;7137;993.5
Udine S.O.;2019;2;4;0;-0.3;5.9;11.2;34;60;95;11;32;105;10117;1012.9
Udine S.O.;2019;2;5;0;-1.4;6.1;12.6;35;51;74;11;29;61;10228;1013.1
