stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Vivaro;2004;1;1;0;1.2;5.2;9.7;60;81;100;8;20;331;5197;989.6
Vivaro;2004;1;2;0;-1.2;3.1;5.8;64;79;92;6;17;114;2546;986.3
Vivaro;2004;1;3;0;-4.1;-0.6;4.9;50;76;92;6;14;290;5983;991.8
Vivaro;2004;1;4;0;-6.1;-2.7;2.3;55;79;92;6;15;287;6319;992
Vivaro;2004;1;5;0;-6.8;-2.7;3.6;52;80;93;6;14;348;7149;994.4
Vivaro;2004;1;6;0;-5.8;-0.8;3.8;59;78;91;6;15;6;5319;1001.8
Vivaro;2004;1;7;0;-3.5;-0.2;6.3;48;79;93;6;15;336;5127;999.3
Vivaro;2004;1;8;0;-2.8;2.3;6.5;64;82;91;6;14;344;2982;996.8
Vivaro;2004;1;9;1.4;0.7;2.8;5.9;82;94;100;5;21;23;3442;990
Vivaro;2004;1;10;0;-2.7;1.9;7.8;77;93;100;6;19;316;6045;991.3
Vivaro;2004;1;11;0;-3.5;2;9.1;46;81;100;7;18;6;5857;998.2
Vivaro;2004;1;12;0;-1.4;3;7.7;64;83;91;8;18;328;4077;989.8
Vivaro;2004;1;13;0;-1.1;3.1;7.7;81;90;97;8;19;334;2264;981.8
Vivaro;2004;1;14;0;2.3;6.4;11.4;70;87;96;7;28;332;4607;979.4
Vivaro;2004;1;15;0;-1.9;4.3;9.3;67;86;97;8;21;330;2482;981
Vivaro;2004;1;16;0;-3.9;1.9;8.2;48;75;94;8;18;334;4831;990
Vivaro;2004;1;17;14;0.5;3.3;5.6;71;94;100;8;18;252;432;982.9
Vivaro;2004;1;18;6.4;1.2;4.2;6.5;81;91;100;10;22;106;478;988.1
Vivaro;2004;1;19;0;-1.3;3.2;9.3;51;80;96;6;15;297;7177;994.3
Vivaro;2004;1;20;0;-1.9;2;6.9;68;84;97;9;23;46;3879;983.7
Vivaro;2004;1;21;0;-3.6;0.8;6.6;52;77;92;7;20;339;6663;990
Vivaro;2004;1;22;0;-6.5;-1.7;3.7;49;77;94;7;18;215;8061;995.8
Vivaro;2004;1;23;0;-6.7;-2.4;1.8;54;75;91;6;13;75;5910;997.7
Vivaro;2004;1;24;0;-8.4;-3.3;2.5;52;78;92;6;15;331;9615;994.7
Vivaro;2004;1;25;0;-5.5;-1.3;2;52;77;91;5;13;311;1915;990.1
Vivaro;2004;1;26;0;-6.4;-1.5;2.2;63;83;96;5;15;17;2212;988.4
Vivaro;2004;1;27;3;-0.9;1.2;5.3;70;90;100;6;20;255;4690;978.5
Vivaro;2004;1;28;1.2;-0.9;2.2;7.2;62;88;100;6;14;322;5414;977.6
Vivaro;2004;1;29;0;-3.4;0.6;4.4;62;85;97;8;19;11;4174;982.5
Vivaro;2004;1;30;0;-5.8;-0.4;6.5;30;64;85;8;19;321;9058;998.2
Vivaro;2004;1;31;0;-2.5;1.6;7.4;39;68;86;6;14;345;8200;1004.9
Vivaro;2004;2;1;0;-2;2.1;7.6;52;79;94;7;15;95;6266;1005.9
Vivaro;2004;2;2;0;-1.4;2.5;7.9;70;87;98;6;19;337;5965;1006.7
Vivaro;2004;2;3;0;-2.3;2.6;7.6;78;91;99;5;16;324;3564;1008.8
Vivaro;2004;2;4;0;-0.6;4.7;13.5;57;84;100;5;14;340;6692;1011.1
Vivaro;2004;2;5;0;-2.9;2.1;9.3;67;89;100;5;14;328;8916;1008.8
Vivaro;2004;2;6;0;-4.3;1.1;7.1;80;97;100;5;14;4;8648;1006.5
Vivaro;2004;2;7;0;1.2;4.7;7.9;92;99;100;6;15;344;2294;999.9
Vivaro;2004;2;8;0;-1.3;2.8;6.3;93;99;100;6;18;5;1853;994.6
Vivaro;2004;2;9;0;-2.4;4.2;13.3;14;69;100;10;23;157;10458;1000.3
Vivaro;2004;2;10;0;-3.3;2.4;10.7;29;64;91;9;29;221;10143;1007.7
Vivaro;2004;2;11;0;-1.2;3.5;10.5;52;78;95;8;17;335;10132;996.1
Vivaro;2004;2;12;0;-1.7;1.3;3.4;55;75;93;7;19;217;2937;1002.8
Vivaro;2004;2;13;0;-5.4;-1.4;0.7;66;79;95;4;10;5;1624;1007.3
Vivaro;2004;2;14;0;-4.7;-0.1;6.7;58;81;94;6;13;20;6660;999.9
Vivaro;2004;2;15;0;-4.3;2.6;12;41;76;92;8;15;315;10672;996.9
Vivaro;2004;2;16;0;-1.4;3.7;11.6;47;75;93;8;18;320;10775;1001.8
Vivaro;2004;2;17;0;-2.8;4.2;10.5;60;82;99;5;14;207;7853;1004.9
Vivaro;2004;2;18;0;-3.3;2.8;7.4;77;91;99;7;18;4;4002;995.9
Vivaro;2004;2;19;26.6;0.7;2.8;4.9;69;90;99;18;35;17;594;993.9
Vivaro;2004;2;20;0;-0.7;4.6;8.1;53;67;92;11;29;0;4373;1002.9
Vivaro;2004;2;21;39.8;2.1;4.6;7.2;71;95;100;9;22;5;555;1001.6
Vivaro;2004;2;22;27.2;6.3;8;10.2;97;100;100;8;19;5;1022;988
Vivaro;2004;2;23;60.2;1.1;5.9;7.4;89;99;100;13;48;23;763;980.6
Vivaro;2004;2;24;13.8;-3;1;3.2;62;87;100;18;46;37;1951;987.9
Vivaro;2004;2;25;0;-4;0.8;5.8;63;84;100;7;15;0;12260;991.7
Vivaro;2004;2;26;11;1.1;3;5.5;80;94;100;5;14;32;1951;978.9
Vivaro;2004;2;27;13.4;0.4;1.7;2.9;97;100;100;8;19;15;1211;972.9
Vivaro;2004;2;28;2;0.8;3;7.1;49;81;100;20;53;8;4972;976.6
Vivaro;2004;2;29;0;-0.9;3.1;7.2;37;66;86;14;35;31;7249;986.3
Vivaro;2004;3;1;0;-2.8;2.5;9.2;24;52;86;10;31;109;13959;997.1
