stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Ariis;2018;1;1;10.2;3.1;5.2;7.3;87;98;100;-;-;-;-;-
Ariis;2018;1;2;0;0;3.5;9.8;75;96;100;-;-;-;-;-
Ariis;2018;1;3;0.4;-1.2;2.3;7.3;85;97;100;-;-;-;-;-
Ariis;2018;1;4;0;-0.4;4.1;7.7;88;97;100;-;-;-;-;-
Ariis;2018;1;5;0;3.7;6.7;9.3;84;92;100;-;-;-;-;-
Ariis;2018;1;6;0;6;8.9;12.5;94;100;100;-;-;-;-;-
Ariis;2018;1;7;1.6;8.1;10;12.5;92;99;100;-;-;-;-;-
Ariis;2018;1;8;0;9.4;10.9;14.2;85;96;100;-;-;-;-;-
Ariis;2018;1;9;23.8;9.3;11;13.7;81;97;100;-;-;-;-;-
Ariis;2018;1;10;5.4;5.8;8.4;12.2;79;97;100;-;-;-;-;-
Ariis;2018;1;11;0.2;1.8;6.3;11.8;61;89;100;-;-;-;-;-
Ariis;2018;1;12;0;-0.4;5.3;11.8;49;84;100;-;-;-;-;-
Ariis;2018;1;13;0;0.5;6;11.6;50;81;99;-;-;-;-;-
Ariis;2018;1;14;0.2;-0.1;4;8.9;51;79;100;-;-;-;-;-
Ariis;2018;1;15;0;0.2;4.2;8.6;47;73;94;-;-;-;-;-
Ariis;2018;1;16;1.4;2.6;3.7;5;85;95;100;-;-;-;-;-
Ariis;2018;1;17;0;-1.4;4.4;10.8;10;80;100;-;-;-;-;-
Ariis;2018;1;18;0;-3;2.2;9.2;38;76;95;-;-;-;-;-
Ariis;2018;1;19;0;-0.8;3.5;10.4;52;85;100;-;-;-;-;-
Ariis;2018;1;20;0;-0.3;4.1;9.1;57;83;99;-;-;-;-;-
Ariis;2018;1;21;0;0.9;6;10.9;16;64;100;-;-;-;-;-
