stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Barcis;2015;1;1;0;-6.9;-3.2;4.2;54;89;99;-;-;-;4696;-
Barcis;2015;1;2;0;-4.6;-0.7;6.9;68;94;100;-;-;-;3783;-
Barcis;2015;1;3;0;-2.1;0.2;6.8;71;95;100;-;-;-;4290;-
Barcis;2015;1;4;0;-1.9;3.7;12.5;10;54;99;-;-;-;5359;-
Barcis;2015;1;5;0;-4;0.1;7.4;19;59;88;-;-;-;5244;-
Barcis;2015;1;6;0;-5.1;-1.7;6.6;41;82;97;-;-;-;5144;-
Barcis;2015;1;7;0;-4.9;-1.7;5.9;57;90;100;-;-;-;4831;-
Barcis;2015;1;8;0;-4;-0.2;6.6;60;91;100;-;-;-;4762;-
Barcis;2015;1;9;0;-1.8;1.6;6.5;67;90;100;-;-;-;4478;-
Barcis;2015;1;10;0;1.7;3.6;6.8;76;90;99;-;-;-;2394;-
Barcis;2015;1;11;0;-1;3.3;7.1;26;79;99;-;-;-;1134;-
Barcis;2015;1;12;0;-2.8;1.9;9.2;23;61;88;-;-;-;5653;-
Barcis;2015;1;13;0;-4.4;-0.5;5.9;52;84;98;-;-;-;4503;-
Barcis;2015;1;14;0;-3.4;-0.1;6.5;69;93;100;-;-;-;4377;-
Barcis;2015;1;15;0;-2.7;0.6;4.6;77;96;100;-;-;-;3160;-
Barcis;2015;1;16;16.6;1.5;3.3;4.8;99;99;100;-;-;-;557;-
Barcis;2015;1;17;48.2;3.1;5.2;7;99;99;99;-;-;-;1025;-
Barcis;2015;1;18;0;-0.5;2.4;5.2;99;99;99;-;-;-;2435;-
Barcis;2015;1;19;0;-1.6;0.2;6.5;70;97;100;-;-;-;4417;-
Barcis;2015;1;20;0;-2.4;0.4;7.8;54;91;100;-;-;-;6355;-
Barcis;2015;1;21;0.8;-3;0.6;3.4;85;96;100;-;-;-;1789;-
Barcis;2015;1;22;4.4;1.8;3.8;8.7;81;97;100;-;-;-;3555;-
Barcis;2015;1;23;0;0;4.4;11.4;54;86;100;-;-;-;3568;-
Barcis;2015;1;24;0;0;3.9;11.6;34;75;96;-;-;-;6602;-
Barcis;2015;1;25;0;-1;3;10.7;11;65;98;-;-;-;7291;-
Barcis;2015;1;26;0;-4;-0.5;6.8;23;68;89;-;-;-;6997;-
Barcis;2015;1;27;0;-3.4;0.3;8.9;15;63;91;-;-;-;6964;-
Barcis;2015;1;28;0;-5.2;-0.8;7;27;72;92;-;-;-;7516;-
Barcis;2015;1;29;0;-3.6;-1;2;77;86;97;-;-;-;1894;-
Barcis;2015;1;30;11;-5.8;-1.2;1.6;84;95;100;-;-;-;393;-
Barcis;2015;1;31;0;-7.5;-3;5.5;51;86;97;-;-;-;6117;-
Barcis;2015;2;1;0;-5.7;-2.6;2.4;69;91;98;-;-;-;2880;-
Barcis;2015;2;2;0;-8.1;-2.8;5.1;42;85;97;-;-;-;8113;-
Barcis;2015;2;3;0;-3.2;-0.3;4.8;49;82;96;-;-;-;4267;-
Barcis;2015;2;4;0;-3.9;1.1;8.4;38;79;100;-;-;-;7229;-
Barcis;2015;2;5;21.6;-0.1;0.2;0.8;92;99;100;-;-;-;143;-
Barcis;2015;2;6;3.8;0.4;1.7;5.5;77;98;100;-;-;-;839;-
Barcis;2015;2;7;0;-3;1;6.3;51;86;100;-;-;-;8447;-
Barcis;2015;2;8;0;-4.2;0.8;10.2;10;60;100;-;-;-;9721;-
Barcis;2015;2;9;0;-5.1;-1;5.2;16;58;87;-;-;-;9385;-
Barcis;2015;2;10;0;-4.7;1.1;11.7;32;76;97;-;-;-;9672;-
Barcis;2015;2;11;0;-2.8;2.1;12.3;41;82;100;-;-;-;9764;-
Barcis;2015;2;12;0;-2.7;1.1;8.2;60;88;100;-;-;-;9182;-
Barcis;2015;2;13;0;-1.4;1.4;3.7;73;89;100;-;-;-;1846;-
Barcis;2015;2;14;1.2;0.6;2.5;5;75;91;100;-;-;-;2256;-
Barcis;2015;2;15;9.8;1.9;2.7;4.3;99;99;99;-;-;-;1603;-
Barcis;2015;2;16;0;-1.3;3.5;11.9;44;88;100;-;-;-;9899;-
Barcis;2015;2;17;0.2;-2.6;2.2;11.4;40;80;100;-;-;-;10544;-
Barcis;2015;2;18;0.2;-3.3;1.4;9.5;49;82;100;-;-;-;10919;-
Barcis;2015;2;19;0;-3.9;1.2;10.1;43;81;100;-;-;-;11036;-
Barcis;2015;2;20;0;-4.2;0.9;8.5;56;85;100;-;-;-;10425;-
Barcis;2015;2;21;4.4;-1.1;1.3;2.7;97;99;100;-;-;-;812;-
