stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Bicinicco;2012;1;1;0.0;-1.5;2.7;11.1;50;79;97;5;15;12;-;-
Bicinicco;2012;1;2;15.2;-1.9;3.6;8.3;76;91;99;6;23;138;-;-
Bicinicco;2012;1;3;15.2;4.9;7.8;9.6;74;86;99;10;40;2;-;-
Bicinicco;2012;1;4;0.0;1.2;5.2;8.5;83;92;99;4;15;15;-;-
Bicinicco;2012;1;5;0.0;-0.3;2.8;5.3;80;92;98;5;21;20;-;-
Bicinicco;2012;1;6;0.2;-0.9;7.1;12.5;24;49;95;14;42;342;-;-
Bicinicco;2012;1;7;0.0;-1.9;3.3;8.7;30;67;89;5;14;91;-;-
Bicinicco;2012;1;8;0.0;-2.5;2.4;9.9;52;78;93;5;18;190;-;-
Bicinicco;2012;1;9;0.0;-3.8;3.0;11.1;41;71;90;4;12;160;-;-
Bicinicco;2012;1;10;0.0;-2.1;3.3;11.8;48;74;96;5;19;286;-;-
Bicinicco;2012;1;11;0.0;-2.1;2.7;11.6;46;76;96;4;13;359;-;-
Bicinicco;2012;1;12;0.2;-3.0;2.5;10.8;45;79;97;4;12;195;-;-
Bicinicco;2012;1;13;0.0;-1.0;3.6;10.1;38;81;98;7;19;17;-;-
Bicinicco;2012;1;14;0.0;-4.3;2.4;10.7;20;55;84;7;23;56;-;-
Bicinicco;2012;1;15;0.0;-6.1;0.0;9.9;19;55;78;5;15;29;-;-
Bicinicco;2012;1;16;0.0;-4.5;0.3;7.1;25;54;74;5;14;63;-;-
Bicinicco;2012;1;17;0.0;-5.7;-1.0;6.6;42;70;92;4;12;16;-;-
Bicinicco;2012;1;18;0.0;-7.4;-2.1;6.4;55;84;98;2;11;242;-;-
Bicinicco;2012;1;19;0.2;-4.1;-0.4;1.2;97;98;99;2;9;338;-;-
Bicinicco;2012;1;20;0.0;-3.4;0.6;5.3;83;96;99;4;17;76;-;-
Bicinicco;2012;1;21;0.0;-1.1;3.5;11.2;37;72;99;5;19;265;-;-
Bicinicco;2012;1;22;0.0;-2.5;3.3;11.2;64;86;99;5;15;17;-;-
Bicinicco;2012;1;23;0.2;-1.8;4.0;11.9;70;91;99;4;14;9;-;-
Bicinicco;2012;1;24;0.4;-2.9;5.4;13.1;33;67;99;7;28;4;-;-
Bicinicco;2012;1;25;0.0;-5.3;1.7;11.8;19;57;82;4;17;349;-;-
Bicinicco;2012;1;26;0.0;-6.2;-0.1;8.2;33;61;86;5;15;279;-;-
Bicinicco;2012;1;27;0.0;-5.8;0.0;8.0;31;63;88;4;17;21;-;-
Bicinicco;2012;1;28;0.0;-4.8;1.2;7.5;33;58;82;6;17;67;-;-
Bicinicco;2012;1;29;0.0;-1.0;1.8;5.6;38;52;67;13;36;27;-;-
Bicinicco;2012;1;30;0.0;-0.8;1.9;6.1;27;39;52;15;36;47;-;-
Bicinicco;2012;1;31;0.0;-2.1;-0.4;1.6;28;38;45;17;41;50;-;-
Bicinicco;2012;2;1;0.0;-1.6;0.5;2.7;25;35;46;27;56;34;-;-
Bicinicco;2012;2;2;0.0;-3.8;-1.2;0.8;25;31;38;23;48;45;-;-
Bicinicco;2012;2;3;0.0;-4.4;-3.0;-0.7;28;34;39;24;57;39;-;-
Bicinicco;2012;2;4;0.0;-4.4;-2.4;-0.4;24;41;49;15;47;102;-;-
Bicinicco;2012;2;5;0.0;-6.3;-4.2;-0.2;32;42;50;14;38;38;-;-
Bicinicco;2012;2;6;0.0;-7.1;-2.4;1.9;33;42;49;15;43;58;-;-
Bicinicco;2012;2;7;0.0;-2.0;0.9;4.5;41;46;55;15;52;59;-;-
Bicinicco;2012;2;8;0.0;-3.8;2.5;8.3;14;27;44;19;58;88;-;-
Bicinicco;2012;2;9;0.0;-4.9;0.1;6.8;20;31;41;12;41;69;-;-
Bicinicco;2012;2;10;0.0;-3.5;-1.6;0.6;33;36;40;21;64;35;-;-
Bicinicco;2012;2;11;0.0;-4.2;-2.1;-0.5;33;40;47;22;57;57;-;-
Bicinicco;2012;2;12;0.0;-3.9;-0.6;3.3;34;45;74;17;49;38;-;-
Bicinicco;2012;2;13;0.0;-6.6;-0.7;5.2;40;53;68;4;18;246;-;-
