stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Boa Paloma;2019;1;1;-;-;-;-;57;65;78;-;-;-;4728;1027.1
Boa Paloma;2019;1;2;-;-;-;-;25;61;99;-;-;-;6945;1020.6
Boa Paloma;2019;1;3;-;-;-;-;21;36;58;-;-;-;6650;1027.6
Boa Paloma;2019;1;4;-;-;-;-;36;54;72;-;-;-;6006;1031
Boa Paloma;2019;1;5;-;-;-;-;46;61;75;-;-;-;3609;1023.2
Boa Paloma;2019;1;6;-;-;-;-;50;65;80;-;-;-;6528;1021.4
Boa Paloma;2019;1;7;-;-;-;-;52;60;70;-;-;-;2871;1028.2
Boa Paloma;2019;1;8;-;-;-;-;64;76;84;-;-;-;1014;1017.5
Boa Paloma;2019;1;9;-;-;-;-;41;75;90;-;-;-;5462;1007.2
Boa Paloma;2019;1;10;-;-;-;-;38;54;68;-;-;-;6654;1013.1
Boa Paloma;2019;1;11;-;-;-;-;36;51;65;-;-;-;6671;1022
Boa Paloma;2019;1;12;-;-;-;-;58;65;76;-;-;-;5134;1019.6
Boa Paloma;2019;1;13;-;-;-;-;50;67;85;-;-;-;6054;1010.2
Boa Paloma;2019;1;14;-;-;-;-;57;77;86;-;-;-;6596;1004.6
Boa Paloma;2019;1;15;-;-;-;-;33;53;70;-;-;-;6546;1018.7
Boa Paloma;2019;1;16;-;-;-;-;61;74;84;-;-;-;6559;1020
Boa Paloma;2019;1;17;-;-;-;-;76;84;94;-;-;-;2267;1014.8
Boa Paloma;2019;1;18;-;-;-;-;49;75;96;-;-;-;1236;1014.5
Boa Paloma;2019;1;19;-;-;-;-;57;65;72;-;-;-;5364;1018.1
Boa Paloma;2019;1;20;-;-;-;-;57;65;78;-;-;-;6146;1017.1
Boa Paloma;2019;1;21;-;-;-;-;57;64;72;-;-;-;6166;1018.1
Boa Paloma;2019;1;22;-;-;-;-;55;65;-;-;-;-;6834;1009.3
Boa Paloma;2019;1;23;-;-;-;-;59;74;98;-;-;-;1136;1000.6
Boa Paloma;2019;1;24;-;-;-;-;56;65;78;-;-;-;8568;1002.2
Boa Paloma;2019;1;25;-;-;-;-;45;58;71;-;-;-;7037;1009.6
Boa Paloma;2019;1;26;-;-;-;-;41;55;72;-;-;-;7453;1012.9
Boa Paloma;2019;1;27;-;-;-;-;46;69;90;-;-;-;3799;1002.9
Boa Paloma;2019;1;28;-;-;-;-;58;76;95;-;-;-;1601;997.9
Boa Paloma;2019;1;29;-;-;-;-;46;59;71;-;-;-;7087;1006.5
Boa Paloma;2019;1;30;-;-;-;-;52;61;70;-;-;-;5818;1002.7
Boa Paloma;2019;1;31;-;-;-;-;52;67;81;-;-;-;6718;1004.3
Boa Paloma;2019;2;1;-;-;-;-;78;86;98;-;-;-;1357;1000.5
Boa Paloma;2019;2;2;-;-;-;-;75;90;99;-;-;-;875;998.4
Boa Paloma;2019;2;3;-;-;-;-;72;91;97;-;-;-;7009;1005.9
Boa Paloma;2019;2;4;-;-;-;-;44;59;77;-;-;-;10072;1024.5
