stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Borgo Grotta Gigante;2012;1;1;0;-1.3;2.6;9.8;63;85;98;8;18;-;6732;988.6
Borgo Grotta Gigante;2012;1;2;8.8;-0.7;5.8;10.3;92;96;100;9;36;-;1694;987.2
Borgo Grotta Gigante;2012;1;3;22.4;5.2;7.6;10.8;81;91;99;13;63;-;1625;989.8
Borgo Grotta Gigante;2012;1;4;1.4;1.3;6.1;7.8;89;96;100;5;18;-;2846;985.8
Borgo Grotta Gigante;2012;1;5;0;0.4;3.4;6.6;90;96;100;8;30;-;2391;972
Borgo Grotta Gigante;2012;1;6;0;-2.3;2.2;9.9;36;75;99;8;18;-;6960;971.2
Borgo Grotta Gigante;2012;1;7;0;-3.1;1.7;8.7;38;74;97;9;20;-;6191;983.5
Borgo Grotta Gigante;2012;1;8;0;-3;2.1;9.1;43;77;97;8;18;-;7364;982.6
Borgo Grotta Gigante;2012;1;9;0;-3.1;2.9;10.8;35;65;88;9;18;-;7506;989.6
Borgo Grotta Gigante;2012;1;10;0;-2;4.5;12.3;33;62;90;10;32;-;7688;993.6
Borgo Grotta Gigante;2012;1;11;0;-1.6;2.7;10.2;48;73;87;9;22;-;7447;998.2
Borgo Grotta Gigante;2012;1;12;0;-2.2;3.5;10.3;44;80;98;7;17;-;7673;993.9
Borgo Grotta Gigante;2012;1;13;0;0.6;5.6;9.5;31;83;98;6;42;-;4040;985.1
Borgo Grotta Gigante;2012;1;14;0;-4.4;1.9;9.1;18;47;73;10;32;-;8267;986.6
Borgo Grotta Gigante;2012;1;15;0;-5.3;-0.4;8.1;20;47;65;9;71;-;8315;986.5
Borgo Grotta Gigante;2012;1;16;0;-4.7;-0.4;5.3;25;49;68;10;41;-;8396;990
Borgo Grotta Gigante;2012;1;17;0;-6.1;-1.3;6;58;77;92;9;17;-;7747;993.2
Borgo Grotta Gigante;2012;1;18;0;-6.7;-0.9;7.7;48;82;98;7;18;-;7616;997.3
Borgo Grotta Gigante;2012;1;19;0;-3.4;1.7;3.5;93;97;100;-;14;-;1739;993.5
Borgo Grotta Gigante;2012;1;20;0;-1.9;2.3;3.8;93;97;99;6;28;-;1593;981.2
Borgo Grotta Gigante;2012;1;21;0;-0.5;3.7;9.4;40;76;98;9;27;-;8286;981.7
Borgo Grotta Gigante;2012;1;22;0;3.8;6.6;11.2;72;91;99;-;26;-;5126;977.6
Borgo Grotta Gigante;2012;1;23;0.2;4.5;7.6;13.1;69;92;100;6;25;-;7337;980
Borgo Grotta Gigante;2012;1;24;0.2;0.1;4.9;9.6;42;73;99;12;48;-;5556;980.6
Borgo Grotta Gigante;2012;1;25;0;-2.6;2.1;8.6;26;53;72;10;27;-;9637;985.4
Borgo Grotta Gigante;2012;1;26;0;-3;1;6.5;35;56;72;11;33;-;9813;987
Borgo Grotta Gigante;2012;1;27;0;-2.1;1.4;7.4;31;50;63;11;34;-;9779;991.1
Borgo Grotta Gigante;2012;1;28;0;-1.7;1.2;4.9;39;52;62;14;52;-;7566;991.5
Borgo Grotta Gigante;2012;1;29;0;-2;-0.5;1.3;47;57;67;32;105;-;8117;989.1
Borgo Grotta Gigante;2012;1;30;0;-3.6;-1.2;1.4;42;52;64;29;86;-;8584;990
Borgo Grotta Gigante;2012;1;31;0;-5.2;-3.9;-1.9;40;50;59;26;70;-;4952;987.4
Borgo Grotta Gigante;2012;2;1;0;-4.3;-2.9;-0.6;33;47;62;37;97;-;4105;982.1
Borgo Grotta Gigante;2012;2;2;0;-7.1;-4.9;-2.9;33;44;55;34;95;-;6803;984.6
Borgo Grotta Gigante;2012;2;3;0;-7.9;-6.9;-5.3;41;45;50;36;103;-;8942;984.9
Borgo Grotta Gigante;2012;2;4;0;-7.8;-6.6;-4.2;42;54;70;33;98;-;4580;985.8
Borgo Grotta Gigante;2012;2;5;0;-8.8;-7.2;-3.5;39;49;58;27;73;-;11460;990.1
