stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Brugnera;2003;1;1;0;1.4;5.8;10.6;65;84;94;5;15;77;5715;1012.6
Brugnera;2003;1;2;2.8;-0.1;3.6;6.2;82;92;94;3;11;250;2214;1008.8
Brugnera;2003;1;3;0.2;3.1;5.8;8.8;83;92;95;4;14;69;3056;1004.0
Brugnera;2003;1;4;0;1.2;5.4;11;65;86;94;5;14;41;5151;1002.3
Brugnera;2003;1;5;17.8;4.2;6.1;8.8;68;80;88;10;48;83;1129;1001.2
Brugnera;2003;1;6;1.8;3.4;4.2;5.4;65;76;86;10;27;48;1836;1009.4
Brugnera;2003;1;7;3.8;0.9;2.4;4.3;62;82;91;10;35;74;1745;1005.0
Brugnera;2003;1;8;0;0;1.7;3.6;56;76;92;8;23;44;2609;1013.6
Brugnera;2003;1;9;0.6;-1.2;0.1;2;62;79;89;12;35;68;1756;1009.5
Brugnera;2003;1;10;1;-1;0.5;3.5;62;78;89;6;21;75;4787;1014.9
Brugnera;2003;1;11;0;-2.3;0.3;3.8;49;61;79;10;24;62;6185;1024.1
Brugnera;2003;1;12;0;-5.8;-2;4.4;33;57;77;5;16;274;6884;1030.3
Brugnera;2003;1;13;0;-7;-2.1;3.7;43;69;85;3;10;306;6504;1031.2
Brugnera;2003;1;14;0;-4.2;0.1;7.4;40;72;86;3;11;274;5263;1033.6
Brugnera;2003;1;15;0;-4;0.7;7.4;54;77;90;3;8;185;6476;1033.7
Brugnera;2003;1;16;0.2;-2.7;1.5;6.9;66;82;91;5;17;54;5460;1030.1
Brugnera;2003;1;17;0;-2.3;3.1;10.9;51;76;92;5;13;17;6914;1028.6
Brugnera;2003;1;18;0;-1.3;2.3;8.4;56;78;88;4;14;225;3298;1021.8
Brugnera;2003;1;19;0.2;-2.8;3.3;13.3;33;69;87;5;15;265;7376;1017.4
Brugnera;2003;1;20;0;-1.5;3.1;10.8;45;73;88;4;11;341;6912;1015.9
Brugnera;2003;1;21;30.4;1.3;5.3;9.2;73;84;93;9;30;51;613;1007.5
Brugnera;2003;1;22;13;3.2;6.9;9.4;78;88;94;10;30;45;1434;1002.5
Brugnera;2003;1;23;0.2;0;3.5;9.1;80;92;95;3;10;230;4222;1014.0
Brugnera;2003;1;24;0.2;-0.9;4.5;13.1;39;74;94;4;14;36;7808;1023.9
Brugnera;2003;1;25;0;0;5.4;12.2;40;62;86;9;29;94;7835;1028.3
Brugnera;2003;1;26;0;-0.2;4.5;12.5;33;60;80;6;18;325;8045;1025.1
Brugnera;2003;1;27;0;-1.4;2.6;9.3;48;74;87;4;13;187;6818;1024.9
Brugnera;2003;1;28;0.2;-1.4;2.8;8.4;56;78;90;6;17;66;6251;1013.7
Brugnera;2003;1;27;0;-1.4;2.6;9.3;48;74;87;4;13;187;6818;1024.9
Brugnera;2003;1;28;0.2;-1.4;2.8;8.4;56;78;90;6;17;66;6251;1013.7
Brugnera;2003;1;29;0;-2.3;2.6;8.3;48;74;90;6;18;103;4763;1002.7
Brugnera;2003;1;30;0;-3.8;2.1;7.1;57;74;90;7;22;61;6857;999.4
Brugnera;2003;1;31;0;-1.2;3.9;10.4;35;60;87;7;19;105;8309;1003.3
Brugnera;2003;2;1;0;-3.7;1.6;8.2;18;51;79;7;26;21;8980;1016.8
Brugnera;2003;2;2;0;-5.3;-1.2;4.1;40;63;81;4;11;172;8537;1019.5
Brugnera;2003;2;3;0.2;-4.6;0.2;5.4;44;67;91;5;19;67;7895;1012.0
Brugnera;2003;2;4;13.8;0.6;2.2;5.6;72;88;92;7;30;56;927;991.1
Brugnera;2003;2;5;0;-1.4;3.7;11.2;17;64;93;5;19;195;8952;996.3
