stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Capriva del Friuli;2001;1;1;0;-0.8;2.9;8.9;32;51;81;4;21;33;8103;1008.7
Capriva del Friuli;2001;1;2;32.6;-1.1;3.1;9;61;79;98;4;18;172;1129;1006.6
Capriva del Friuli;2001;1;3;12;5.9;8;9.3;95;98;98;5;28;276;1501;1004.9
Capriva del Friuli;2001;1;4;3;5.2;6.8;7.7;94;98;98;4;10;230;1466;1006.2
Capriva del Friuli;2001;1;5;0.2;2.3;6.3;10;78;93;98;4;13;172;5385;1006.3
Capriva del Friuli;2001;1;6;12.8;6.4;9.4;13.3;92;98;98;5;12;323;844;1003.9
Capriva del Friuli;2001;1;7;8.4;11.7;13.6;14.2;86;90;96;12;26;156;1240;1005.1
Capriva del Friuli;2001;1;8;79;7.4;10.7;13.7;79;95;98;10;35;254;691;998.7
Capriva del Friuli;2001;1;9;0.2;5.1;7.8;11.7;64;86;98;5;26;256;6214;1006.0
Capriva del Friuli;2001;1;10;2.2;6.6;7.9;9.9;78;90;98;3;15;309;1883;1012.3
Capriva del Friuli;2001;1;11;0.2;7;8.2;9.7;89;97;98;3;9;314;1988;1012.5
Capriva del Friuli;2001;1;12;0.2;4.3;7.6;9.6;36;76;98;7;41;34;943;1011.8
Capriva del Friuli;2001;1;13;0;0.5;3;5.2;32;42;55;31;58;42;8829;1017.0
Capriva del Friuli;2001;1;14;0.2;-0.3;1.6;3.9;28;34;39;28;66;28;8811;1020.9
Capriva del Friuli;2001;1;15;0;-0.9;1.1;3.6;30;34;42;24;49;64;8838;1021.2
Capriva del Friuli;2001;1;16;0;-4.6;-0.2;4.2;34;48;64;6;19;135;8569;1021.2
Capriva del Friuli;2001;1;17;0;-3.2;1.4;4.2;47;55;66;6;16;333;2407;1019.8
Capriva del Friuli;2001;1;18;15.4;2.6;3.8;4.7;67;88;96;8;16;30;1356;1018.2
Capriva del Friuli;2001;1;19;0;1.8;5.5;11.6;53;71;89;5;13;255;7542;1018.2
Capriva del Friuli;2001;1;20;0.2;3.4;6.3;9.1;55;63;73;11;23;41;4581;1015.5
Capriva del Friuli;2001;1;21;2;0.2;3.8;6.3;52;66;88;12;28;42;4865;1016.3
Capriva del Friuli;2001;1;22;0;0.3;3.6;7.5;57;68;81;5;14;81;4199;1015.1
Capriva del Friuli;2001;1;23;5;3;5;6.7;76;90;97;4;11;329;1389;1009.5
Capriva del Friuli;2001;1;24;16.6;5.6;7.5;10.7;88;96;98;4;12;115;1155;1008.5
Capriva del Friuli;2001;1;25;82;9.7;10.9;13;91;98;98;6;34;170;659;1004.5
Capriva del Friuli;2001;1;26;1.4;6.6;10.3;12.4;94;98;98;5;20;253;2617;1002.6
Capriva del Friuli;2001;1;27;14.2;5.7;7.1;9;87;97;98;4;14;56;2090;998.7
Capriva del Friuli;2001;1;28;0;3.1;7.2;11.7;46;66;89;8;24;30;7929;997.7
Capriva del Friuli;2001;1;29;0.2;2.6;7.3;10.7;27;54;79;18;55;48;3582;998.4
Capriva del Friuli;2001;1;30;0;6.1;8.1;9;29;38;47;26;55;31;2468;1001.2
Capriva del Friuli;2001;1;31;0;1.8;5.4;10.1;20;42;78;5;17;165;6579;1005.0
Capriva del Friuli;2001;2;1;0;-2.2;2.8;8.8;8;28;53;10;37;16;11086;1008.9
Capriva del Friuli;2001;2;2;0;-4;0.6;6.7;10;40;60;6;17;229;11458;1013.0
Capriva del Friuli;2001;2;3;0;-2.9;2.8;8.1;23;46;59;4;16;211;7728;1009.5
Capriva del Friuli;2001;2;4;0.2;3.1;5.6;9.8;38;56;80;4;14;244;7482;1009.8
Capriva del Friuli;2001;2;5;3.2;4;6.4;8.8;81;91;95;3;14;320;2261;1009.1
Capriva del Friuli;2001;2;6;0;3.6;6.9;9.2;81;91;97;3;10;316;1989;1016.9
Capriva del Friuli;2001;2;7;0;5.3;9.2;12.2;75;88;97;3;8;329;5310;1017.6
Capriva del Friuli;2001;2;8;1.4;9.2;11.7;14.1;69;83;96;6;24;157;4160;1010.6
