stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cave del Predil;2018;1;1;21;0.3;1.7;5.7;86;98;100;-;-;-;-;903.8
Cave del Predil;2018;1;2;0;-5.1;-1.0;4.0;84;99;100;-;-;-;-;904.6
Cave del Predil;2018;1;3;0.2;-5.1;-0.9;5.3;47;89;100;-;-;-;-;900.8
Cave del Predil;2018;1;4;0;-4.1;0.5;4.4;67;89;100;-;-;-;-;899.6
Cave del Predil;2018;1;5;0.6;2.2;5.0;8.1;81;92;100;-;-;-;-;901.4
Cave del Predil;2018;1;6;2.4;2.6;4.8;8.6;83;97;100;-;-;-;-;905.5
Cave del Predil;2018;1;7;12.4;1.9;4.0;8.5;82;98;100;-;-;-;-;913.6
Cave del Predil;2018;1;8;5.8;2.4;3.7;6.4;99;100;100;-;-;-;-;917.5
Cave del Predil;2018;1;9;64.2;-;-;-;-;-;-;-;-;-;-;-
Cave del Predil;2018;1;10;1;0.8;3.4;7.5;78;97;100;-;-;-;-;-
Cave del Predil;2018;1;11;0;0.7;2.5;4.0;85;96;100;-;-;-;-;-
Cave del Predil;2018;1;12;0;0.9;3.0;6.5;55;84;99;-;-;-;-;-
Cave del Predil;2018;1;13;0;1.1;2.1;3.5;89;96;100;-;-;-;-;-
Cave del Predil;2018;1;14;0;-2.1;-0.5;1.1;100;100;100;-;-;-;-;-
Cave del Predil;2018;1;15;0;-2.9;-0.6;3.0;73;90;100;-;-;-;-;-
Cave del Predil;2018;1;16;0;1.6;3.3;4.9;73;84;94;-;-;-;-;-
Cave del Predil;2018;1;17;0.4;-0.3;2.0;7.3;28;69;99;-;-;-;-;-
Cave del Predil;2018;1;18;0;-3.6;2.5;7.0;29;59;83;-;-;-;-;-
Cave del Predil;2018;1;19;0.6;-3.3;1.8;5.3;65;87;100;-;-;-;-;-
Cave del Predil;2018;1;20;0;-3.8;0.2;3.6;61;86;100;-;-;-;-;-
Cave del Predil;2018;1;21;0;-4.4;1.3;6.0;35;68;97;-;-;-;-;-
Cave del Predil;2018;1;22;0;-6.0;-0.8;4.3;43;67;85;-;-;-;-;-
Cave del Predil;2018;1;23;0;-3.5;-0.1;6.9;55;83;99;-;-;-;-;-
Cave del Predil;2018;1;24;0;-1.2;4.0;8.8;54;76;99;-;-;-;-;-
Cave del Predil;2018;1;25;0;2.0;4.4;6.6;61;74;88;-;-;-;-;-
Cave del Predil;2018;1;26;0;3.1;5.0;6.8;75;84;93;-;-;-;-;-
Cave del Predil;2018;1;27;0;-2.2;2.7;7.2;69;87;100;-;-;-;-;-
Cave del Predil;2018;1;28;0;-3.0;1.1;9.7;54;89;100;-;-;-;-;-
Cave del Predil;2018;1;29;0;-2.4;2.6;10.8;53;84;100;-;-;-;-;-
Cave del Predil;2018;1;30;0;-2.5;1.9;10.5;48;85;100;-;-;-;-;-
Cave del Predil;2018;1;31;0;-3.1;1.8;4.8;76;89;100;-;-;-;-;-
Cave del Predil;2018;2;1;43;-0.1;2.7;5.6;75;92;100;-;-;-;-;-
Cave del Predil;2018;2;2;9.4;-1.2;-0.8;-0.1;97;100;100;-;-;-;-;-
Cave del Predil;2018;2;3;1.2;-5.6;-2.4;0.0;86;95;100;-;-;-;-;-
Cave del Predil;2018;2;4;0;-7.6;-3.9;1.4;70;94;100;-;-;-;-;-
Cave del Predil;2018;2;5;0;-5.7;-3.6;-0.3;72;94;100;-;-;-;-;-
Cave del Predil;2018;2;6;1.4;-4.0;-3.1;-0.9;81;95;100;-;-;-;-;-
Cave del Predil;2018;2;7;0.2;-3.6;-2.5;-1.3;94;98;100;-;-;-;-;-
Cave del Predil;2018;2;8;0;-4.9;-0.7;4.6;77;96;100;-;-;-;-;-
Cave del Predil;2018;2;9;0.6;-2.1;-0.1;2.4;89;99;100;-;-;-;-;-
Cave del Predil;2018;2;10;0;-3.2;-0.9;0.9;76;94;100;-;-;-;-;-
Cave del Predil;2018;2;11;0;-6.4;-3.2;3.6;54;91;100;-;-;-;-;-
Cave del Predil;2018;2;12;7.8;-4.3;-2.1;0.9;79;97;100;-;-;-;-;-
Cave del Predil;2018;2;13;0;-12.1;-4.5;-1.3;69;85;98;-;-;-;-;-
Cave del Predil;2018;2;14;0;-15.0;-9.4;-0.7;58;89;100;-;-;-;-;-
Cave del Predil;2018;2;15;0;-16.1;-8.6;1.9;38;86;100;-;-;-;-;-
