stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Cervignano del Friuli;2011;1;1;0;-2.8;1.8;6.1;70;86;95;4;12;350;3194;1022.3
Cervignano del Friuli;2011;1;2;0;-2.6;3.1;7.4;61;80;93;5;30;40;2016;1018.6
Cervignano del Friuli;2011;1;3;0;-6.1;0.1;7.9;29;69;97;4;16;157;6998;1024.8
Cervignano del Friuli;2011;1;4;0;-5.5;-1.2;5;36;67;88;4;14;31;4187;1025.3
Cervignano del Friuli;2011;1;5;0;-4.5;-0.5;2.2;56;69;80;5;20;45;2334;1025
Cervignano del Friuli;2011;1;6;2.6;-0.8;0.9;2.8;68;83;98;4;12;333;830;1025.1
Cervignano del Friuli;2011;1;7;6.4;0.8;3.2;5.1;97;98;99;3;9;329;823;1027.3
Cervignano del Friuli;2011;1;8;0.9;4.7;6.1;7.2;98;98;99;3;8;324;1781;1025.3
Cervignano del Friuli;2011;1;9;0.1;6.3;7.5;8.9;93;98;99;3;10;313;2625;1024.7
Cervignano del Friuli;2011;1;10;18.5;7.7;8.9;10;97;98;99;5;21;325;2829;1021.8
Cervignano del Friuli;2011;1;11;21;7.8;8.7;9.9;94;97;99;5;19;22;2790;1016
Cervignano del Friuli;2011;1;12;0;2;7.7;12.7;70;93;99;3;13;316;6547;1020.6
Cervignano del Friuli;2011;1;13;0.4;1;5.1;6.7;98;98;99;3;7;327;2006;1021.3
Cervignano del Friuli;2011;1;14;0;4.9;7;9.8;81;93;99;3;8;309;4191;1022.5
Cervignano del Friuli;2011;1;15;0.2;1.1;5.8;9.7;80;95;99;4;16;287;3739;1026.6
Cervignano del Friuli;2011;1;16;0.3;0.9;4.3;6.9;98;98;99;3;17;116;3043;1032.6
Cervignano del Friuli;2011;1;17;0.3;1.3;2.8;3.8;98;98;99;3;8;43;2832;1031
Cervignano del Friuli;2011;1;18;0.2;0.1;1.3;2.4;98;98;99;3;12;247;2723;1028.6
Cervignano del Friuli;2011;1;19;6.5;0.3;3.8;7;78;97;99;5;19;79;3798;1024.8
Cervignano del Friuli;2011;1;20;0;2.5;5.5;9.5;41;68;95;9;32;63;5014;1022
Cervignano del Friuli;2011;1;21;0;0;4;7.7;40;57;74;10;37;69;3735;1024.6
Cervignano del Friuli;2011;1;22;0;-1.9;2.1;6.7;35;57;82;9;27;25;7637;1023.4
