stazione;yy;mese;giorno*;Pioggiamm;Temp. min°C;Temp. med°C;Temp. max°C;Umidità min%;Umidità med%;Umidità max%;Vento medkm/h;Vento maxkm/h;Dir. V. max°N;Radiaz.KJ/m2;Press. medhPa
Chievolis;2005;1;1;0;-1.0;1.0;4.8;-;-;-;2;10;261;665;-
Chievolis;2005;1;2;0;-0.8;1.6;6.0;-;-;-;2;9;253;1478;-
Chievolis;2005;1;3;0;-1.7;0.6;4.5;-;-;-;3;13;279;841;-
Chievolis;2005;1;4;0;-2.1;0.0;3.0;-;-;-;2;10;304;694;-
Chievolis;2005;1;5;0.2;-1.9;0.3;3.4;-;-;-;1;9;269;1412;-
Chievolis;2005;1;6;0.2;-0.5;1.8;6.3;-;-;-;2;12;276;1447;-
Chievolis;2005;1;7;0.2;-0.6;1.6;6.4;-;-;-;2;10;274;1090;-
Chievolis;2005;1;8;0;-0.8;2.2;4.8;-;-;-;3;13;235;1341;-
Chievolis;2005;1;9;0;0.8;4.1;7.8;-;-;-;1;8;89;2251;-
Chievolis;2005;1;10;0.2;0.0;2.2;5.3;-;-;-;2;9;269;1188;-
Chievolis;2005;1;11;0;-0.1;2.8;5.1;-;-;-;2;11;300;1359;-
Chievolis;2005;1;12;0.2;-1.2;0.9;4.4;-;-;-;2;9;264;1132;-
Chievolis;2005;1;13;0.2;-1.5;0.9;4.8;-;-;-;1;8;263;2142;-
Chievolis;2005;1;14;0.2;-1.2;1.1;5.9;-;-;-;2;10;282;1833;-
Chievolis;2005;1;15;0;-2.4;-0.7;4.7;-;-;-;2;15;87;1532;-
Chievolis;2005;1;16;0;-3.6;-1.7;2.4;-;-;-;1;8;281;1581;-
Chievolis;2005;1;17;0;-3.9;-1.5;2.7;-;-;-;2;10;249;-;-
Chievolis;2005;1;18;0.2;-4.6;-0.8;2.4;-;-;-;3;19;71;2806;-
Chievolis;2005;1;19;22.6;-1.3;1.9;5.5;-;-;-;1;6;276;2064;-
Chievolis;2005;1;20;0;-3.2;0.2;6.2;-;-;-;2;18;76;-;-
Chievolis;2005;1;21;0;-2.3;2.1;8.1;-;-;-;3;17;49;4208;-
Chievolis;2005;1;22;0;-1.8;2.2;10.1;-;-;-;4;19;94;3291;-
Chievolis;2005;1;23;0;-3.4;-0.2;6.3;-;-;-;3;22;84;3448;-
Chievolis;2005;1;24;0;-4.0;0.5;4.9;-;-;-;3;18;74;3519;-
Chievolis;2005;1;25;0;0.2;2.3;4.5;-;-;-;6;32;171;4482;-
Chievolis;2005;1;26;0;1.1;3.0;5.0;-;-;-;5;41;229;1011;-
Chievolis;2005;1;27;0;-3.4;1.1;7.2;-;-;-;6;32;165;6173;-
Chievolis;2005;1;28;0;-5.3;-1.7;2.3;-;-;-;3;15;131;5080;-
Chievolis;2005;1;29;0;-2.0;1.9;5.5;-;-;-;5;27;205;4804;-
Chievolis;2005;1;30;0;-5.5;-2.2;4.4;-;-;-;3;29;84;6046;-
Chievolis;2005;1;31;0;-6.0;-0.6;6.8;-;-;-;2;18;92;6497;-
Chievolis;2005;2;1;0;-4.3;2.9;10.8;-;-;-;5;30;228;7255;-
Chievolis;2005;2;2;0;-2.4;1.9;9.4;-;-;-;4;24;85;8263;-
Chievolis;2005;2;3;0;-3.5;1.0;11.4;-;-;-;3;18;92;8191;-
Chievolis;2005;2;4;0;-2.6;1.4;4.9;-;-;-;4;23;61;4653;-
Chievolis;2005;2;5;0;-4.1;0.2;5.6;-;-;-;4;24;51;-;-
Chievolis;2005;2;6;0;-5.4;-1.4;6.9;-;-;-;3;22;49;8768;-
Chievolis;2005;2;7;0;-6.2;-2.2;5.0;-;-;-;3;27;97;8828;-
Chievolis;2005;2;8;0;-6.8;-2.2;6.8;-;-;-;3;23;80;8975;-
Chievolis;2005;2;9;0;-5.8;-0.7;9.9;-;-;-;2;19;94;9324;-
Chievolis;2005;2;10;0;-3.8;2.2;12.8;-;-;-;3;22;84;9396;-
Chievolis;2005;2;11;0;-2.1;2.7;9.9;-;-;-;3;22;28;6462;-
Chievolis;2005;2;12;0;-0.4;3.4;8.2;-;-;-;3;20;85;4052;-
Chievolis;2005;2;13;0;0.1;4.2;11.2;-;-;-;5;32;70;-;-
Chievolis;2005;2;14;0;-1.2;4.7;12.5;-;-;-;5;33;221;10429;-
Chievolis;2005;2;15;0;-2.6;3.3;8.5;-;-;-;5;29;102;8812;-
Chievolis;2005;2;16;0;0.2;3.7;8.8;-;-;-;4;19;181;5630;-
Chievolis;2005;2;17;0;-2.2;2.3;6.7;-;-;-;3;17;83;4089;-
Chievolis;2005;2;18;0;-3.7;1.3;9.6;-;-;-;4;26;81;10663;-
Chievolis;2005;2;19;0;-4.2;1.1;7.6;-;-;-;3;21;45;8974;-
Chievolis;2005;2;20;0;-2.0;2.9;8.7;-;-;-;4;18;74;5836;-
Chievolis;2005;2;21;3.4;0.0;1.4;3.6;-;-;-;4;18;266;2760;-
Chievolis;2005;2;22;13.4;-0.1;0.9;3.8;-;-;-;1;9;97;2991;-
Chievolis;2005;2;23;2.8;-2.4;1.5;5.3;-;-;-;2;16;53;4950;-
Chievolis;2005;2;24;0;-4.9;-0.3;6.6;-;-;-;3;18;69;7640;-
Chievolis;2005;2;25;0;-2.6;1.3;8.0;-;-;-;3;19;72;5688;-
Chievolis;2005;2;26;0;-3.0;1.0;7.2;-;-;-;3;22;32;9547;-
Chievolis;2005;2;27;0;-3.7;0.5;6.1;-;-;-;5;24;86;9158;-
Chievolis;2005;2;28;0;-8.8;-3.1;3.0;-;-;-;4;23;98;10679;-
Chievolis;2005;3;1;0;-11.2;-5.7;1.2;-;-;-;4;27;72;13410;-
Chievolis;2005;3;2;0;-10.2;-3.7;4.5;-;-;-;4;25;85;13366;-
Chievolis;2005;3;3;7;-7.9;-2.1;3.8;-;-;-;3;20;72;7456;-
Chievolis;2005;3;4;2;-0.3;2.2;6.0;-;-;-;4;28;91;10600;-
Chievolis;2005;3;5;0;-2.0;1.7;5.8;-;-;-;4;21;58;9222;-
Chievolis;2005;3;6;0;-4.4;0.6;6.2;-;-;-;4;23;57;9634;-
Chievolis;2005;3;7;0;-5.8;-0.1;6.4;-;-;-;4;28;74;13925;-
Chievolis;2005;3;8;0;-3.8;1.3;8.7;-;-;-;5;26;54;14169;-
Chievolis;2005;3;9;0;-2.8;3.3;11.2;-;-;-;5;23;66;10939;-
Chievolis;2005;3;10;0;-1.3;4.0;11.2;-;-;-;7;36;77;12501;-
Chievolis;2005;3;11;0;-2.4;1.5;4.9;-;-;-;4;21;81;7320;-
Chievolis;2005;3;12;0;0.8;3.9;7.9;-;-;-;2;14;79;4850;-
Chievolis;2005;3;13;0;-0.4;5.2;14.5;-;-;-;4;22;49;15146;-
Chievolis;2005;3;14;0;-0.8;4.8;11.9;-;-;-;3;18;72;9147;-
Chievolis;2005;3;15;0;1.8;7.0;16.0;-;-;-;3;21;103;12811;-
Chievolis;2005;3;16;0;1.5;8.1;17.6;-;-;-;4;28;73;14371;-
Chievolis;2005;3;17;0;2.4;8.9;17.6;-;-;-;5;27;123;13811;-
Chievolis;2005;3;18;0;3.4;10.2;19.9;-;-;-;4;26;80;14106;-
Chievolis;2005;3;19;0;4.5;10.8;18.8;-;-;-;4;23;95;9504;-
Chievolis;2005;3;20;0;4.5;9.4;13.8;-;-;-;5;31;66;10283;-
Chievolis;2005;3;21;0;3.6;9.3;15.9;-;-;-;4;26;81;9064;-
Chievolis;2005;3;22;0;2.0;7.9;15.2;-;-;-;4;30;74;11883;-
Chievolis;2005;3;23;0;3.9;8.6;13.7;-;-;-;4;22;82;7388;-
Chievolis;2005;3;24;0;3.8;9.8;14.6;-;-;-;4;20;82;6736;-
Chievolis;2005;3;25;0;9.1;10.5;12.4;-;-;-;1;5;103;2680;-
Chievolis;2005;3;26;5.6;7.6;10.4;12.9;-;-;-;2;12;113;2558;-
Chievolis;2005;3;27;0;5.9;11.2;18.9;-;-;-;3;19;22;8354;-
Chievolis;2005;3;28;0.4;5.7;13.3;22.5;-;-;-;5;23;48;16131;-
Chievolis;2005;3;29;3.2;7.0;11.5;18.6;-;-;-;4;25;70;8390;-
Chievolis;2005;3;30;0.2;5.6;11.4;19.4;-;-;-;3;22;65;12574;-
Chievolis;2005;3;31;1.2;6.5;10.8;16.5;-;-;-;4;24;90;8273;-
Chievolis;2005;4;1;0;3.1;9.1;16.7;-;-;-;5;27;85;19249;-
Chievolis;2005;4;2;0;1.1;8.3;17.2;-;-;-;5;25;77;21410;-
Chievolis;2005;4;3;0;1.3;8.7;16.7;-;-;-;4;25;41;19654;-
Chievolis;2005;4;4;0;1.9;9.0;17.5;-;-;-;5;25;53;19381;-
Chievolis;2005;4;5;0;1.8;8.3;15.9;-;-;-;4;25;65;15576;-
Chievolis;2005;4;6;0;2.2;10.1;17.9;-;-;-;6;31;70;19500;-
Chievolis;2005;4;7;0.4;6.5;11.0;16.7;-;-;-;5;20;84;9152;-
Chievolis;2005;4;8;37.8;6.1;9.3;10.7;-;-;-;2;13;24;1226;-
Chievolis;2005;4;9;21;6.1;9.0;12.9;-;-;-;1;10;304;3883;-
Chievolis;2005;4;10;0.2;6.4;10.3;12.8;-;-;-;4;20;180;3437;-
Chievolis;2005;4;11;10.2;6.3;9.6;14.0;-;-;-;4;14;323;3885;-
Chievolis;2005;4;12;0;7.4;9.8;14.1;-;-;-;3;25;55;5899;-
Chievolis;2005;4;13;0;4.8;12.0;19.1;-;-;-;4;32;78;15960;-
Chievolis;2005;4;14;7.6;7.7;12.9;19.3;-;-;-;4;28;61;13629;-
Chievolis;2005;4;15;0;9.1;12.6;16.7;-;-;-;6;30;80;10780;-
Chievolis;2005;4;16;62.2;4.1;9.0;14.4;-;-;-;3;26;64;2844;-
Chievolis;2005;4;17;0.6;2.7;7.6;14.4;-;-;-;3;24;26;12115;-
Chievolis;2005;4;18;0;3.6;10.3;15.7;-;-;-;5;27;71;16062;-
Chievolis;2005;4;19;1.6;8.9;10.7;13.5;-;-;-;1;21;108;3357;-
Chievolis;2005;4;20;7.4;7.4;9.1;12.0;-;-;-;2;21;52;6021;-
Chievolis;2005;4;21;0.8;4.3;9.4;15.3;-;-;-;6;33;91;14641;-
Chievolis;2005;4;22;0;3.8;8.5;14.6;-;-;-;6;28;109;23103;-
Chievolis;2005;4;23;0;2.9;8.7;11.9;-;-;-;4;25;62;8208;-
Chievolis;2005;4;24;4.8;8.7;9.9;12.4;-;-;-;2;18;85;3656;-
Chievolis;2005;4;25;24.2;7.8;10.2;13.2;-;-;-;2;15;58;3791;-
Chievolis;2005;4;26;0;7.2;12.8;19.9;-;-;-;5;27;21;20290;-
Chievolis;2005;4;27;0;8.9;14.8;20.8;-;-;-;5;23;60;14053;-
Chievolis;2005;4;28;2.4;10.2;14.8;21.8;-;-;-;3;22;76;13239;-
Chievolis;2005;4;29;0;11.2;15.5;20.1;-;-;-;4;23;79;10790;-
Chievolis;2005;4;30;0;11.1;16.8;23.7;-;-;-;5;24;86;19096;-
Chievolis;2005;5;1;0;10.2;17.4;24.6;-;-;-;6;30;70;22253;-
Chievolis;2005;5;2;0;10.6;17.8;24.9;-;-;-;6;26;90;23379;-
Chievolis;2005;5;3;0;11.6;18.2;24.5;-;-;-;5;22;80;15564;-
Chievolis;2005;5;4;22;11.5;16.1;23.5;-;-;-;5;24;27;21721;-
Chievolis;2005;5;5;2.4;9.3;12.9;16.0;-;-;-;5;23;75;8852;-
Chievolis;2005;5;6;0;7.9;14.2;21.6;-;-;-;5;22;53;19870;-
Chievolis;2005;5;7;3.6;8.0;13.2;18.7;-;-;-;4;21;59;12192;-
Chievolis;2005;5;8;5.6;8.4;14.4;21.8;-;-;-;6;32;112;22827;-
Chievolis;2005;5;9;0.6;8.1;10.5;17.5;-;-;-;3;23;68;11730;-
Chievolis;2005;5;10;0;8.3;11.8;15.9;-;-;-;3;19;38;9669;-
Chievolis;2005;5;11;1;8.9;13.2;19.0;-;-;-;4;31;74;18779;-
Chievolis;2005;5;12;0;7.4;13.5;20.9;-;-;-;4;21;33;25177;-
Chievolis;2005;5;13;0;6.4;14.0;22.2;-;-;-;4;27;101;24526;-
Chievolis;2005;5;14;2;9.6;13.7;20.6;-;-;-;3;21;47;9630;-
Chievolis;2005;5;15;0.4;8.9;14.4;20.0;-;-;-;4;24;108;14426;-
Chievolis;2005;5;16;9;11.9;14.7;20.3;-;-;-;3;17;261;7864;-
Chievolis;2005;5;17;24.6;10.3;14.0;20.2;-;-;-;3;18;62;10237;-
Chievolis;2005;5;18;21;12.0;14.7;22.6;-;-;-;3;18;85;12431;-
Chievolis;2005;5;19;0;11.0;16.1;21.7;-;-;-;6;27;50;26874;-
Chievolis;2005;5;20;0;11.6;16.2;21.5;-;-;-;6;26;35;25570;-
Chievolis;2005;5;21;0;10.4;17.8;24.3;-;-;-;5;26;68;25985;-
Chievolis;2005;5;22;0;11.9;18.0;24.4;-;-;-;4;19;39;17626;-
Chievolis;2005;5;23;2;12.0;15.6;20.4;-;-;-;2;11;44;8443;-
Chievolis;2005;5;24;0;11.4;18.2;26.2;-;-;-;3;21;53;21949;-
Chievolis;2005;5;25;0;11.6;19.1;26.6;-;-;-;5;23;111;27562;-
Chievolis;2005;5;26;0;12.4;19.9;28.3;-;-;-;4;22;84;27948;-
Chievolis;2005;5;27;0;12.4;21.4;30.6;-;-;-;4;21;51;27881;-
Chievolis;2005;5;28;0;13.2;22.5;31.4;-;-;-;3;19;36;27590;-
Chievolis;2005;5;29;0;15.2;23.4;32.4;-;-;-;3;19;84;27001;-
Chievolis;2005;5;30;0;14.5;23.7;31.2;-;-;-;4;20;43;26027;-
Chievolis;2005;5;31;8.2;13.5;19.1;23.1;-;-;-;2;10;65;7318;-
Chievolis;2005;6;1;0;12.0;17.8;23.7;-;-;-;3;22;55;19219;-
Chievolis;2005;6;2;0;13.5;18.7;24.9;-;-;-;3;20;96;18883;-
Chievolis;2005;6;3;0;12.1;19.8;26.9;-;-;-;4;21;38;25172;-
Chievolis;2005;6;4;0;14.1;19.6;25.1;-;-;-;3;18;89;14904;-
Chievolis;2005;6;5;0.6;14.5;18.2;23.7;-;-;-;4;24;74;14000;-
Chievolis;2005;6;6;0.8;11.5;16.6;23.0;-;-;-;3;19;44;15634;-
Chievolis;2005;6;7;0.4;9.6;15.2;22.1;-;-;-;4;22;18;14886;-
Chievolis;2005;6;8;0;7.3;15.1;22.5;-;-;-;6;32;86;23994;-
Chievolis;2005;6;9;0;7.2;14.7;21.6;-;-;-;5;19;90;20328;-
Chievolis;2005;6;10;0;7.1;15.8;23.3;-;-;-;4;20;44;24415;-
Chievolis;2005;6;11;0.2;9.8;15.2;20.0;-;-;-;4;21;78;11680;-
Chievolis;2005;6;12;1.8;13.7;14.4;15.5;-;-;-;0;5;293;1436;-
Chievolis;2005;6;13;2.6;13.9;16.9;20.8;-;-;-;3;14;84;9077;-
Chievolis;2005;6;14;10.4;13.1;15.8;19.2;-;-;-;1;10;42;5456;-
Chievolis;2005;6;15;0;14.8;19.6;26.2;-;-;-;4;23;113;23669;-
Chievolis;2005;6;16;12.4;14.8;20.0;30.0;-;-;-;4;21;82;21483;-
Chievolis;2005;6;17;0;13.7;21.4;29.7;-;-;-;3;19;41;22426;-
Chievolis;2005;6;18;0;15.3;22.9;30.0;-;-;-;3;18;69;20528;-
Chievolis;2005;6;19;0;18.0;22.8;28.4;-;-;-;5;23;31;24399;-
Chievolis;2005;6;20;0;16.0;22.2;27.8;-;-;-;5;21;48;23141;-
Chievolis;2005;6;21;0;17.6;23.1;29.6;-;-;-;4;20;80;24367;-
Chievolis;2005;6;22;12.4;16.7;23.2;31.0;-;-;-;5;26;124;23417;-
Chievolis;2005;6;23;0;17.3;23.6;30.6;-;-;-;3;22;66;23590;-
Chievolis;2005;6;24;0;19.4;23.8;30.4;-;-;-;3;19;29;16487;-
Chievolis;2005;6;25;7;18.4;24.2;30.9;-;-;-;4;24;48;21232;-
Chievolis;2005;6;26;0.4;16.8;23.4;31.4;-;-;-;3;23;54;24382;-
Chievolis;2005;6;27;0;18.3;24.6;31.8;-;-;-;4;21;0;23999;-
Chievolis;2005;6;28;3.2;19.3;24.0;32.2;-;-;-;3;19;0;18356;-
Chievolis;2005;6;29;17.4;17.6;21.6;29.1;-;-;-;3;36;0;10657;-
Chievolis;2005;6;30;0.6;17.0;22.6;29.6;-;-;-;3;21;0;24651;-
Chievolis;2005;7;1;31.2;13.6;18.1;21.8;-;-;-;1;14;0;7119;-
Chievolis;2005;7;2;0;12.5;20.1;28.2;-;-;-;4;22;0;27891;-
Chievolis;2005;7;3;0;12.8;21.6;28.7;-;-;-;4;21;0;26901;-
Chievolis;2005;7;4;0;17.9;21.8;27.0;-;-;-;3;16;0;16252;-
Chievolis;2005;7;5;9.8;11.5;16.7;20.8;-;-;-;2;11;0;7006;-
Chievolis;2005;7;6;0;10.2;17.8;24.1;-;-;-;4;22;0;28531;-
Chievolis;2005;7;7;14.2;12.9;17.9;25.3;-;-;-;2;15;0;10885;-
Chievolis;2005;7;8;15.2;13.7;18.0;24.1;-;-;-;4;18;0;18617;-
Chievolis;2005;7;9;0.8;12.9;16.1;20.4;-;-;-;1;11;0;8410;-
Chievolis;2005;7;10;6.4;12.1;17.9;23.1;-;-;-;1;13;0;13548;-
Chievolis;2005;7;11;1.4;15.4;19.2;25.3;-;-;-;2;23;0;14880;-
Chievolis;2005;7;12;0;15.0;21.1;27.6;-;-;-;4;20;0;21027;-
Chievolis;2005;7;13;0;16.5;21.9;28.2;-;-;-;4;24;0;27242;-
Chievolis;2005;7;14;0;14.9;22.4;30.1;-;-;-;4;20;0;26617;-
Chievolis;2005;7;15;0.4;16.2;22.8;29.0;-;-;-;4;19;0;22075;-
Chievolis;2005;7;16;0.6;16.7;22.4;28.9;-;-;-;4;18;0;18825;-
Chievolis;2005;7;17;0;17.1;23.6;29.6;-;-;-;3;20;0;20652;-
